"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.575746227394051;0.926;0.00257751807928924;0.0012756680058693;0.57017196993041;0.00230772958942217;0.869;0.0565685424949239;0.101298011136812;0.00222741386303593;0.000925072546739269;2.42044429561094e-06;50071.0267182649;53.7335297617537;2.14709519946835e-12;5
"Q";1;"fc.Q_rm.1";0.577828373106148;0.96;0.00142322396849964;0.000615936897149208;0.57218960032869;0.000552336883885874;0.829;0.0325269119345811;0.0934152120949171;0.0128380365439202;0.00138846457639636;0.000657755737332263;50017.2931885032;0;0.999859633407485;5
"P";1;"fc.P_rm.1";0.585748081001311;0.973;0.00297241453157959;0.00229339924774396;0.579764514254841;0.00271533703488571;0.8945;0.0205060966544099;0.0929638006532844;0.00433562084451303;0.000461680517082179;0.000652914848741041;50122.3916012773;105.098412774139;1.50698410982993e-23;9
"LQ";1;"fc.LQ_rm.1";0.576464232418887;0.936;0.00260169370183644;0.000878252803979251;0.5705332434748;0.00230416535299857;0.8725;0.0487903679018718;0.0999061235352662;0.00104684215785171;0.00138846457639636;0.000657755737332263;50064.9254000961;47.6322115929361;4.53665451760925e-11;8
"H";1;"fc.H_rm.1";0.599732945895071;0.951;0.0185381120270973;0.00534777858126965;0.583029207520556;0.00600980022599026;0.726;0.246073159852919;0.113306839118674;0.010823621778898;0.00324032118244981;0.00197084676770118;50266.5852442852;249.292055782033;7.35964609901263e-55;90
"L";1.5;"fc.L_rm.1.5";0.575320979080048;0.9;0.00220961803533815;0.00233430072695769;0.569757496202302;0.00217538579302026;0.8495;0.0190918830920368;0.099909546560416;0.00156965812570367;0.00138846457639636;0.000657755737332263;50078.9223175813;61.6291290781082;4.14327437230965e-14;4
"Q";1.5;"fc.Q_rm.1.5";0.576945767348519;0.939;0.00106349775422432;0.000303378958568212;0.571761193557471;0.000415170504977843;0.811;0.0509116882454314;0.0938734695868494;0.0161074516762167;0.000461680517082179;0.000652914848741041;50035.0354858952;17.7422973920184;0.000140361534816252;4
"P";1.5;"fc.P_rm.1.5";0.583997993166647;0.989;0.00275674875606058;0.00301830272442356;0.57903182457367;0.00317599632647487;0.9245;0.00212132034355964;0.0938854501748738;0.00694970068377281;0.000461680517082179;0.000652914848741041;50093.1341159365;75.8409274333899;3.39852830946812e-17;7
"LQ";1.5;"fc.LQ_rm.1.5";0.57549539872857;0.906;0.00220776698786396;0.00214682753900874;0.570070035228804;0.00240004425494801;0.844;0.0127279220613579;0.0943437076668062;0.0102191158160692;0.00138846457639636;0.000657755737332263;50075.4321150081;58.1389265049438;2.37263838841149e-13;5
"H";1.5;"fc.H_rm.1.5";0.5961485060762;0.937;0.0137165820184895;0.00420647023349355;0.582642047853606;0.00278814387897873;0.7385;0.263750829382582;0.107294723321156;0.0101852295959307;0.00508704325077852;0.000640812627262987;50344.4848481718;327.191659668671;8.93661144905918e-72;68
"L";2;"fc.L_rm.2";0.575229854441333;0.893;0.00224189448019652;0.00271286144736347;0.569522486762331;0.00224622863883785;0.771;0.089095454429505;0.0975891633869807;0.00432351862303498;0.000461680517082179;0.000652914848741041;50096.7504673512;79.457278848;5.57198783929289e-18;4
"Q";2;"fc.Q_rm.2";0.576767292615318;0.941;0.00095244433209879;0.000912579923518116;0.571370322156739;0.00038840629308295;0.8195;0.0502045814642448;0.0934066545320425;0.0193792872528087;0.000461680517082179;0.000652914848741041;50055.5166666453;38.2234781421575;5.00975188251759e-09;4
"P";2;"fc.P_rm.2";0.582229695706446;0.982;0.00337375682808383;0.00281419551176478;0.578024957824271;0.00358759238078964;0.9075;0.0205060966544099;0.0961972757854345;0.00759777464392263;0.000461680517082179;0.000652914848741041;50082.9346974808;65.641508977671;5.57271032880077e-15;6
"LQ";2;"fc.LQ_rm.2";0.575318862274838;0.904;0.00205537125389277;0.0027947603293735;0.569789058087851;0.00240612425761725;0.7765;0.096873629022557;0.0911033864843563;0.0121899625837704;0.000925072546739269;2.42044429561094e-06;50098.0201323127;80.7269438095245;2.95328878776545e-18;5
"H";2;"fc.H_rm.2";0.592696098794309;0.934;0.0119189319300109;0.00423840811064911;0.580501025896856;0.000718680456038328;0.782;0.213546247918337;0.104529774756388;0.00234299007815136;0.00277864066536763;0.00262376161644222;50461.1695844539;443.876395950734;4.10586183548124e-97;62
"L";2.5;"fc.L_rm.2.5";0.575174383943375;0.89;0.00251230752002984;0.0027639903384032;0.569337070253431;0.00241255445822297;0.789;0.0791959594928933;0.0957355952683523;0.00694485979518158;0.000461680517082179;0.000652914848741041;50114.8374778133;97.5442893101863;6.58363493361744e-22;4
"Q";2.5;"fc.Q_rm.2.5";0.576612612812966;0.938;0.000949258785794271;0.00129437653297578;0.571181654175505;0.000649645091162001;0.834;0.0339411254969542;0.0947916960832891;0.0213380317990318;0.000461680517082179;0.000652914848741041;50076.3741832216;59.0809947184607;1.48137168575443e-13;4
"P";2.5;"fc.P_rm.2.5";0.580415236590473;0.962;0.00408570867232361;0.00228596860881271;0.576952258749197;0.00393339786923108;0.8725;0.0346482322781409;0.106379919849866;0.00233814918956013;0.000461680517082179;0.000652914848741041;50086.380046507;69.0868580038878;9.95218484537971e-16;5
"LQ";2.5;"fc.LQ_rm.2.5";0.575221208694754;0.888;0.00234731902596585;0.0027076863936907;0.569555216885258;0.00243462823386447;0.774;0.089095454429505;0.0920284590310956;0.0121875421394748;0.000461680517082179;0.000652914848741041;50112.143911907;94.8507234038625;2.53143130126505e-21;4
"H";2.5;"fc.H_rm.2.5";0.590008164237152;0.914;0.0108259156752284;0.00252891379278566;0.57782970569736;0.00117823507559871;0.7555;0.191625937701554;0.0994290394050098;0.0121681785851099;0.00231524863571054;0.00196842632340557;50490.7048139616;473.411625458444;1.58456745767458e-103;49
"L";3;"fc.L_rm.3";0.575102871632443;0.878;0.00274823241565608;0.00274463532747288;0.569171530510206;0.00256504345424627;0.7985;0.0388908729652601;0.0957321722432025;0.00956136007873697;0.000461680517082179;0.000652914848741041;50133.1282450366;115.835056533484;7.02548164656627e-26;4
"Q";3;"fc.Q_rm.3";0.576441789182932;0.929;0.00122525766605014;0.00132818567147121;0.57095992574347;0.000737634765115888;0.843;0.014142135623731;0.0943300155662069;0.0206851169502908;0.000461680517082179;0.000652914848741041;50097.2946408969;80.0014523937789;4.24467433946816e-18;4
"P";3;"fc.P_rm.3";0.578646429056727;0.935;0.00483040601388307;0.00133984966929368;0.575475289843411;0.00387551204304696;0.825;0.0494974746830583;0.100827773056856;0.00366092199711149;0;0;50096.7829385319;79.4897500287552;5.48225374128261e-18;5
"LQ";3;"fc.LQ_rm.3";0.575170150332956;0.885;0.00258682612893874;0.00275712621180237;0.569328534222326;0.00254570207002774;0.7985;0.0572756492761103;0.0924918510607527;0.0115322068464381;0.000461680517082179;0.000652914848741041;50129.9098701197;112.616681616579;3.51186115352114e-25;4
"H";3;"fc.H_rm.3";0.586819924043928;0.876;0.00940616161795105;0.00035262622773138;0.575975132719511;0.00289607452413927;0.728;0.135764501987817;0.101287742061363;0.00562208698763022;0.00185185660605345;0.00131309103036892;50462.5485702531;445.255381749972;2.06044662796127e-97;42
"L";3.5;"fc.L_rm.3.5";0.575025008905884;0.854;0.00296589472370351;0.00260558023472157;0.569009346476422;0.00263797567181333;0.811;0.0183847763108502;0.100357534976899;0.00954925785725892;0.000461680517082179;0.000652914848741041;50151.6968996145;134.40371111135;6.52445129988646e-30;4
"Q";3.5;"fc.Q_rm.3.5";0.576221845470567;0.919;0.00147609940307009;0.00123717346510578;0.570761867316083;0.000735057324554946;0.842;0.0169705627484772;0.0961835836848352;0.0180637757781442;0.000461680517082179;0.000652914848741041;50118.5140697799;101.220881276749;1.04737918646904e-22;4
"P";3.5;"fc.P_rm.3.5";0.577493509824221;0.92;0.00544341639825896;0.000617478596420994;0.574097087119775;0.00320242355734067;0.8095;0.0431335136523794;0.0994410199930341;0.00301042759266606;0.00092678405931418;0.0013106705860733;50100.1340892918;82.8409007886003;1.02628029674635e-18;4
"LQ";3.5;"fc.LQ_rm.3.5";0.57507838810231;0.878;0.00281446829341547;0.00259213745760565;0.569166292740636;0.00261904365001115;0.8195;0.0106066017177981;0.0961921412477098;0.0115225250692557;0.000461680517082179;0.000652914848741041;50148.2881192892;130.994930785993;3.58716403308407e-29;4
"H";3.5;"fc.H_rm.3.5";0.583243517883382;0.902;0.00749872170777666;0.0024043769385498;0.573995386967688;0.00422837343440662;0.7135;0.0756604255869606;0.100362669514624;0.00562450743192583;0.00185185660605345;0.00131309103036892;50423.2759689658;405.982780462647;6.94861715100901e-89;30
"L";4;"fc.L_rm.4";0.574796087899138;0.839;0.00329432672050861;0.0022485837678406;0.568915236260515;0.00273604093255195;0.797;0.0183847763108503;0.101282607523638;0.0095468374129633;0.000461680517082179;0.000652914848741041;50170.1162495082;152.823061005016;6.52879427863142e-34;4
"Q";4;"fc.Q_rm.4";0.575892567493952;0.916;0.00181089648423344;0.00120256052966659;0.570576112360663;0.000730173612329047;0.84;0.0113137084989848;0.0971103677441494;0.0167531051920709;0.000461680517082179;0.000652914848741041;50139.8659169856;122.572728482439;2.41885162683297e-27;4
"P";4;"fc.P_rm.4";0.57635816262532;0.904;0.00622212533544919;0.00022639055136731;0.572826532936739;0.00290627065618529;0.7875;0.0275771644662754;0.0994410199930341;0.00301042759266606;0.00092678405931418;0.0013106705860733;50111.2368735548;93.9436850516795;3.98407056072309e-21;4
