"species","dd long","dd lat","maturity"
"Prionace glauca",17.03,40.3,"Adult"
"Prionace glauca",17.34,40.17,"Adult"
"Prionace glauca",13.45,45.38,"Adult"
"Prionace glauca",9.19,41.11,"Adult"
"Prionace glauca",15.25,39.59,"Adult"
"Prionace glauca",9.13,44.2,"Adult"
"Prionace glauca",15.31,40.019,"Adult"
"Prionace glauca",18,39.59,"Adult"
"Prionace glauca",16.3166666666667,38.2833333333333,"Adult"
"Prionace glauca",10.2833333333333,43.6166666666667,"Adult"
"Prionace glauca",12.0666666666667,37.95,"Adult"
"Prionace glauca",17.2833333333333,40.3666666666667,"Adult"
"Prionace glauca",15.6333333333333,38.1833333333333,"Adult"
"Prionace glauca",13.0666666666667,37.5,"Adult"
"Prionace glauca",12.15,41.8833333333333,"Adult"
"Prionace glauca",18,39.9833333333333,"Adult"
"Prionace glauca",9.16666666666667,44,"Adult"
"Prionace glauca",9.13333333333333,44.3166666666667,"Adult"
"Prionace glauca",13.7,45.7,"Adult"
"Prionace glauca",15.6166666666667,38.0833333333333,"Adult"
"Prionace glauca",15.8,38.354,"Adult"
"Prionace glauca",12.886,33.5313,"Adult"
"Prionace glauca",12.886,33.5313,"Adult"
"Prionace glauca",12.886,33.5313,"Adult"
"Prionace glauca",12.886,33.5313,"Adult"
"Prionace glauca",15.22355,34.94029,"Adult"
"Prionace glauca",14.94765,34.75576,"Adult"
"Prionace glauca",21.023,37.45515,"Adult"
"Prionace glauca",21.107,37.5462,"Adult"
"Prionace glauca",23.1,38.09,"Adult"
"Prionace glauca",20.231,38.54618,"Adult"
"Prionace glauca",20.231,38.54602,"Adult"
"Prionace glauca",24.56,35.584,"Adult"
"Prionace glauca",24.56,35.584,"Adult"
"Prionace glauca",24.56,35.584,"Adult"
"Prionace glauca",24.516,34.902,"Adult"
"Prionace glauca",16.15,37.94,"Adult"
"Prionace glauca",14.51157,38.66836,"Adult"
"Prionace glauca",7.63111111,43.4475,"Adult"
"Prionace glauca",8.42833333,43.68861111,"Adult"
"Prionace glauca",8.81138888,44.16694444,"Adult"
"Prionace glauca",9.20916666,43.36861111,"Adult"
"Prionace glauca",33.054199909428,34.6620751655946,"Adult"
"Prionace glauca",33.009412,34.558778,"Adult"
"Prionace glauca",33.052711,34.671905,"Adult"
"Prionace glauca",34.1116,34.9514,"Adult"
"Prionace glauca",32.416617,34.230483,"Adult"
"Prionace glauca",31.31745,34.652333,"Adult"
"Prionace glauca",32.416,34.2971,"Adult"
"Prionace glauca",32.72705,34.1182166666667,"Adult"
"Prionace glauca",32.416617,34.230483,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",8.217383,43.528036,"Adult"
"Prionace glauca",24.092407,35.033567,"Adult"
"Prionace glauca",23.2037185,38.110201,"Adult"
"Prionace glauca",23.7170809414752,39.1779224345722,"Adult"
"Prionace glauca",23.217187,38.109461,"Adult"
"Prionace glauca",24.9484518158058,37.4367751350526,"Adult"
"Prionace glauca",24.956879,37.39179,"Adult"
"Prionace glauca",22.971583,37.977885,"Adult"
"Prionace glauca",23.34,37.976,"Adult"
"Prionace glauca",10.159088,43.525728,"Adult"
"Prionace glauca",16.215036,38.176481,"Adult"
"Prionace glauca",10.296472,43.348722,"Adult"
"Prionace glauca",10.442177,43.096349,"Adult"
"Prionace glauca",8.244,40.951,"Adult"
"Prionace glauca",19.1599,41.768171,"Adult"
"Prionace glauca",19.1599,41.768171,"Adult"
"Prionace glauca",19.1599,41.768171,"Adult"
"Prionace glauca",19.056814,41.790402,"Adult"
"Prionace glauca",19.09774,41.804051,"Adult"
"Prionace glauca",19.09774,41.804051,"Adult"
