"species","dd long","dd lat","maturity"
"Prionace glauca",9.06,41.23,"Juvenile"
"Prionace glauca",17.53,40.15,"Juvenile"
"Prionace glauca",17.46,40.17,"Juvenile"
"Prionace glauca",14.59,40.24,"Juvenile"
"Prionace glauca",14.04,40.47,"Juvenile"
"Prionace glauca",9.13,44.2,"Juvenile"
"Prionace glauca",11.16,42.25,"Juvenile"
"Prionace glauca",13.19,37.21,"Juvenile"
"Prionace glauca",9.5,44.03,"Juvenile"
"Prionace glauca",13.04,37.3,"Juvenile"
"Prionace glauca",17.8833333333333,40.25,"Juvenile"
"Prionace glauca",16.3166666666667,38.2833333333333,"Juvenile"
"Prionace glauca",17.3666666666667,40.3333333333333,"Juvenile"
"Prionace glauca",10.5166666666667,43.0166666666667,"Juvenile"
"Prionace glauca",17.5666666666667,40.2833333333333,"Juvenile"
"Prionace glauca",16.8333333333333,40.35,"Juvenile"
"Prionace glauca",18.4166666666667,40.3,"Juvenile"
"Prionace glauca",16.9333333333333,40.45,"Juvenile"
"Prionace glauca",16.1833333333333,38.9333333333333,"Juvenile"
"Prionace glauca",16.6166666666667,38.8166666666667,"Juvenile"
"Prionace glauca",17.8833333333333,40.25,"Juvenile"
"Prionace glauca",17.9166666666667,40.2166666666667,"Juvenile"
"Prionace glauca",16.91,40.424,"Juvenile"
"Prionace glauca",16.7166666666667,40.1833333333333,"Juvenile"
"Prionace glauca",13.05,41.2166666666667,"Juvenile"
"Prionace glauca",15.2765,35.1445,"Juvenile"
"Prionace glauca",15.22355,34.94029,"Juvenile"
"Prionace glauca",15.22355,34.94029,"Juvenile"
"Prionace glauca",15.26733,35.05055,"Juvenile"
"Prionace glauca",15.26733,35.05055,"Juvenile"
"Prionace glauca",14.94765,34.75576,"Juvenile"
"Prionace glauca",14.98467,34.672,"Juvenile"
"Prionace glauca",14.98467,34.672,"Juvenile"
"Prionace glauca",15.2189,34.65121,"Juvenile"
"Prionace glauca",15.2189,34.65121,"Juvenile"
"Prionace glauca",14.86506,34.7913,"Juvenile"
"Prionace glauca",14.86506,34.7913,"Juvenile"
"Prionace glauca",15.54588,35.50049,"Juvenile"
"Prionace glauca",15.54588,35.50049,"Juvenile"
"Prionace glauca",15.8415,35.3636,"Juvenile"
"Prionace glauca",15.8415,35.3636,"Juvenile"
"Prionace glauca",15.12928,34.71592,"Juvenile"
"Prionace glauca",15.12928,34.71592,"Juvenile"
"Prionace glauca",21.107,37.5461,"Juvenile"
"Prionace glauca",21.107,37.546,"Juvenile"
"Prionace glauca",21.107,37.54615,"Juvenile"
"Prionace glauca",21.107,37.54613,"Juvenile"
"Prionace glauca",21.023,37.4551,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.697559,42.788201,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",14.764936,43.237997,"Juvenile"
"Prionace glauca",16.31058,37.68925,"Juvenile"
"Prionace glauca",16.40533,37.43561,"Juvenile"
"Prionace glauca",16.06201,36.58025,"Juvenile"
"Prionace glauca",15.48248,37.64903,"Juvenile"
"Prionace glauca",15.55664,37.48143,"Juvenile"
"Prionace glauca",15.46875,37.85317,"Juvenile"
"Prionace glauca",15.46875,37.85317,"Juvenile"
"Prionace glauca",15.47974,37.95719,"Juvenile"
"Prionace glauca",15.47974,37.95719,"Juvenile"
"Prionace glauca",15.47974,37.95719,"Juvenile"
"Prionace glauca",16.52,39.75,"Juvenile"
"Prionace glauca",16.18,38.14,"Juvenile"
"Prionace glauca",16.18,38.14,"Juvenile"
"Prionace glauca",14.79172,38.66621,"Juvenile"
"Prionace glauca",14.67224,38.51271,"Juvenile"
"Prionace glauca",14.52805,38.49874,"Juvenile"
"Prionace glauca",14.69696,38.49552,"Juvenile"
"Prionace glauca",14.81094,38.47079,"Juvenile"
"Prionace glauca",14.73953,38.50059,"Juvenile"
"Prionace glauca",14.73953,38.50059,"Juvenile"
"Prionace glauca",14.73953,38.50059,"Juvenile"
"Prionace glauca",14.99496,38.68658,"Juvenile"
"Prionace glauca",7.88777777,43.78083333,"Juvenile"
"Prionace glauca",8.15138888,43.5975,"Juvenile"
"Prionace glauca",8.44583333,43.80333333,"Juvenile"
"Prionace glauca",7.71527777,43.72944444,"Juvenile"
"Prionace glauca",9.36083333,43.37527777,"Juvenile"
