"species","dd long","dd lat"
"Prionace glauca",9.06,41.23
"Prionace glauca",17.03,40.3
"Prionace glauca",17.34,40.17
"Prionace glauca",13.45,45.38
"Prionace glauca",17.53,40.15
"Prionace glauca",17.46,40.17
"Prionace glauca",14.59,40.24
"Prionace glauca",9.19,41.11
"Prionace glauca",14.04,40.47
"Prionace glauca",9.13,44.2
"Prionace glauca",15.25,39.59
"Prionace glauca",11.16,42.25
"Prionace glauca",13.19,37.21
"Prionace glauca",9.5,44.03
"Prionace glauca",9.13,44.2
"Prionace glauca",13.04,37.3
"Prionace glauca",15.31,40.019
"Prionace glauca",18,39.59
"Prionace glauca",17.8833333333333,40.25
"Prionace glauca",16.3166666666667,38.2833333333333
"Prionace glauca",16.3166666666667,38.2833333333333
"Prionace glauca",10.2833333333333,43.6166666666667
"Prionace glauca",17.3666666666667,40.3333333333333
"Prionace glauca",10.5166666666667,43.0166666666667
"Prionace glauca",17.5666666666667,40.2833333333333
"Prionace glauca",12.0666666666667,37.95
"Prionace glauca",17.2833333333333,40.3666666666667
"Prionace glauca",16.8333333333333,40.35
"Prionace glauca",18.4166666666667,40.3
"Prionace glauca",15.6333333333333,38.1833333333333
"Prionace glauca",13.0666666666667,37.5
"Prionace glauca",16.9333333333333,40.45
"Prionace glauca",12.15,41.8833333333333
"Prionace glauca",16.1833333333333,38.9333333333333
"Prionace glauca",16.6166666666667,38.8166666666667
"Prionace glauca",17.8833333333333,40.25
"Prionace glauca",18,39.9833333333333
"Prionace glauca",9.16666666666667,44
"Prionace glauca",9.13333333333333,44.3166666666667
"Prionace glauca",17.9166666666667,40.2166666666667
"Prionace glauca",13.7,45.7
"Prionace glauca",15.6166666666667,38.0833333333333
"Prionace glauca",16.91,40.424
"Prionace glauca",16.7166666666667,40.1833333333333
"Prionace glauca",15.8,38.354
"Prionace glauca",13.05,41.2166666666667
"Prionace glauca",12.886,33.5313
"Prionace glauca",15.2765,35.1445
"Prionace glauca",15.22355,34.94029
"Prionace glauca",15.22355,34.94029
"Prionace glauca",15.26733,35.05055
"Prionace glauca",15.26733,35.05055
"Prionace glauca",14.94765,34.75576
"Prionace glauca",14.98467,34.672
"Prionace glauca",14.98467,34.672
"Prionace glauca",15.2189,34.65121
"Prionace glauca",15.2189,34.65121
"Prionace glauca",14.86506,34.7913
"Prionace glauca",14.86506,34.7913
"Prionace glauca",15.54588,35.50049
"Prionace glauca",15.54588,35.50049
"Prionace glauca",15.8415,35.3636
"Prionace glauca",15.8415,35.3636
"Prionace glauca",15.12928,34.71592
"Prionace glauca",15.12928,34.71592
"Prionace glauca",12.886,33.5313
"Prionace glauca",12.886,33.5313
"Prionace glauca",12.886,33.5313
"Prionace glauca",15.22355,34.94029
"Prionace glauca",14.94765,34.75576
"Prionace glauca",21.107,37.5461
"Prionace glauca",21.107,37.546
"Prionace glauca",21.107,37.54615
"Prionace glauca",21.107,37.54613
"Prionace glauca",21.023,37.4551
"Prionace glauca",21.023,37.45515
"Prionace glauca",21.107,37.5462
"Prionace glauca",23.1,38.09
"Prionace glauca",20.231,38.54618
"Prionace glauca",20.231,38.54602
"Prionace glauca",24.56,35.584
"Prionace glauca",24.56,35.584
"Prionace glauca",24.56,35.584
"Prionace glauca",24.516,34.902
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.697559,42.788201
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",14.764936,43.237997
"Prionace glauca",16.31058,37.68925
"Prionace glauca",16.40533,37.43561
"Prionace glauca",16.06201,36.58025
"Prionace glauca",15.48248,37.64903
"Prionace glauca",15.55664,37.48143
"Prionace glauca",15.46875,37.85317
"Prionace glauca",15.46875,37.85317
"Prionace glauca",15.47974,37.95719
"Prionace glauca",15.47974,37.95719
"Prionace glauca",15.47974,37.95719
"Prionace glauca",16.52,39.75
"Prionace glauca",16.18,38.14
"Prionace glauca",16.18,38.14
"Prionace glauca",16.15,37.94
"Prionace glauca",14.51157,38.66836
"Prionace glauca",14.79172,38.66621
"Prionace glauca",14.67224,38.51271
"Prionace glauca",14.52805,38.49874
"Prionace glauca",14.69696,38.49552
"Prionace glauca",14.81094,38.47079
"Prionace glauca",14.73953,38.50059
"Prionace glauca",14.73953,38.50059
"Prionace glauca",14.73953,38.50059
"Prionace glauca",14.99496,38.68658
"Prionace glauca",7.88777777,43.78083333
"Prionace glauca",8.15138888,43.5975
"Prionace glauca",8.44583333,43.80333333
"Prionace glauca",7.71527777,43.72944444
"Prionace glauca",7.63111111,43.4475
"Prionace glauca",8.42833333,43.68861111
"Prionace glauca",8.81138888,44.16694444
"Prionace glauca",9.36083333,43.37527777
"Prionace glauca",9.3225,43.28694444
"Prionace glauca",9.46249999,43.29888888
"Prionace glauca",9.48194444,43.30249999
"Prionace glauca",9.28999999,43.19638888
"Prionace glauca",9.63888888,43.33861111
"Prionace glauca",9.68694444,43.25916666
"Prionace glauca",9.56111111,43.365
"Prionace glauca",9.59305555,43.46972222
"Prionace glauca",9.47777777,43.40222222
"Prionace glauca",9.4475,43.38361111
"Prionace glauca",9.43444444,43.31083333
"Prionace glauca",9.20916666,43.36861111
"Prionace glauca",33.054199909428,34.6620751655946
"Prionace glauca",33.009412,34.558778
"Prionace glauca",33.052711,34.671905
"Prionace glauca",34.1116,34.9514
"Prionace glauca",32.416617,34.230483
"Prionace glauca",31.31745,34.652333
"Prionace glauca",32.416,34.2971
"Prionace glauca",32.13095,34.74325
"Prionace glauca",33.5166666666667,34.7
"Prionace glauca",32.72705,34.1182166666667
"Prionace glauca",34.31452,34.93251
"Prionace glauca",33.705967,34.6749
"Prionace glauca",31.386667,35.004167
"Prionace glauca",32.1983708744253,34.6665455565508
"Prionace glauca",32.416617,34.230483
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",8.217383,43.528036
"Prionace glauca",24.092407,35.033567
"Prionace glauca",23.2037185,38.110201
"Prionace glauca",21.5772289540525,37.0919628201785
"Prionace glauca",23.7170809414752,39.1779224345722
"Prionace glauca",23.5947,38.4774
"Prionace glauca",23.3028923088173,40.1973532794104
"Prionace glauca",23.0475,40.2688
"Prionace glauca",25.4848795120752,40.8777346139586
"Prionace glauca",23.6926698512412,37.9033307251828
"Prionace glauca",22.9714,37.9764
"Prionace glauca",22.2556654291319,36.844634555578
"Prionace glauca",23.0053096108713,37.8482923418143
"Prionace glauca",20.6288605824197,37.7415227345457
"Prionace glauca",23.24367,39.99958
"Prionace glauca",23.217187,38.109461
"Prionace glauca",23.273655,40.188235
"Prionace glauca",23.467735,37.932621
"Prionace glauca",23.212685,38.157618
"Prionace glauca",22.8064,40.2997
"Prionace glauca",22.5,38.2
"Prionace glauca",24.9333296,37.83333
"Prionace glauca",23.013674,37.922344
"Prionace glauca",23.9299,38.3371
"Prionace glauca",25.0503,40.0421
"Prionace glauca",22.850762,40.460806
"Prionace glauca",23.882559,40.400945
"Prionace glauca",24.9484518158058,37.4367751350526
"Prionace glauca",22.9106642191453,40.6098484464825
"Prionace glauca",23.881997,36.840658
"Prionace glauca",24.956879,37.39179
"Prionace glauca",24.956879,37.39179
"Prionace glauca",22.971583,37.977885
"Prionace glauca",20.9505,38.669
"Prionace glauca",25.227863,36.87505
"Prionace glauca",22.097498,37.018615
"Prionace glauca",23.3598673540163,37.8411672632711
"Prionace glauca",27.6514,36.2645
"Prionace glauca",23.712433391018,40.1759971288608
"Prionace glauca",23.016350508918,37.8490201074871
"Prionace glauca",22.5417202808886,38.2187230850131
"Prionace glauca",19.9344547,39.6172578
"Prionace glauca",23.4889429,37.960199
"Prionace glauca",22.9038,37.1165
"Prionace glauca",21.58231226432,37.4553905547043
"Prionace glauca",20.1422169026163,39.2089314320846
"Prionace glauca",23.4152,37.2587
"Prionace glauca",23.280492008598,37.8889684516026
"Prionace glauca",23.34,37.976
"Prionace glauca",10.017979,43.753738
"Prionace glauca",11.081,42.494
"Prionace glauca",11.126839,42.555001
"Prionace glauca",9.720336,44.09934
"Prionace glauca",10.729532,42.799003
"Prionace glauca",10.159088,43.525728
"Prionace glauca",12.689501,44.138914
"Prionace glauca",10.238794,43.548081
"Prionace glauca",10.21429,43.573165
"Prionace glauca",10.329429,43.330965
"Prionace glauca",10.224919,43.536751
"Prionace glauca",10.359407,43.322779
"Prionace glauca",10.321201,43.320031
"Prionace glauca",10.322722,43.287322
"Prionace glauca",10.358957,43.322866
"Prionace glauca",10.963536,42.729566
"Prionace glauca",15.740619,37.923144
"Prionace glauca",16.215036,38.176481
"Prionace glauca",16.215036,38.176481
"Prionace glauca",10.750803,42.919525
"Prionace glauca",10.287283,43.355624
"Prionace glauca",10.332424,43.347651
"Prionace glauca",10.407128,43.407365
"Prionace glauca",10.220747,43.583829
"Prionace glauca",10.21429,43.573165
"Prionace glauca",10.367554,43.395476
"Prionace glauca",10.329429,43.330965
"Prionace glauca",10.224919,43.536751
"Prionace glauca",10.359407,43.322779
"Prionace glauca",10.321201,43.320031
"Prionace glauca",10.296681,43.563776
"Prionace glauca",10.238794,43.548081
"Prionace glauca",11.209027,42.405312
"Prionace glauca",10.322722,43.287322
"Prionace glauca",11.27884,42.416386
"Prionace glauca",10.358957,43.322866
"Prionace glauca",10.963536,42.729566
"Prionace glauca",10.377217,43.396317
"Prionace glauca",10.227612,43.517737
"Prionace glauca",10.36913,43.398597
"Prionace glauca",10.750803,42.919525
"Prionace glauca",10.233249,43.854221
"Prionace glauca",10.220747,43.583829
"Prionace glauca",11.134996,42.555121
"Prionace glauca",10.256124,43.349302
"Prionace glauca",10.256124,43.349302
"Prionace glauca",10.296472,43.348722
"Prionace glauca",10.409681,43.356317
"Prionace glauca",10.294245,43.348858
"Prionace glauca",10.357397,43.320346
"Prionace glauca",10.442177,43.096349
"Prionace glauca",10.442177,43.096349
"Prionace glauca",10.52829,43.086386
"Prionace glauca",10.113,42.664
"Prionace glauca",10.296756,43.349134
"Prionace glauca",10.375292,43.446926
"Prionace glauca",10.512928,43.099878
"Prionace glauca",8.244,40.951
"Prionace glauca",10.112625,43.863999
"Prionace glauca",10.380896,43.424359
"Prionace glauca",10.270942,43.645852
"Prionace glauca",10.272319,43.642154
"Prionace glauca",10.165841,43.526103
"Prionace glauca",18.751038,42.188979
"Prionace glauca",18.546417,42.282522
"Prionace glauca",18.846796,42.160317
"Prionace glauca",19.1599,41.768171
"Prionace glauca",19.1599,41.768171
"Prionace glauca",19.1599,41.768171
"Prionace glauca",18.443728,42.204872
"Prionace glauca",18.480499,42.171679
"Prionace glauca",18.866182,42.074036
"Prionace glauca",19.056814,41.790402
"Prionace glauca",19.056814,41.790402
"Prionace glauca",19.078354,42.036451
"Prionace glauca",19.09774,41.804051
"Prionace glauca",19.09774,41.804051
"Prionace glauca",19.09774,41.804051
"Prionace glauca",19.09774,41.804051
"Prionace glauca",19.09774,41.804051
"Prionace glauca",19.09774,41.804051
"Prionace glauca",19.09774,41.804051
"Prionace glauca",18.810178,42.113995
"Prionace glauca",18.810178,42.113995
"Prionace glauca",19.09774,41.804051
"Prionace glauca",19.09774,41.804051
"Prionace glauca",18.776472,42.215599
"Prionace glauca",18.776472,42.215599
"Prionace glauca",19.09774,41.804051
"Prionace glauca",18.453034,42.207292
"Prionace glauca",18.453034,42.207292
"Prionace glauca",18.453034,42.207292
"Prionace glauca",18.829315,42.110582
"Prionace glauca",19.09774,41.804051
"Prionace glauca",18.737305,42.238818
"Prionace glauca",18.76102,42.260176
"Prionace glauca",8.54722222222222,41.1625
"Prionace glauca",8.54722222222222,41.1625
"Prionace glauca",8.58972222222222,41.3002777777778
"Prionace glauca",8.58972222222222,41.3002777777778
"Prionace glauca",8.61416666666667,41.1602777777778
"Prionace glauca",18.6666666666667,41.0833333333333
"Prionace glauca",18.6333333333333,41.1666666666667
"Prionace glauca",17.05,42.4166666666667
"Prionace glauca",16.8333333333333,42.25
"Prionace glauca",16.9166666666667,42
"Prionace glauca",15.1666666666667,42.7333333333333
"Prionace glauca",15.2333333333333,42.7
"Prionace glauca",15.8333333333333,42.5833333333333
"Prionace glauca",17.1666666666667,41.6
"Prionace glauca",17.2,41.5333333333333
"Prionace glauca",17.1166666666667,41.9166666666667
"Prionace glauca",13.19171667,44.00706667
"Prionace glauca",13.19171667,44.00706667
"Prionace glauca",12.92593333,44.13265
"Prionace glauca",12.757,44.2134
"Prionace glauca",12.757,44.2134
"Prionace glauca",13.19171667,44.00706667
"Prionace glauca",13.25878333,44.09258333
"Prionace glauca",13.04765,44.1371
"Prionace glauca",13.04765,44.1371
"Prionace glauca",12.99444444,44.20416667
"Prionace glauca",12.89222222,44.16583333
"Prionace glauca",13.08333333,44.23
"Prionace glauca",13.07093333,44.2416
"Prionace glauca",13.15455,44.08198333
"Prionace glauca",13.15455,44.08198333
"Prionace glauca",12.77598433,44.21435
"Prionace glauca",12.89416667,45.00083333
"Prionace glauca",12.73813333,44.22711667
"Prionace glauca",12.8525,44.85083333
"Prionace glauca",12.9525,44.81083333
"Prionace glauca",12.8525,44.85083333
"Prionace glauca",12.76503333,44.57171667
"Prionace glauca",12.43893333,44.77245
"Prionace glauca",12.44403333,44.77715
"Prionace glauca",12.44403333,44.77715
"Prionace glauca",12.43793333,44.7724
"Prionace glauca",12.76,45.25
"Prionace glauca",12.76,45.25
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.78305556,44.8566667
"Prionace glauca",12.67055556,45.05222222
"Prionace glauca",12.67055556,45.05222222
"Prionace glauca",12.65445,45.10646667
"Prionace glauca",12.95,45.15833333
"Prionace glauca",12.67638889,44.26638889
"Prionace glauca",12.67638889,44.26638889
"Prionace glauca",12.67638889,44.26638889
"Prionace glauca",12.67638889,44.26638889
"Prionace glauca",12.67638889,44.26638889
"Prionace glauca",12.67638889,44.26638889
"Prionace glauca",12.67638889,44.26638889
"Prionace glauca",12.67638889,44.26638889
"Prionace glauca",12.56773333,45.02711667
"Prionace glauca",12.7808,45.24121667
"Prionace glauca",12.59051667,45.03513333
"Prionace glauca",12.64403333,44.97408333
"Prionace glauca",12.64403333,44.97408333
"Prionace glauca",12.65211667,44.88903333
"Prionace glauca",12.65211667,44.88903333
"Prionace glauca",12.59338333,44.96666667
"Prionace glauca",12.7411,44.71366667
"Prionace glauca",12.59051667,45.03513333
"Prionace glauca",12.59051667,45.03513333
"Prionace glauca",12.62676667,45.04558333
"Prionace glauca",12.79416667,45.00083333
"Prionace glauca",12.64091667,44.97138333
"Prionace glauca",12.48138333,44.65086667
"Prionace glauca",12.71575,44.83935
"Prionace glauca",12.63828333,44.94371667
"Prionace glauca",12.63828333,44.94371667
"Prionace glauca",13.66583333,43.74001667
"Prionace glauca",13.3875,45.49111111
"Prionace glauca",12.8303,44.85995
"Prionace glauca",12.63846667,44.98826667
"Prionace glauca",12.94588333,45.34196667
"Prionace glauca",12.94588333,45.34196667
"Prionace glauca",12.94588333,45.34196667
"Prionace glauca",13.20031667,45.33263333
"Prionace glauca",13.13431667,45.1876
"Prionace glauca",12.91528333,45.26161667
"Prionace glauca",12.91528333,45.26161667
"Prionace glauca",12.91528333,45.26161667
"Prionace glauca",12.91528333,45.26161667
"Prionace glauca",12.80091667,45.3456
"Prionace glauca",12.92081667,45.45425
"Prionace glauca",12.92081667,45.45425
"Prionace glauca",13.01368333,45.32713333
"Prionace glauca",12.66233333,44.95043333
"Prionace glauca",12.59138889,45.0825
"Prionace glauca",12.71888333,45.23991667
"Prionace glauca",12.79773333,45.23021667
"Prionace glauca",12.79773333,45.23021667
"Prionace glauca",12.79833333,45.31944444
"Prionace glauca",12.63031667,45.34658333
"Prionace glauca",12.63031667,45.34658333
"Prionace glauca",12.63031667,45.34658333
"Prionace glauca",12.63031667,45.34658333
"Prionace glauca",12.63031667,45.34658333
"Prionace glauca",13.01368333,45.328
"Prionace glauca",13.01368333,45.328
"Prionace glauca",12.7,44.98305556
"Prionace glauca",12.81944444,45.01583333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.94768333,45.16585
"Prionace glauca",12.94768333,45.16585
"Prionace glauca",12.94768333,45.16585
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6819,45.22303333
"Prionace glauca",12.6718,45.17488333
"Prionace glauca",12.6718,45.17488333
"Prionace glauca",12.6718,45.17488333
"Prionace glauca",12.6718,45.17488333
"Prionace glauca",12.6718,45.17488333
"Prionace glauca",12.6718,45.17488333
"Prionace glauca",12.6718,45.17488333
"Prionace glauca",12.50353333,44.82645
"Prionace glauca",12.66222222,45.10611111
"Prionace glauca",12.66222222,45.10611111
"Prionace glauca",12.66222222,45.10611111
"Prionace glauca",12.71027778,44.99083333
"Prionace glauca",12.71027778,44.99083333
"Prionace glauca",12.81472222,44.96972222
"Prionace glauca",12.81472222,44.96972222
"Prionace glauca",12.81472222,44.96972222
"Prionace glauca",12.59833333,44.775
"Prionace glauca",12.59833333,44.775
"Prionace glauca",12.51696667,44.82645
"Prionace glauca",12.51696667,44.82645
"Prionace glauca",12.51696667,44.82645
"Prionace glauca",12.51696667,44.82645
"Prionace glauca",12.51696667,44.82645
"Prionace glauca",12.51696667,44.82645
"Prionace glauca",12.51696667,44.82645
"Prionace glauca",12.51696667,44.82645
"Prionace glauca",12.47753333,44.795
"Prionace glauca",12.47753333,44.795
"Prionace glauca",12.51591667,44.74823333
"Prionace glauca",12.51591667,44.74823333
"Prionace glauca",12.51595,44.79895
"Prionace glauca",12.74365,44.88498333
"Prionace glauca",12.74365,44.88498333
"Prionace glauca",12.74365,44.88498333
"Prionace glauca",12.51431667,44.7696
"Prionace glauca",12.7414,44.88741667
"Prionace glauca",12.7414,44.88741667
"Prionace glauca",12.7414,44.88741667
"Prionace glauca",12.7414,44.88741667
"Prionace glauca",12.65971667,45.34853333
"Prionace glauca",13.8791,44.03366667
"Prionace glauca",13.8791,44.03366667
"Prionace glauca",13.8791,44.03366667
"Prionace glauca",13.60421667,43.95806667
"Prionace glauca",13.60421667,43.95806667
"Prionace glauca",13.60421667,43.95806667
"Prionace glauca",13.64678333,43.74581167
"Prionace glauca",13.64678333,43.74581167
"Prionace glauca",13.64678333,43.74581167
"Prionace glauca",13.69865,43.90791667
"Prionace glauca",13.69865,43.90791667
"Prionace glauca",13.7345,43.81467
"Prionace glauca",12.67288333,45.07013333
"Prionace glauca",12.34563333,44.59836667
"Prionace glauca",12.34563333,44.59836667
"Prionace glauca",12.34563333,44.59836667
"Prionace glauca",12.34563333,44.59836667
"Prionace glauca",12.34563333,44.59836667
"Prionace glauca",12.70096667,45.0012
"Prionace glauca",13.59135,43.74078333
"Prionace glauca",14.03213333,43.7425
"Prionace glauca",14.03213333,43.7425
"Prionace glauca",14.03213333,43.7425
"Prionace glauca",13.7388,43.871615
"Prionace glauca",13.64166667,43.80472222
"Prionace glauca",13.15613333,45.31456667
"Prionace glauca",13.0127,45.327135
"Prionace glauca",13.211,45.43606667
"Prionace glauca",13.211,45.43606667
"Prionace glauca",13.211,45.43606667
"Prionace glauca",12.61666667,45.25
"Prionace glauca",13.565,45.61833333
"Prionace glauca",13.14733333,44.99933333
"Prionace glauca",13.21688333,45.26281667
"Prionace glauca",13.21688333,45.26281667
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",13.06383333,45.31033333
"Prionace glauca",12.79111667,45.32703333
"Prionace glauca",12.79111667,45.32703333
"Prionace glauca",12.79111667,45.32703333
"Prionace glauca",12.79111667,45.32703333
"Prionace glauca",12.79111667,45.32703333
"Prionace glauca",12.78666667,45.32805556
"Prionace glauca",12.80027778,45.32555556
"Prionace glauca",12.88027778,44.98222222
"Prionace glauca",12.68223333,44.73115667
"Prionace glauca",12.76833333,44.98805556
"Prionace glauca",12.47166667,44.55361111
"Prionace glauca",12.4599,44.72958333
"Prionace glauca",12.49391667,44.78555
"Prionace glauca",12.30951667,44.74303333
"Prionace glauca",12.5187,44.761
"Prionace glauca",12.86751667,45.26531667
"Prionace glauca",12.86666667,45.2501667
"Prionace glauca",12.8671667,45.2673
"Prionace glauca",12.8671667,45.2673
"Prionace glauca",12.8667,45.43141667
"Prionace glauca",12.8667,45.43141667
"Prionace glauca",12.86651667,45.26671667
"Prionace glauca",12.86651667,45.26671667
"Prionace glauca",12.86651667,45.26671667
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.86718333,45.25391667
"Prionace glauca",12.90546667,45.3029
"Prionace glauca",13.20166667,45.41972222
"Prionace glauca",13.20166667,45.41972222
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.88033333,45.2505
"Prionace glauca",12.86718333,45.25391667
"Prionace glauca",12.86718333,45.25391667
"Prionace glauca",12.86718333,45.25391667
"Prionace glauca",12.86718333,45.25391667
"Prionace glauca",12.86718333,45.25391667
"Prionace glauca",12.68333333,44.8025
"Prionace glauca",12.68555556,44.81833333
"Prionace glauca",12.54678333,44.73055
"Prionace glauca",13.55355,45.61828333
"Prionace glauca",13.65355,45.62828333
"Prionace glauca",13.56521667,45.61828333
"Prionace glauca",13.1224567,45.44922222
"Prionace glauca",13.22748333,45.26371667
"Prionace glauca",13.21138333,45.4351
"Prionace glauca",12.8938666666667,44.1463833333333
"Prionace glauca",12.8774833333333,44.2066333333333
"Prionace glauca",12.8774833333333,44.2066333333333
"Prionace glauca",12.9259666666667,44.12115
"Prionace glauca",12.94235,44.1478
"Prionace glauca",12.94235,44.1478
"Prionace glauca",13.2752,44.10015
"Prionace glauca",13.0132166666667,45.3276
"Prionace glauca",13.0132166666667,45.3276
"Prionace glauca",13.0132166666667,45.3276
"Prionace glauca",13.0132166666667,45.3276
"Prionace glauca",12.57625,45.1570166666667
"Prionace glauca",12.73295,45.2336833333333
"Prionace glauca",12.73295,45.2336833333333
