"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",9.19,41.11,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",9.13,44.2,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",10.2833333333333,43.6166666666667,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",12.0666666666667,37.95,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",17.2833333333333,40.3666666666667,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",15.6333333333333,38.1833333333333,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",13.0666666666667,37.5,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",15.8,38.354,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",21.023,37.45515,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",24.56,35.584,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",24.56,35.584,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",24.56,35.584,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",24.516,34.902,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",16.15,37.94,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",7.63111111,43.4475,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.42833333,43.68861111,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",33.009412,34.558778,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",32.416,34.2971,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",24.092407,35.033567,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",10.159088,43.525728,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",16.215036,38.176481,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",10.442177,43.096349,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.244,40.951,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",8.61416666666667,41.1602777777778,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",18.6333333333333,41.1666666666667,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",15.2333333333333,42.7,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",17.1666666666667,41.6,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",17.2,41.5333333333333,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",17.1166666666667,41.9166666666667,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",12.43793333,44.7724,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",12.63828333,44.94371667,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",12.91528333,45.26161667,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",12.91528333,45.26161667,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",12.80091667,45.3456,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",12.81944444,45.01583333,"SumAut","Adult","Adult_SumAut"
"Prionace glauca",12.94768333,45.16585,"SumAut","Adult","Adult_SumAut"
