"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",17.03,40.3,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.34,40.17,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.45,45.38,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.25,39.59,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.31,40.019,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",18,39.59,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.3166666666667,38.2833333333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.15,41.8833333333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",18,39.9833333333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",9.16666666666667,44,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",9.13333333333333,44.3166666666667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.7,45.7,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.6166666666667,38.0833333333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.886,33.5313,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.886,33.5313,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.886,33.5313,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.886,33.5313,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.22355,34.94029,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.94765,34.75576,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",21.107,37.5462,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",23.1,38.09,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",20.231,38.54618,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",20.231,38.54602,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.51157,38.66836,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",8.81138888,44.16694444,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",9.20916666,43.36861111,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",33.054199909428,34.6620751655946,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",33.052711,34.671905,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",34.1116,34.9514,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",32.416617,34.230483,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",31.31745,34.652333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",32.72705,34.1182166666667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",32.416617,34.230483,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",23.2037185,38.110201,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",23.7170809414752,39.1779224345722,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",23.217187,38.109461,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",24.9484518158058,37.4367751350526,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",24.956879,37.39179,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",22.971583,37.977885,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",23.34,37.976,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",10.296472,43.348722,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",19.1599,41.768171,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",19.1599,41.768171,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",19.1599,41.768171,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",19.056814,41.790402,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",19.09774,41.804051,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",8.58972222222222,41.3002777777778,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.99444444,44.20416667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.89222222,44.16583333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.89416667,45.00083333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.73813333,44.22711667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.76503333,44.57171667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.65211667,44.88903333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.7,44.98305556,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6819,45.22303333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.81472222,44.96972222,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.59833333,44.775,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.51595,44.79895,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.8791,44.03366667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.8791,44.03366667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.78666667,45.32805556,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.80027778,45.32555556,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.68223333,44.73115667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.47166667,44.55361111,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.20166667,45.41972222,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.20166667,45.41972222,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.8774833333333,44.2066333333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.8774833333333,44.2066333333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.9259666666667,44.12115,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.73295,45.2336833333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.548,45.02705,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.548,45.02705,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6369,45.1422333333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.689,45.0746,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.689,45.0746,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.5836833333333,44.6718166666667,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.5876666666667,45.1358833333333,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.6927,45.0797,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",9.713,42.2562,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",10.109,41.4219,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",10.158,41.0551,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",10.586,40.5306,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",10.588,40.3605,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",11.034,39.9081,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.233,39.84973,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.54,39.70385,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.411,39.74076,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.149,39.80859,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.801,39.6714,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.815,39.58692,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.202,39.41673,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.122,39.30545,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.058,39.1995,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.267,39.86586,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.346,39.81731,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.32,39.69351,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.333,39.65548,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.428,39.58875,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.058,39.1995,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.524,38.90508,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",15.845,39.09225,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.888,40.02787,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.266,40.10487,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.251,40.06276,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.818,40.38275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.628,40.41721,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.28,40.40874,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.949,40.5483,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.678,40.55987,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.75,40.68863,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.548,41.02814,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.541,40.9779,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",12.447,41.27235,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",11.916,41.21236,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",11.676,41.1759,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.487,40.79133,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",14.217,38.66678,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",13.948,38.66143,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",10.033,40.9711,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",9.936,41.262,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-1.991,36.577,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-2.307,36.622,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-2.443,36.595,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-2.813,36.452,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-3.686,36.243,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-3.507,35.653,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-2.009,35.39,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-1.936,35.71,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-2.21,36.037,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-1.577,36.552,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-0.948,36.686,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",-0.603,36.798,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",1.65,37.423,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",2.727,37.88414,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",2.12,38.537,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",0.249,37.8169,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",0.436,38.18809,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",0.239,38.58331,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",7.138,41.562,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",9.55111111111111,42.6988888888889,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",3.81026519861831,43.2281962867012,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",3.81833752181498,42.7796423211167,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",3.495946,42.59238,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",3.495946,42.59238,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",3.495946,42.59238,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",3.495946,42.59238,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.375,39.1,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.375,39.1,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.375,39.1,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.375,39.1,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.375,39.1,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.375,39.1,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.375,39.05,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.325,38.95,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.3,38.875,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.25,38.825,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.25,38.825,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.25,38.825,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.25,38.825,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.175,38.775,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.175,38.775,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.175,38.775,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.175,38.75,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.15,38.75,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.15,38.725,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.125,38.65,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.125,38.6,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.1,38.575,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.1,38.575,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.1,38.55,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.1,38.55,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.1,38.55,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.1,38.55,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.1,38.5,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.075,38.475,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.075,38.475,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.075,38.475,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.075,38.475,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.05,38.425,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17.025,38.375,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17,38.35,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17,38.35,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17,38.35,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17,38.35,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",17,38.35,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.975,38.325,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.95,38.3,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.925,38.275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.925,38.275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.925,38.275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.925,38.275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.925,38.275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.875,38.275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.85,38.275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.85,38.275,"WinSpr","Adult","Adult_WinSpr"
"Prionace glauca",16.85,38.275,"WinSpr","Adult","Adult_WinSpr"
