"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",9.13,44.2,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.886,33.5313,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.886,33.5313,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.886,33.5313,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.886,33.5313,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.22355,34.94029,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.94765,34.75576,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",21.023,37.45515,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",23.1,38.09,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",9.20916666,43.36861111,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",33.009412,34.558778,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",24.092407,35.033567,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",23.2037185,38.110201,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",23.217187,38.109461,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",24.9484518158058,37.4367751350526,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",23.34,37.976,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",8.58972222222222,41.3002777777778,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",17.1166666666667,41.9166666666667,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.43793333,44.7724,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.63828333,44.94371667,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.71027778,44.99083333,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.897,39.10279,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.814,39.24207,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",12.992,39.26237,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.174,39.48181,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.274,39.86229,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.233,39.84973,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.54,39.70385,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",13.664,39.46991,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.059,39.54644,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.056,39.57404,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.03,39.59858,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.001,39.60815,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.155,39.58322,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.234,39.50058,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.291,39.51597,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.298,39.55965,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.262,39.6599,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.357,39.70117,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.256,39.72643,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.319,39.75317,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.411,39.74076,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.485,39.66809,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.149,39.80859,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.07,39.79262,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.017,39.81924,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.002,39.76964,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.619,39.73243,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.71,39.71222,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.663,39.68646,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.68,39.66385,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.595,39.63537,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.666,39.69059,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.723,39.6152,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.801,39.6714,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.815,39.58692,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.833,39.639,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.85,39.5173,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.886,39.46347,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.946,39.52373,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.996,39.57403,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.014,39.57129,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.02,39.52347,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.014,39.44113,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.124,39.46998,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.28,39.49356,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.202,39.41673,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.253,39.37357,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.355,39.33254,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.139,39.38115,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.122,39.30545,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.058,39.1995,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.122,39.68775,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.074,39.8543,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.267,39.86586,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.346,39.81731,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.203,39.80064,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.122,39.68775,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.32,39.69351,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.333,39.65548,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.428,39.58875,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.398,39.27792,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.638,39.19689,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",14.649,38.9729,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.058,39.1995,"AutWin","Adult","Adult_AutWin"
"Prionace glauca",15.524,38.90508,"AutWin","Adult","Adult_AutWin"
