"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",17.53,40.15,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",17.46,40.17,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.59,40.24,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",9.13,44.2,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",11.16,42.25,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.19,37.21,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",9.5,44.03,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",17.8833333333333,40.25,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.3166666666667,38.2833333333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",17.3666666666667,40.3333333333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.5166666666667,43.0166666666667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",17.5666666666667,40.2833333333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.8333333333333,40.35,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",18.4166666666667,40.3,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.9333333333333,40.45,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.1833333333333,38.9333333333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.6166666666667,38.8166666666667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",17.8833333333333,40.25,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",17.9166666666667,40.2166666666667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.91,40.424,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.7166666666667,40.1833333333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.05,41.2166666666667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",21.107,37.5461,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",21.107,37.546,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",21.107,37.54615,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",21.107,37.54613,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.31058,37.68925,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.40533,37.43561,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.06201,36.58025,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",15.48248,37.64903,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",15.55664,37.48143,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.52,39.75,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.18,38.14,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.18,38.14,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.79172,38.66621,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.67224,38.51271,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.52805,38.49874,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",7.88777777,43.78083333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.15138888,43.5975,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.44583333,43.80333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",7.71527777,43.72944444,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",32.13095,34.74325,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",33.5166666666667,34.7,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",33.705967,34.6749,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",31.386667,35.004167,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",23.3028923088173,40.1973532794104,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",23.0053096108713,37.8482923418143,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",23.467735,37.932621,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",22.8064,40.2997,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",24.9333296,37.83333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",23.881997,36.840658,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",24.956879,37.39179,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",23.712433391018,40.1759971288608,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.9344547,39.6172578,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",23.280492008598,37.8889684516026,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",9.720336,44.09934,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.321201,43.320031,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",15.740619,37.923144,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.215036,38.176481,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.750803,42.919525,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.287283,43.355624,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.332424,43.347651,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.407128,43.407365,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.227612,43.517737,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.36913,43.398597,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.750803,42.919525,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.233249,43.854221,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",11.134996,42.555121,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.256124,43.349302,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.256124,43.349302,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.442177,43.096349,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.52829,43.086386,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.375292,43.446926,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.512928,43.099878,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.380896,43.424359,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.270942,43.645852,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",10.272319,43.642154,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.056814,41.790402,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.078354,42.036451,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.09774,41.804051,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.09774,41.804051,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.09774,41.804051,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.09774,41.804051,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.09774,41.804051,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",18.776472,42.215599,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",18.776472,42.215599,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",19.09774,41.804051,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",18.6666666666667,41.0833333333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",17.05,42.4166666666667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.8333333333333,42.25,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",16.9166666666667,42,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",15.1666666666667,42.7333333333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",15.8333333333333,42.5833333333333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.19171667,44.00706667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.19171667,44.00706667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.757,44.2134,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.757,44.2134,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.19171667,44.00706667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.25878333,44.09258333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.04765,44.1371,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.04765,44.1371,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.08333333,44.23,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.07093333,44.2416,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.15455,44.08198333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.15455,44.08198333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.77598433,44.21435,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.43893333,44.77245,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.44403333,44.77715,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.44403333,44.77715,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.76,45.25,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.76,45.25,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.78305556,44.8566667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67055556,45.05222222,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67055556,45.05222222,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.65445,45.10646667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.95,45.15833333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.56773333,45.02711667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.7808,45.24121667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.59051667,45.03513333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.64403333,44.97408333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.65211667,44.88903333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.59338333,44.96666667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.7411,44.71366667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.59051667,45.03513333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.59051667,45.03513333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.62676667,45.04558333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.79416667,45.00083333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.64091667,44.97138333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.48138333,44.65086667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.66583333,43.74001667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.3875,45.49111111,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.8303,44.85995,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.63846667,44.98826667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.94588333,45.34196667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.94588333,45.34196667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.94588333,45.34196667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.20031667,45.33263333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.13431667,45.1876,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.91528333,45.26161667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.91528333,45.26161667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.92081667,45.45425,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.92081667,45.45425,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.66233333,44.95043333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.59138889,45.0825,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.71888333,45.23991667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.79773333,45.23021667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.79773333,45.23021667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.79833333,45.31944444,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.63031667,45.34658333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.63031667,45.34658333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.63031667,45.34658333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.63031667,45.34658333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.63031667,45.34658333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.01368333,45.328,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.01368333,45.328,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6819,45.22303333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6819,45.22303333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.94768333,45.16585,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.94768333,45.16585,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6718,45.17488333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6718,45.17488333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6718,45.17488333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6718,45.17488333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6718,45.17488333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6718,45.17488333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.6718,45.17488333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.50353333,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.66222222,45.10611111,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.66222222,45.10611111,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.66222222,45.10611111,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.81472222,44.96972222,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.81472222,44.96972222,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.59833333,44.775,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.47753333,44.795,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.47753333,44.795,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.74365,44.88498333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.74365,44.88498333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.74365,44.88498333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.51431667,44.7696,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.8791,44.03366667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.60421667,43.95806667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.60421667,43.95806667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.60421667,43.95806667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.64678333,43.74581167,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.64678333,43.74581167,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.64678333,43.74581167,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.69865,43.90791667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.69865,43.90791667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.7345,43.81467,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.67288333,45.07013333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.34563333,44.59836667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.34563333,44.59836667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.34563333,44.59836667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.34563333,44.59836667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.34563333,44.59836667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.59135,43.74078333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.03213333,43.7425,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.03213333,43.7425,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",14.03213333,43.7425,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.64166667,43.80472222,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.15613333,45.31456667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.0127,45.327135,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.211,45.43606667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.211,45.43606667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.61666667,45.25,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.21688333,45.26281667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",13.21688333,45.26281667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.79111667,45.32703333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88027778,44.98222222,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.76833333,44.98805556,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.4599,44.72958333,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.49391667,44.78555,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.5187,44.761,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.86751667,45.26531667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.8671667,45.2673,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.8667,45.43141667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.8667,45.43141667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.86651667,45.26671667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.86651667,45.26671667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.86651667,45.26671667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.86718333,45.25391667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.90546667,45.3029,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.86718333,45.25391667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.86718333,45.25391667,"SprSum","Juvenile","Juvenile_SprSum"
"Prionace glauca",12.86718333,45.25391667,"SprSum","Juvenile","Juvenile_SprSum"
