"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",9.06,41.23,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",17.53,40.15,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.13,44.2,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",11.16,42.25,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",17.8833333333333,40.25,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",16.8333333333333,40.35,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",18.4166666666667,40.3,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",17.9166666666667,40.2166666666667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.2765,35.1445,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.22355,34.94029,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.22355,34.94029,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.26733,35.05055,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.26733,35.05055,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",14.94765,34.75576,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",14.98467,34.672,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",14.98467,34.672,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.2189,34.65121,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.2189,34.65121,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",14.86506,34.7913,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",14.86506,34.7913,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.54588,35.50049,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.54588,35.50049,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.8415,35.3636,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.8415,35.3636,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.12928,34.71592,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",15.12928,34.71592,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",21.107,37.5461,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",21.107,37.546,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",21.107,37.54615,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",21.107,37.54613,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",16.31058,37.68925,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",14.79172,38.66621,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",7.71527777,43.72944444,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.36083333,43.37527777,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.3225,43.28694444,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.46249999,43.29888888,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.48194444,43.30249999,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.28999999,43.19638888,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.63888888,43.33861111,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.68694444,43.25916666,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.56111111,43.365,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.59305555,43.46972222,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.47777777,43.40222222,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.4475,43.38361111,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",9.43444444,43.31083333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",31.386667,35.004167,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",8.217383,43.528036,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",23.3028923088173,40.1973532794104,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",23.0053096108713,37.8482923418143,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",23.467735,37.932621,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",24.9333296,37.83333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",23.881997,36.840658,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",24.956879,37.39179,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",19.9344547,39.6172578,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",10.321201,43.320031,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",10.407128,43.407365,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",10.227612,43.517737,"WinSpr","Juvenile","Juvenile_WinSpr"
