"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",9.06,41.23,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.04,40.47,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",13.04,37.3,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.2765,35.1445,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.22355,34.94029,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.22355,34.94029,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.26733,35.05055,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.26733,35.05055,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.94765,34.75576,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.98467,34.672,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.98467,34.672,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.2189,34.65121,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.2189,34.65121,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.86506,34.7913,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.86506,34.7913,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.54588,35.50049,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.54588,35.50049,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.8415,35.3636,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.8415,35.3636,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.12928,34.71592,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.12928,34.71592,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",21.023,37.4551,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.46875,37.85317,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.46875,37.85317,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.47974,37.95719,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.47974,37.95719,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",15.47974,37.95719,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.69696,38.49552,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.81094,38.47079,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.73953,38.50059,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.73953,38.50059,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.73953,38.50059,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",14.99496,38.68658,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",9.36083333,43.37527777,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",9.3225,43.28694444,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",9.46249999,43.29888888,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",9.48194444,43.30249999,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",9.28999999,43.19638888,"AutWin","Juvenile","Juvenile_AutWin"
"Prionace glauca",9.63888888,43.33861111,"AutWin","Juvenile","Juvenile_AutWin"
