"species","dd long","dd lat","season"
"Prionace glauca",17.03,40.3,"Spr"
"Prionace glauca",17.34,40.17,"Spr"
"Prionace glauca",13.45,45.38,"Spr"
"Prionace glauca",17.53,40.15,"Spr"
"Prionace glauca",9.13,44.2,"Spr"
"Prionace glauca",15.25,39.59,"Spr"
"Prionace glauca",11.16,42.25,"Spr"
"Prionace glauca",15.31,40.019,"Spr"
"Prionace glauca",18,39.59,"Spr"
"Prionace glauca",17.8833333333333,40.25,"Spr"
"Prionace glauca",16.3166666666667,38.2833333333333,"Spr"
"Prionace glauca",16.8333333333333,40.35,"Spr"
"Prionace glauca",18.4166666666667,40.3,"Spr"
"Prionace glauca",12.15,41.8833333333333,"Spr"
"Prionace glauca",18,39.9833333333333,"Spr"
"Prionace glauca",9.16666666666667,44,"Spr"
"Prionace glauca",9.13333333333333,44.3166666666667,"Spr"
"Prionace glauca",17.9166666666667,40.2166666666667,"Spr"
"Prionace glauca",13.7,45.7,"Spr"
"Prionace glauca",15.6166666666667,38.0833333333333,"Spr"
"Prionace glauca",21.107,37.5461,"Spr"
"Prionace glauca",21.107,37.546,"Spr"
"Prionace glauca",21.107,37.54615,"Spr"
"Prionace glauca",21.107,37.54613,"Spr"
"Prionace glauca",21.107,37.5462,"Spr"
"Prionace glauca",20.231,38.54618,"Spr"
"Prionace glauca",20.231,38.54602,"Spr"
"Prionace glauca",16.31058,37.68925,"Spr"
"Prionace glauca",14.51157,38.66836,"Spr"
"Prionace glauca",14.79172,38.66621,"Spr"
"Prionace glauca",7.71527777,43.72944444,"Spr"
"Prionace glauca",8.81138888,44.16694444,"Spr"
"Prionace glauca",33.054199909428,34.6620751655946,"Spr"
"Prionace glauca",33.052711,34.671905,"Spr"
"Prionace glauca",34.1116,34.9514,"Spr"
"Prionace glauca",32.416617,34.230483,"Spr"
"Prionace glauca",31.31745,34.652333,"Spr"
"Prionace glauca",32.72705,34.1182166666667,"Spr"
"Prionace glauca",31.386667,35.004167,"Spr"
"Prionace glauca",32.416617,34.230483,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",8.217383,43.528036,"Spr"
"Prionace glauca",23.7170809414752,39.1779224345722,"Spr"
"Prionace glauca",23.3028923088173,40.1973532794104,"Spr"
"Prionace glauca",23.0053096108713,37.8482923418143,"Spr"
"Prionace glauca",20.6288605824197,37.7415227345457,"Spr"
"Prionace glauca",23.467735,37.932621,"Spr"
"Prionace glauca",23.212685,38.157618,"Spr"
"Prionace glauca",24.9333296,37.83333,"Spr"
"Prionace glauca",23.013674,37.922344,"Spr"
"Prionace glauca",23.9299,38.3371,"Spr"
"Prionace glauca",22.9106642191453,40.6098484464825,"Spr"
"Prionace glauca",23.881997,36.840658,"Spr"
"Prionace glauca",24.956879,37.39179,"Spr"
"Prionace glauca",24.956879,37.39179,"Spr"
"Prionace glauca",22.971583,37.977885,"Spr"
"Prionace glauca",20.9505,38.669,"Spr"
"Prionace glauca",27.6514,36.2645,"Spr"
"Prionace glauca",19.9344547,39.6172578,"Spr"
"Prionace glauca",22.9038,37.1165,"Spr"
"Prionace glauca",21.58231226432,37.4553905547043,"Spr"
"Prionace glauca",23.4152,37.2587,"Spr"
"Prionace glauca",11.081,42.494,"Spr"
"Prionace glauca",11.126839,42.555001,"Spr"
"Prionace glauca",12.689501,44.138914,"Spr"
"Prionace glauca",10.321201,43.320031,"Spr"
"Prionace glauca",10.322722,43.287322,"Spr"
"Prionace glauca",10.407128,43.407365,"Spr"
"Prionace glauca",10.321201,43.320031,"Spr"
"Prionace glauca",11.209027,42.405312,"Spr"
"Prionace glauca",10.322722,43.287322,"Spr"
"Prionace glauca",10.377217,43.396317,"Spr"
"Prionace glauca",10.227612,43.517737,"Spr"
"Prionace glauca",10.36913,43.398597,"Spr"
"Prionace glauca",10.296472,43.348722,"Spr"
"Prionace glauca",10.409681,43.356317,"Spr"
"Prionace glauca",10.294245,43.348858,"Spr"
"Prionace glauca",10.357397,43.320346,"Spr"
"Prionace glauca",10.113,42.664,"Spr"
"Prionace glauca",10.296756,43.349134,"Spr"
"Prionace glauca",10.512928,43.099878,"Spr"
"Prionace glauca",10.380896,43.424359,"Spr"
"Prionace glauca",18.546417,42.282522,"Spr"
"Prionace glauca",19.1599,41.768171,"Spr"
"Prionace glauca",19.1599,41.768171,"Spr"
"Prionace glauca",19.1599,41.768171,"Spr"
"Prionace glauca",18.443728,42.204872,"Spr"
"Prionace glauca",19.056814,41.790402,"Spr"
"Prionace glauca",19.056814,41.790402,"Spr"
"Prionace glauca",19.078354,42.036451,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",18.810178,42.113995,"Spr"
"Prionace glauca",18.810178,42.113995,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",18.776472,42.215599,"Spr"
"Prionace glauca",18.776472,42.215599,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",19.09774,41.804051,"Spr"
"Prionace glauca",18.76102,42.260176,"Spr"
"Prionace glauca",12.92593333,44.13265,"Spr"
"Prionace glauca",12.99444444,44.20416667,"Spr"
"Prionace glauca",12.89222222,44.16583333,"Spr"
"Prionace glauca",13.07093333,44.2416,"Spr"
"Prionace glauca",12.89416667,45.00083333,"Spr"
"Prionace glauca",12.73813333,44.22711667,"Spr"
"Prionace glauca",12.9525,44.81083333,"Spr"
"Prionace glauca",12.8525,44.85083333,"Spr"
"Prionace glauca",12.76503333,44.57171667,"Spr"
"Prionace glauca",12.65445,45.10646667,"Spr"
"Prionace glauca",12.67638889,44.26638889,"Spr"
"Prionace glauca",12.67638889,44.26638889,"Spr"
"Prionace glauca",12.67638889,44.26638889,"Spr"
"Prionace glauca",12.67638889,44.26638889,"Spr"
"Prionace glauca",12.67638889,44.26638889,"Spr"
"Prionace glauca",12.67638889,44.26638889,"Spr"
"Prionace glauca",12.67638889,44.26638889,"Spr"
"Prionace glauca",12.67638889,44.26638889,"Spr"
"Prionace glauca",12.56773333,45.02711667,"Spr"
"Prionace glauca",12.64403333,44.97408333,"Spr"
"Prionace glauca",12.64403333,44.97408333,"Spr"
"Prionace glauca",12.65211667,44.88903333,"Spr"
"Prionace glauca",12.65211667,44.88903333,"Spr"
"Prionace glauca",12.59338333,44.96666667,"Spr"
"Prionace glauca",12.7411,44.71366667,"Spr"
"Prionace glauca",13.3875,45.49111111,"Spr"
"Prionace glauca",12.63846667,44.98826667,"Spr"
"Prionace glauca",12.94588333,45.34196667,"Spr"
"Prionace glauca",12.94588333,45.34196667,"Spr"
"Prionace glauca",12.94588333,45.34196667,"Spr"
"Prionace glauca",12.66233333,44.95043333,"Spr"
"Prionace glauca",12.59138889,45.0825,"Spr"
"Prionace glauca",12.71888333,45.23991667,"Spr"
"Prionace glauca",12.79833333,45.31944444,"Spr"
"Prionace glauca",12.63031667,45.34658333,"Spr"
"Prionace glauca",12.63031667,45.34658333,"Spr"
"Prionace glauca",12.63031667,45.34658333,"Spr"
"Prionace glauca",12.63031667,45.34658333,"Spr"
"Prionace glauca",12.63031667,45.34658333,"Spr"
"Prionace glauca",13.01368333,45.328,"Spr"
"Prionace glauca",13.01368333,45.328,"Spr"
"Prionace glauca",12.7,44.98305556,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
"Prionace glauca",12.6819,45.22303333,"Spr"
