"species","dd long","dd lat","season"
"Prionace glauca",17.46,40.17,"Sum"
"Prionace glauca",14.59,40.24,"Sum"
"Prionace glauca",9.19,41.11,"Sum"
"Prionace glauca",13.19,37.21,"Sum"
"Prionace glauca",9.5,44.03,"Sum"
"Prionace glauca",16.3166666666667,38.2833333333333,"Sum"
"Prionace glauca",10.2833333333333,43.6166666666667,"Sum"
"Prionace glauca",17.3666666666667,40.3333333333333,"Sum"
"Prionace glauca",10.5166666666667,43.0166666666667,"Sum"
"Prionace glauca",17.5666666666667,40.2833333333333,"Sum"
"Prionace glauca",12.0666666666667,37.95,"Sum"
"Prionace glauca",17.2833333333333,40.3666666666667,"Sum"
"Prionace glauca",15.6333333333333,38.1833333333333,"Sum"
"Prionace glauca",13.0666666666667,37.5,"Sum"
"Prionace glauca",16.9333333333333,40.45,"Sum"
"Prionace glauca",16.1833333333333,38.9333333333333,"Sum"
"Prionace glauca",16.6166666666667,38.8166666666667,"Sum"
"Prionace glauca",17.8833333333333,40.25,"Sum"
"Prionace glauca",16.91,40.424,"Sum"
"Prionace glauca",16.7166666666667,40.1833333333333,"Sum"
"Prionace glauca",15.8,38.354,"Sum"
"Prionace glauca",13.05,41.2166666666667,"Sum"
"Prionace glauca",24.56,35.584,"Sum"
"Prionace glauca",24.56,35.584,"Sum"
"Prionace glauca",24.56,35.584,"Sum"
"Prionace glauca",24.516,34.902,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.697559,42.788201,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",14.764936,43.237997,"Sum"
"Prionace glauca",16.40533,37.43561,"Sum"
"Prionace glauca",16.06201,36.58025,"Sum"
"Prionace glauca",15.48248,37.64903,"Sum"
"Prionace glauca",15.55664,37.48143,"Sum"
"Prionace glauca",16.52,39.75,"Sum"
"Prionace glauca",16.18,38.14,"Sum"
"Prionace glauca",16.18,38.14,"Sum"
"Prionace glauca",16.15,37.94,"Sum"
"Prionace glauca",14.67224,38.51271,"Sum"
"Prionace glauca",14.52805,38.49874,"Sum"
"Prionace glauca",7.88777777,43.78083333,"Sum"
"Prionace glauca",8.15138888,43.5975,"Sum"
"Prionace glauca",8.44583333,43.80333333,"Sum"
"Prionace glauca",7.63111111,43.4475,"Sum"
"Prionace glauca",8.42833333,43.68861111,"Sum"
"Prionace glauca",32.416,34.2971,"Sum"
"Prionace glauca",32.13095,34.74325,"Sum"
"Prionace glauca",33.5166666666667,34.7,"Sum"
"Prionace glauca",33.705967,34.6749,"Sum"
"Prionace glauca",8.217383,43.528036,"Sum"
"Prionace glauca",8.217383,43.528036,"Sum"
"Prionace glauca",8.217383,43.528036,"Sum"
"Prionace glauca",8.217383,43.528036,"Sum"
"Prionace glauca",8.217383,43.528036,"Sum"
