"species","dd long","dd lat","season"
"Prionace glauca",9.06,41.23,"Win"
"Prionace glauca",12.886,33.5313,"Win"
"Prionace glauca",15.2765,35.1445,"Win"
"Prionace glauca",15.22355,34.94029,"Win"
"Prionace glauca",15.22355,34.94029,"Win"
"Prionace glauca",15.26733,35.05055,"Win"
"Prionace glauca",15.26733,35.05055,"Win"
"Prionace glauca",14.94765,34.75576,"Win"
"Prionace glauca",14.98467,34.672,"Win"
"Prionace glauca",14.98467,34.672,"Win"
"Prionace glauca",15.2189,34.65121,"Win"
"Prionace glauca",15.2189,34.65121,"Win"
"Prionace glauca",14.86506,34.7913,"Win"
"Prionace glauca",14.86506,34.7913,"Win"
"Prionace glauca",15.54588,35.50049,"Win"
"Prionace glauca",15.54588,35.50049,"Win"
"Prionace glauca",15.8415,35.3636,"Win"
"Prionace glauca",15.8415,35.3636,"Win"
"Prionace glauca",15.12928,34.71592,"Win"
"Prionace glauca",15.12928,34.71592,"Win"
"Prionace glauca",12.886,33.5313,"Win"
"Prionace glauca",12.886,33.5313,"Win"
"Prionace glauca",12.886,33.5313,"Win"
"Prionace glauca",15.22355,34.94029,"Win"
"Prionace glauca",14.94765,34.75576,"Win"
"Prionace glauca",23.1,38.09,"Win"
"Prionace glauca",9.36083333,43.37527777,"Win"
"Prionace glauca",9.3225,43.28694444,"Win"
"Prionace glauca",9.46249999,43.29888888,"Win"
"Prionace glauca",9.48194444,43.30249999,"Win"
"Prionace glauca",9.28999999,43.19638888,"Win"
"Prionace glauca",9.63888888,43.33861111,"Win"
"Prionace glauca",9.68694444,43.25916666,"Win"
"Prionace glauca",9.56111111,43.365,"Win"
"Prionace glauca",9.59305555,43.46972222,"Win"
"Prionace glauca",9.47777777,43.40222222,"Win"
"Prionace glauca",9.4475,43.38361111,"Win"
"Prionace glauca",9.43444444,43.31083333,"Win"
"Prionace glauca",9.20916666,43.36861111,"Win"
"Prionace glauca",8.217383,43.528036,"Win"
"Prionace glauca",8.217383,43.528036,"Win"
"Prionace glauca",23.2037185,38.110201,"Win"
"Prionace glauca",22.2556654291319,36.844634555578,"Win"
"Prionace glauca",23.217187,38.109461,"Win"
"Prionace glauca",22.850762,40.460806,"Win"
"Prionace glauca",23.882559,40.400945,"Win"
"Prionace glauca",24.9484518158058,37.4367751350526,"Win"
"Prionace glauca",23.3598673540163,37.8411672632711,"Win"
"Prionace glauca",23.34,37.976,"Win"
"Prionace glauca",8.54722222222222,41.1625,"Win"
"Prionace glauca",8.54722222222222,41.1625,"Win"
"Prionace glauca",8.58972222222222,41.3002777777778,"Win"
"Prionace glauca",8.58972222222222,41.3002777777778,"Win"
"Prionace glauca",-4.325,36.606,"Win"
"Prionace glauca",13.233,39.84973,"Win"
"Prionace glauca",13.54,39.70385,"Win"
"Prionace glauca",14.411,39.74076,"Win"
"Prionace glauca",14.149,39.80859,"Win"
"Prionace glauca",14.801,39.6714,"Win"
"Prionace glauca",14.815,39.58692,"Win"
"Prionace glauca",15.202,39.41673,"Win"
"Prionace glauca",15.122,39.30545,"Win"
"Prionace glauca",15.058,39.1995,"Win"
"Prionace glauca",15.267,39.86586,"Win"
"Prionace glauca",15.346,39.81731,"Win"
"Prionace glauca",15.32,39.69351,"Win"
"Prionace glauca",15.333,39.65548,"Win"
"Prionace glauca",15.428,39.58875,"Win"
"Prionace glauca",15.058,39.1995,"Win"
"Prionace glauca",15.524,38.90508,"Win"
"Prionace glauca",15.845,39.09225,"Win"
"Prionace glauca",14.888,40.02787,"Win"
"Prionace glauca",14.266,40.10487,"Win"
"Prionace glauca",14.251,40.06276,"Win"
"Prionace glauca",13.818,40.38275,"Win"
"Prionace glauca",13.628,40.41721,"Win"
"Prionace glauca",13.28,40.40874,"Win"
"Prionace glauca",12.949,40.5483,"Win"
"Prionace glauca",12.678,40.55987,"Win"
"Prionace glauca",12.75,40.68863,"Win"
"Prionace glauca",12.548,41.02814,"Win"
"Prionace glauca",12.541,40.9779,"Win"
"Prionace glauca",12.447,41.27235,"Win"
"Prionace glauca",11.916,41.21236,"Win"
"Prionace glauca",11.676,41.1759,"Win"
"Prionace glauca",13.487,40.79133,"Win"
"Prionace glauca",15.422,39.04146,"Win"
"Prionace glauca",15.554,39.19421,"Win"
"Prionace glauca",13.914,40.51982,"Win"
"Prionace glauca",13.801,40.34656,"Win"
"Prionace glauca",10.982,37.65659,"Win"
"Prionace glauca",11.241,38.06556,"Win"
"Prionace glauca",12.409,38.51033,"Win"
"Prionace glauca",-1.991,36.577,"Win"
"Prionace glauca",-2.307,36.622,"Win"
"Prionace glauca",-2.443,36.595,"Win"
"Prionace glauca",-2.813,36.452,"Win"
"Prionace glauca",-3.686,36.243,"Win"
"Prionace glauca",-3.507,35.653,"Win"
"Prionace glauca",-2.009,35.39,"Win"
"Prionace glauca",-1.936,35.71,"Win"
"Prionace glauca",-2.21,36.037,"Win"
"Prionace glauca",-1.577,36.552,"Win"
"Prionace glauca",-0.948,36.686,"Win"
"Prionace glauca",-0.603,36.798,"Win"
"Prionace glauca",1.65,37.423,"Win"
"Prionace glauca",2.12,38.537,"Win"
"Prionace glauca",7.138,41.562,"Win"
"Prionace glauca",12.254,39.828,"Win"
"Prionace glauca",13.021,39.852,"Win"
"Prionace glauca",12.987,39.875,"Win"
"Prionace glauca",12.813,40.377,"Win"
"Prionace glauca",12.621,40.973,"Win"
"Prionace glauca",10.068,41.905,"Win"
"Prionace glauca",10.182,41.977,"Win"
"Prionace glauca",9.798,41.916,"Win"
"Prionace glauca",9.787,42.177,"Win"
"Prionace glauca",9.809,42.188,"Win"
"Prionace glauca",9.724,42.213,"Win"
"Prionace glauca",9.805,42.319,"Win"
"Prionace glauca",9.86,42.356,"Win"
"Prionace glauca",9.779,42.34,"Win"
"Prionace glauca",9.738,42.355,"Win"
"Prionace glauca",9.784,42.394,"Win"
"Prionace glauca",9.782,42.434,"Win"
"Prionace glauca",9.813,42.377,"Win"
"Prionace glauca",10.872,42.197,"Win"
"Prionace glauca",11.208,42.153,"Win"
"Prionace glauca",11.124,42.103,"Win"
"Prionace glauca",11.141,41.865,"Win"
"Prionace glauca",10.956,41.715,"Win"
"Prionace glauca",11.352,35.666,"Win"
"Prionace glauca",11.394,35.94,"Win"
"Prionace glauca",11.4,35.967,"Win"
"Prionace glauca",11.895,37.99,"Win"
"Prionace glauca",10.558,38.152,"Win"
"Prionace glauca",-1.928,35.75827,"Win"
"Prionace glauca",-2.102,35.67659,"Win"
"Prionace glauca",-2.548,35.61304,"Win"
"Prionace glauca",-2.864,35.40157,"Win"
"Prionace glauca",-2.764,35.59481,"Win"
"Prionace glauca",-3.441,35.61603,"Win"
"Prionace glauca",-3.852,35.62995,"Win"
"Prionace glauca",-3.827,35.73833,"Win"
