"species","dd long","dd lat","sex"
"Prionace glauca",9.5,44.03,"M"
"Prionace glauca",12.886,33.5313,"M"
"Prionace glauca",15.22355,34.94029,"M"
"Prionace glauca",15.26733,35.05055,"M"
"Prionace glauca",14.98467,34.672,"M"
"Prionace glauca",15.8415,35.3636,"M"
"Prionace glauca",15.12928,34.71592,"M"
"Prionace glauca",15.22355,34.94029,"M"
"Prionace glauca",14.94765,34.75576,"M"
"Prionace glauca",21.107,37.5461,"M"
"Prionace glauca",21.107,37.546,"M"
"Prionace glauca",21.107,37.54615,"M"
"Prionace glauca",21.023,37.4551,"M"
"Prionace glauca",21.023,37.45515,"M"
"Prionace glauca",14.697559,42.788201,"M"
"Prionace glauca",14.697559,42.788201,"M"
"Prionace glauca",14.697559,42.788201,"M"
"Prionace glauca",14.697559,42.788201,"M"
"Prionace glauca",14.697559,42.788201,"M"
"Prionace glauca",14.764936,43.237997,"M"
"Prionace glauca",14.764936,43.237997,"M"
"Prionace glauca",14.764936,43.237997,"M"
"Prionace glauca",14.764936,43.237997,"M"
"Prionace glauca",14.764936,43.237997,"M"
"Prionace glauca",15.46875,37.85317,"M"
"Prionace glauca",15.46875,37.85317,"M"
"Prionace glauca",16.18,38.14,"M"
"Prionace glauca",14.51157,38.66836,"M"
"Prionace glauca",14.79172,38.66621,"M"
"Prionace glauca",14.67224,38.51271,"M"
"Prionace glauca",8.15138888,43.5975,"M"
"Prionace glauca",7.63111111,43.4475,"M"
"Prionace glauca",8.42833333,43.68861111,"M"
"Prionace glauca",9.36083333,43.37527777,"M"
"Prionace glauca",9.28999999,43.19638888,"M"
"Prionace glauca",9.63888888,43.33861111,"M"
"Prionace glauca",9.43444444,43.31083333,"M"
"Prionace glauca",33.705967,34.6749,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",8.217383,43.528036,"M"
"Prionace glauca",24.956879,37.39179,"M"
"Prionace glauca",22.971583,37.977885,"M"
"Prionace glauca",23.280492008598,37.8889684516026,"M"
"Prionace glauca",16.215036,38.176481,"M"
"Prionace glauca",8.244,40.951,"M"
"Prionace glauca",10.380896,43.424359,"M"
"Prionace glauca",10.270942,43.645852,"M"
"Prionace glauca",10.165841,43.526103,"M"
"Prionace glauca",8.58972222222222,41.3002777777778,"M"
"Prionace glauca",8.61416666666667,41.1602777777778,"M"
"Prionace glauca",18.6333333333333,41.1666666666667,"M"
"Prionace glauca",16.9166666666667,42,"M"
"Prionace glauca",13.04765,44.1371,"M"
"Prionace glauca",12.43893333,44.77245,"M"
"Prionace glauca",12.44403333,44.77715,"M"
"Prionace glauca",12.95,45.15833333,"M"
"Prionace glauca",12.67638889,44.26638889,"M"
"Prionace glauca",12.67638889,44.26638889,"M"
"Prionace glauca",12.59051667,45.03513333,"M"
"Prionace glauca",12.79416667,45.00083333,"M"
"Prionace glauca",12.8303,44.85995,"M"
"Prionace glauca",13.01368333,45.328,"M"
"Prionace glauca",12.81944444,45.01583333,"M"
"Prionace glauca",12.6819,45.22303333,"M"
"Prionace glauca",12.6819,45.22303333,"M"
"Prionace glauca",12.94768333,45.16585,"M"
