"species","dd long","dd lat","season","sex","group"
"Prionace glauca",14.59,40.24,"SumAut","F","F_SumAut"
"Prionace glauca",9.19,41.11,"SumAut","F","F_SumAut"
"Prionace glauca",14.04,40.47,"SumAut","F","F_SumAut"
"Prionace glauca",9.13,44.2,"SumAut","F","F_SumAut"
"Prionace glauca",10.5166666666667,43.0166666666667,"SumAut","F","F_SumAut"
"Prionace glauca",16.9333333333333,40.45,"SumAut","F","F_SumAut"
"Prionace glauca",16.1833333333333,38.9333333333333,"SumAut","F","F_SumAut"
"Prionace glauca",16.6166666666667,38.8166666666667,"SumAut","F","F_SumAut"
"Prionace glauca",16.7166666666667,40.1833333333333,"SumAut","F","F_SumAut"
"Prionace glauca",15.8,38.354,"SumAut","F","F_SumAut"
"Prionace glauca",24.516,34.902,"SumAut","F","F_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","F","F_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","F","F_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","F","F_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","F","F_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","F","F_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","F","F_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","F","F_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","F","F_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","F","F_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","F","F_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","F","F_SumAut"
"Prionace glauca",15.55664,37.48143,"SumAut","F","F_SumAut"
"Prionace glauca",15.47974,37.95719,"SumAut","F","F_SumAut"
"Prionace glauca",16.52,39.75,"SumAut","F","F_SumAut"
"Prionace glauca",16.18,38.14,"SumAut","F","F_SumAut"
"Prionace glauca",16.15,37.94,"SumAut","F","F_SumAut"
"Prionace glauca",14.52805,38.49874,"SumAut","F","F_SumAut"
"Prionace glauca",7.88777777,43.78083333,"SumAut","F","F_SumAut"
"Prionace glauca",8.44583333,43.80333333,"SumAut","F","F_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","F","F_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","F","F_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","F","F_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","F","F_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","F","F_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","F","F_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","F","F_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","F","F_SumAut"
"Prionace glauca",23.273655,40.188235,"SumAut","F","F_SumAut"
"Prionace glauca",22.8064,40.2997,"SumAut","F","F_SumAut"
"Prionace glauca",10.159088,43.525728,"SumAut","F","F_SumAut"
"Prionace glauca",10.52829,43.086386,"SumAut","F","F_SumAut"
"Prionace glauca",10.272319,43.642154,"SumAut","F","F_SumAut"
"Prionace glauca",18.751038,42.188979,"SumAut","F","F_SumAut"
"Prionace glauca",18.6666666666667,41.0833333333333,"SumAut","F","F_SumAut"
"Prionace glauca",17.05,42.4166666666667,"SumAut","F","F_SumAut"
"Prionace glauca",16.8333333333333,42.25,"SumAut","F","F_SumAut"
"Prionace glauca",15.1666666666667,42.7333333333333,"SumAut","F","F_SumAut"
"Prionace glauca",15.2333333333333,42.7,"SumAut","F","F_SumAut"
"Prionace glauca",15.8333333333333,42.5833333333333,"SumAut","F","F_SumAut"
"Prionace glauca",17.1666666666667,41.6,"SumAut","F","F_SumAut"
"Prionace glauca",17.2,41.5333333333333,"SumAut","F","F_SumAut"
"Prionace glauca",17.1166666666667,41.9166666666667,"SumAut","F","F_SumAut"
"Prionace glauca",13.19171667,44.00706667,"SumAut","F","F_SumAut"
"Prionace glauca",13.25878333,44.09258333,"SumAut","F","F_SumAut"
"Prionace glauca",13.04765,44.1371,"SumAut","F","F_SumAut"
"Prionace glauca",13.15455,44.08198333,"SumAut","F","F_SumAut"
"Prionace glauca",13.15455,44.08198333,"SumAut","F","F_SumAut"
"Prionace glauca",12.44403333,44.77715,"SumAut","F","F_SumAut"
"Prionace glauca",12.43793333,44.7724,"SumAut","F","F_SumAut"
"Prionace glauca",12.76,45.25,"SumAut","F","F_SumAut"
"Prionace glauca",12.59051667,45.03513333,"SumAut","F","F_SumAut"
"Prionace glauca",12.59051667,45.03513333,"SumAut","F","F_SumAut"
"Prionace glauca",12.48138333,44.65086667,"SumAut","F","F_SumAut"
"Prionace glauca",12.63828333,44.94371667,"SumAut","F","F_SumAut"
"Prionace glauca",12.63828333,44.94371667,"SumAut","F","F_SumAut"
"Prionace glauca",13.66583333,43.74001667,"SumAut","F","F_SumAut"
"Prionace glauca",13.13431667,45.1876,"SumAut","F","F_SumAut"
"Prionace glauca",12.91528333,45.26161667,"SumAut","F","F_SumAut"
"Prionace glauca",12.91528333,45.26161667,"SumAut","F","F_SumAut"
"Prionace glauca",12.91528333,45.26161667,"SumAut","F","F_SumAut"
"Prionace glauca",12.80091667,45.3456,"SumAut","F","F_SumAut"
"Prionace glauca",12.92081667,45.45425,"SumAut","F","F_SumAut"
"Prionace glauca",12.92081667,45.45425,"SumAut","F","F_SumAut"
"Prionace glauca",12.79773333,45.23021667,"SumAut","F","F_SumAut"
"Prionace glauca",12.79773333,45.23021667,"SumAut","F","F_SumAut"
"Prionace glauca",12.94768333,45.16585,"SumAut","F","F_SumAut"
"Prionace glauca",12.94768333,45.16585,"SumAut","F","F_SumAut"
"Prionace glauca",12.6718,45.17488333,"SumAut","F","F_SumAut"
"Prionace glauca",12.6718,45.17488333,"SumAut","F","F_SumAut"
"Prionace glauca",12.71027778,44.99083333,"SumAut","F","F_SumAut"
"Prionace glauca",12.71027778,44.99083333,"SumAut","F","F_SumAut"
"Prionace glauca",12.51696667,44.82645,"SumAut","F","F_SumAut"
"Prionace glauca",12.51696667,44.82645,"SumAut","F","F_SumAut"
"Prionace glauca",13.64678333,43.74581167,"SumAut","F","F_SumAut"
