"species","dd long","dd lat","season","sex","group"
"Prionace glauca",14.59,40.24,"SprSum","F","F_SprSum"
"Prionace glauca",9.19,41.11,"SprSum","F","F_SprSum"
"Prionace glauca",15.25,39.59,"SprSum","F","F_SprSum"
"Prionace glauca",10.5166666666667,43.0166666666667,"SprSum","F","F_SprSum"
"Prionace glauca",16.9333333333333,40.45,"SprSum","F","F_SprSum"
"Prionace glauca",16.1833333333333,38.9333333333333,"SprSum","F","F_SprSum"
"Prionace glauca",16.6166666666667,38.8166666666667,"SprSum","F","F_SprSum"
"Prionace glauca",18,39.9833333333333,"SprSum","F","F_SprSum"
"Prionace glauca",9.13333333333333,44.3166666666667,"SprSum","F","F_SprSum"
"Prionace glauca",16.7166666666667,40.1833333333333,"SprSum","F","F_SprSum"
"Prionace glauca",15.8,38.354,"SprSum","F","F_SprSum"
"Prionace glauca",21.107,37.54613,"SprSum","F","F_SprSum"
"Prionace glauca",20.231,38.54618,"SprSum","F","F_SprSum"
"Prionace glauca",20.231,38.54602,"SprSum","F","F_SprSum"
"Prionace glauca",24.516,34.902,"SprSum","F","F_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","F","F_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","F","F_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","F","F_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","F","F_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","F","F_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","F","F_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","F","F_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","F","F_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","F","F_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","F","F_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","F","F_SprSum"
"Prionace glauca",16.31058,37.68925,"SprSum","F","F_SprSum"
"Prionace glauca",15.55664,37.48143,"SprSum","F","F_SprSum"
"Prionace glauca",16.52,39.75,"SprSum","F","F_SprSum"
"Prionace glauca",16.18,38.14,"SprSum","F","F_SprSum"
"Prionace glauca",16.15,37.94,"SprSum","F","F_SprSum"
"Prionace glauca",14.52805,38.49874,"SprSum","F","F_SprSum"
"Prionace glauca",7.88777777,43.78083333,"SprSum","F","F_SprSum"
"Prionace glauca",8.44583333,43.80333333,"SprSum","F","F_SprSum"
"Prionace glauca",7.71527777,43.72944444,"SprSum","F","F_SprSum"
"Prionace glauca",8.81138888,44.16694444,"SprSum","F","F_SprSum"
"Prionace glauca",31.31745,34.652333,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","F","F_SprSum"
