"species","dd long","dd lat","season","sex","group"
"Prionace glauca",14.04,40.47,"AutWin","F","F_AutWin"
"Prionace glauca",9.13,44.2,"AutWin","F","F_AutWin"
"Prionace glauca",15.2765,35.1445,"AutWin","F","F_AutWin"
"Prionace glauca",15.22355,34.94029,"AutWin","F","F_AutWin"
"Prionace glauca",15.26733,35.05055,"AutWin","F","F_AutWin"
"Prionace glauca",14.94765,34.75576,"AutWin","F","F_AutWin"
"Prionace glauca",14.98467,34.672,"AutWin","F","F_AutWin"
"Prionace glauca",15.2189,34.65121,"AutWin","F","F_AutWin"
"Prionace glauca",15.2189,34.65121,"AutWin","F","F_AutWin"
"Prionace glauca",14.86506,34.7913,"AutWin","F","F_AutWin"
"Prionace glauca",12.886,33.5313,"AutWin","F","F_AutWin"
"Prionace glauca",12.886,33.5313,"AutWin","F","F_AutWin"
"Prionace glauca",23.1,38.09,"AutWin","F","F_AutWin"
"Prionace glauca",15.47974,37.95719,"AutWin","F","F_AutWin"
"Prionace glauca",9.3225,43.28694444,"AutWin","F","F_AutWin"
"Prionace glauca",9.46249999,43.29888888,"AutWin","F","F_AutWin"
"Prionace glauca",9.48194444,43.30249999,"AutWin","F","F_AutWin"
"Prionace glauca",9.68694444,43.25916666,"AutWin","F","F_AutWin"
"Prionace glauca",9.56111111,43.365,"AutWin","F","F_AutWin"
"Prionace glauca",9.59305555,43.46972222,"AutWin","F","F_AutWin"
"Prionace glauca",9.47777777,43.40222222,"AutWin","F","F_AutWin"
"Prionace glauca",9.4475,43.38361111,"AutWin","F","F_AutWin"
"Prionace glauca",9.20916666,43.36861111,"AutWin","F","F_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","F","F_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","F","F_AutWin"
"Prionace glauca",23.2037185,38.110201,"AutWin","F","F_AutWin"
"Prionace glauca",23.217187,38.109461,"AutWin","F","F_AutWin"
"Prionace glauca",23.273655,40.188235,"AutWin","F","F_AutWin"
"Prionace glauca",23.34,37.976,"AutWin","F","F_AutWin"
"Prionace glauca",8.54722222222222,41.1625,"AutWin","F","F_AutWin"
"Prionace glauca",8.54722222222222,41.1625,"AutWin","F","F_AutWin"
"Prionace glauca",8.58972222222222,41.3002777777778,"AutWin","F","F_AutWin"
"Prionace glauca",17.1166666666667,41.9166666666667,"AutWin","F","F_AutWin"
"Prionace glauca",12.43793333,44.7724,"AutWin","F","F_AutWin"
"Prionace glauca",12.63828333,44.94371667,"AutWin","F","F_AutWin"
"Prionace glauca",12.63828333,44.94371667,"AutWin","F","F_AutWin"
"Prionace glauca",12.71027778,44.99083333,"AutWin","F","F_AutWin"
"Prionace glauca",12.71027778,44.99083333,"AutWin","F","F_AutWin"
"Prionace glauca",3.175,42.625,"AutWin","F","F_AutWin"
"Prionace glauca",-4.325,36.606,"AutWin","F","F_AutWin"
"Prionace glauca",-4.325,36.606,"AutWin","F","F_AutWin"
"Prionace glauca",-4.325,36.606,"AutWin","F","F_AutWin"
"Prionace glauca",-4.325,36.606,"AutWin","F","F_AutWin"
"Prionace glauca",10.375,42.85,"AutWin","F","F_AutWin"
"Prionace glauca",10.05,42.975,"AutWin","F","F_AutWin"
"Prionace glauca",9.475,43.275,"AutWin","F","F_AutWin"
"Prionace glauca",8.925,43.35,"AutWin","F","F_AutWin"
"Prionace glauca",8.425,43.225,"AutWin","F","F_AutWin"
"Prionace glauca",8.125,43.075,"AutWin","F","F_AutWin"
"Prionace glauca",7.55,42.675,"AutWin","F","F_AutWin"
"Prionace glauca",7.375,42.525,"AutWin","F","F_AutWin"
"Prionace glauca",7.2,42.35,"AutWin","F","F_AutWin"
"Prionace glauca",15.458,38.35512,"AutWin","F","F_AutWin"
"Prionace glauca",15.44,38.36667,"AutWin","F","F_AutWin"
"Prionace glauca",15.939,38.60062,"AutWin","F","F_AutWin"
"Prionace glauca",15.694,38.5967,"AutWin","F","F_AutWin"
"Prionace glauca",14.945,38.27979,"AutWin","F","F_AutWin"
"Prionace glauca",14.575,38.50318,"AutWin","F","F_AutWin"
"Prionace glauca",14.14,38.56409,"AutWin","F","F_AutWin"
"Prionace glauca",15.422,39.04146,"AutWin","F","F_AutWin"
"Prionace glauca",15.554,39.19421,"AutWin","F","F_AutWin"
"Prionace glauca",13.914,40.51982,"AutWin","F","F_AutWin"
"Prionace glauca",13.801,40.34656,"AutWin","F","F_AutWin"
"Prionace glauca",10.982,37.65659,"AutWin","F","F_AutWin"
"Prionace glauca",11.241,38.06556,"AutWin","F","F_AutWin"
"Prionace glauca",12.409,38.51033,"AutWin","F","F_AutWin"
"Prionace glauca",13.43,40.44118,"AutWin","F","F_AutWin"
"Prionace glauca",13.587,40.44583,"AutWin","F","F_AutWin"
"Prionace glauca",13.411,40.31286,"AutWin","F","F_AutWin"
"Prionace glauca",13.404,40.31812,"AutWin","F","F_AutWin"
"Prionace glauca",13.422,40.58317,"AutWin","F","F_AutWin"
"Prionace glauca",13.267,40.53718,"AutWin","F","F_AutWin"
"Prionace glauca",13.234,40.52617,"AutWin","F","F_AutWin"
"Prionace glauca",13.167,40.67864,"AutWin","F","F_AutWin"
"Prionace glauca",13.169,40.69229,"AutWin","F","F_AutWin"
"Prionace glauca",13.091,40.67176,"AutWin","F","F_AutWin"
"Prionace glauca",13.011,40.67016,"AutWin","F","F_AutWin"
"Prionace glauca",13.001,40.75876,"AutWin","F","F_AutWin"
"Prionace glauca",12.892,40.66281,"AutWin","F","F_AutWin"
"Prionace glauca",12.748,40.69927,"AutWin","F","F_AutWin"
"Prionace glauca",12.73,40.67407,"AutWin","F","F_AutWin"
"Prionace glauca",12.725,40.61302,"AutWin","F","F_AutWin"
"Prionace glauca",12.376,41.0091,"AutWin","F","F_AutWin"
"Prionace glauca",11.909,41.41596,"AutWin","F","F_AutWin"
"Prionace glauca",11.861,41.41411,"AutWin","F","F_AutWin"
"Prionace glauca",NA,41.27754,"AutWin","F","F_AutWin"
"Prionace glauca",11.183,41.18933,"AutWin","F","F_AutWin"
"Prionace glauca",11.175,41.11861,"AutWin","F","F_AutWin"
"Prionace glauca",11.215,41.09315,"AutWin","F","F_AutWin"
"Prionace glauca",11.287,41.0336,"AutWin","F","F_AutWin"
"Prionace glauca",11.007,40.8913,"AutWin","F","F_AutWin"
"Prionace glauca",11.007,40.99654,"AutWin","F","F_AutWin"
"Prionace glauca",10.888,41.1305,"AutWin","F","F_AutWin"
"Prionace glauca",10.784,41.11557,"AutWin","F","F_AutWin"
"Prionace glauca",10.609,41.08651,"AutWin","F","F_AutWin"
"Prionace glauca",10.694,41.01684,"AutWin","F","F_AutWin"
"Prionace glauca",10.706,40.98431,"AutWin","F","F_AutWin"
"Prionace glauca",10.552,40.90205,"AutWin","F","F_AutWin"
"Prionace glauca",10.457,40.84829,"AutWin","F","F_AutWin"
"Prionace glauca",10.359,40.91633,"AutWin","F","F_AutWin"
"Prionace glauca",10.189,40.94155,"AutWin","F","F_AutWin"
"Prionace glauca",9.889,41.16729,"AutWin","F","F_AutWin"
"Prionace glauca",-1.991,36.577,"AutWin","F","F_AutWin"
"Prionace glauca",-2.307,36.622,"AutWin","F","F_AutWin"
"Prionace glauca",-2.443,36.595,"AutWin","F","F_AutWin"
"Prionace glauca",-2.813,36.452,"AutWin","F","F_AutWin"
"Prionace glauca",-3.686,36.243,"AutWin","F","F_AutWin"
"Prionace glauca",-3.507,35.653,"AutWin","F","F_AutWin"
"Prionace glauca",-2.009,35.39,"AutWin","F","F_AutWin"
"Prionace glauca",-1.936,35.71,"AutWin","F","F_AutWin"
"Prionace glauca",-2.21,36.037,"AutWin","F","F_AutWin"
"Prionace glauca",-1.577,36.552,"AutWin","F","F_AutWin"
"Prionace glauca",-0.948,36.686,"AutWin","F","F_AutWin"
"Prionace glauca",-0.603,36.798,"AutWin","F","F_AutWin"
"Prionace glauca",1.65,37.423,"AutWin","F","F_AutWin"
"Prionace glauca",2.12,38.537,"AutWin","F","F_AutWin"
"Prionace glauca",7.138,41.562,"AutWin","F","F_AutWin"
"Prionace glauca",12.254,39.828,"AutWin","F","F_AutWin"
"Prionace glauca",13.021,39.852,"AutWin","F","F_AutWin"
"Prionace glauca",12.987,39.875,"AutWin","F","F_AutWin"
"Prionace glauca",12.813,40.377,"AutWin","F","F_AutWin"
"Prionace glauca",12.621,40.973,"AutWin","F","F_AutWin"
"Prionace glauca",10.351,40.777,"AutWin","F","F_AutWin"
"Prionace glauca",9.665,41.34,"AutWin","F","F_AutWin"
"Prionace glauca",9.615,41.372,"AutWin","F","F_AutWin"
"Prionace glauca",10.143,41.744,"AutWin","F","F_AutWin"
"Prionace glauca",10.068,41.905,"AutWin","F","F_AutWin"
"Prionace glauca",10.33,41.918,"AutWin","F","F_AutWin"
"Prionace glauca",10.182,41.977,"AutWin","F","F_AutWin"
"Prionace glauca",10.013,41.93,"AutWin","F","F_AutWin"
"Prionace glauca",10.043,41.955,"AutWin","F","F_AutWin"
"Prionace glauca",10.03,42.032,"AutWin","F","F_AutWin"
"Prionace glauca",9.798,41.916,"AutWin","F","F_AutWin"
"Prionace glauca",9.77,41.951,"AutWin","F","F_AutWin"
"Prionace glauca",9.756,42.061,"AutWin","F","F_AutWin"
"Prionace glauca",9.871,42.063,"AutWin","F","F_AutWin"
"Prionace glauca",10.116,42.069,"AutWin","F","F_AutWin"
"Prionace glauca",10.139,42.088,"AutWin","F","F_AutWin"
"Prionace glauca",10.174,42.069,"AutWin","F","F_AutWin"
"Prionace glauca",10.21,42.077,"AutWin","F","F_AutWin"
"Prionace glauca",10.106,42.138,"AutWin","F","F_AutWin"
"Prionace glauca",10.11,42.153,"AutWin","F","F_AutWin"
"Prionace glauca",9.787,42.177,"AutWin","F","F_AutWin"
