"species","dd long","dd lat","season","sex","group"
"Prionace glauca",9.5,44.03,"SumAut","M","M_SumAut"
"Prionace glauca",21.023,37.4551,"SumAut","M","M_SumAut"
"Prionace glauca",21.023,37.45515,"SumAut","M","M_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","M","M_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","M","M_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","M","M_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","M","M_SumAut"
"Prionace glauca",14.697559,42.788201,"SumAut","M","M_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","M","M_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","M","M_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","M","M_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","M","M_SumAut"
"Prionace glauca",14.764936,43.237997,"SumAut","M","M_SumAut"
"Prionace glauca",15.46875,37.85317,"SumAut","M","M_SumAut"
"Prionace glauca",15.46875,37.85317,"SumAut","M","M_SumAut"
"Prionace glauca",16.18,38.14,"SumAut","M","M_SumAut"
"Prionace glauca",14.67224,38.51271,"SumAut","M","M_SumAut"
"Prionace glauca",8.15138888,43.5975,"SumAut","M","M_SumAut"
"Prionace glauca",7.63111111,43.4475,"SumAut","M","M_SumAut"
"Prionace glauca",8.42833333,43.68861111,"SumAut","M","M_SumAut"
"Prionace glauca",33.705967,34.6749,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",8.217383,43.528036,"SumAut","M","M_SumAut"
"Prionace glauca",23.280492008598,37.8889684516026,"SumAut","M","M_SumAut"
"Prionace glauca",16.215036,38.176481,"SumAut","M","M_SumAut"
"Prionace glauca",8.244,40.951,"SumAut","M","M_SumAut"
"Prionace glauca",10.270942,43.645852,"SumAut","M","M_SumAut"
"Prionace glauca",10.165841,43.526103,"SumAut","M","M_SumAut"
"Prionace glauca",8.61416666666667,41.1602777777778,"SumAut","M","M_SumAut"
"Prionace glauca",18.6333333333333,41.1666666666667,"SumAut","M","M_SumAut"
"Prionace glauca",16.9166666666667,42,"SumAut","M","M_SumAut"
"Prionace glauca",13.04765,44.1371,"SumAut","M","M_SumAut"
"Prionace glauca",12.43893333,44.77245,"SumAut","M","M_SumAut"
"Prionace glauca",12.44403333,44.77715,"SumAut","M","M_SumAut"
"Prionace glauca",12.95,45.15833333,"SumAut","M","M_SumAut"
"Prionace glauca",12.59051667,45.03513333,"SumAut","M","M_SumAut"
"Prionace glauca",12.79416667,45.00083333,"SumAut","M","M_SumAut"
"Prionace glauca",12.8303,44.85995,"SumAut","M","M_SumAut"
"Prionace glauca",12.81944444,45.01583333,"SumAut","M","M_SumAut"
"Prionace glauca",12.94768333,45.16585,"SumAut","M","M_SumAut"
"Prionace glauca",12.51696667,44.82645,"SumAut","M","M_SumAut"
"Prionace glauca",12.47753333,44.795,"SumAut","M","M_SumAut"
"Prionace glauca",13.64678333,43.74581167,"SumAut","M","M_SumAut"
"Prionace glauca",12.70096667,45.0012,"SumAut","M","M_SumAut"
"Prionace glauca",13.211,45.43606667,"SumAut","M","M_SumAut"
"Prionace glauca",12.61666667,45.25,"SumAut","M","M_SumAut"
"Prionace glauca",13.565,45.61833333,"SumAut","M","M_SumAut"
"Prionace glauca",12.86666667,45.2501667,"SumAut","M","M_SumAut"
"Prionace glauca",12.88033333,45.2505,"SumAut","M","M_SumAut"
"Prionace glauca",12.88033333,45.2505,"SumAut","M","M_SumAut"
"Prionace glauca",12.88033333,45.2505,"SumAut","M","M_SumAut"
"Prionace glauca",12.54678333,44.73055,"SumAut","M","M_SumAut"
"Prionace glauca",13.1224567,45.44922222,"SumAut","M","M_SumAut"
"Prionace glauca",13.21138333,45.4351,"SumAut","M","M_SumAut"
"Prionace glauca",13.0710666666667,45.44175,"SumAut","M","M_SumAut"
"Prionace glauca",3.175,42.625,"SumAut","M","M_SumAut"
"Prionace glauca",3.175,42.625,"SumAut","M","M_SumAut"
"Prionace glauca",3.2,42.625,"SumAut","M","M_SumAut"
"Prionace glauca",3.2,42.625,"SumAut","M","M_SumAut"
"Prionace glauca",3.175,42.625,"SumAut","M","M_SumAut"
"Prionace glauca",3.175,42.6,"SumAut","M","M_SumAut"
"Prionace glauca",10.207,42.36667,"SumAut","M","M_SumAut"
"Prionace glauca",6.035,42.369,"SumAut","M","M_SumAut"
"Prionace glauca",6.067,42.83333,"SumAut","M","M_SumAut"
"Prionace glauca",11.221,39.332,"SumAut","M","M_SumAut"
"Prionace glauca",11.124,39.3054,"SumAut","M","M_SumAut"
"Prionace glauca",10.623,39.5529,"SumAut","M","M_SumAut"
"Prionace glauca",10.025,39.7926,"SumAut","M","M_SumAut"
"Prionace glauca",11.219,39.6835,"SumAut","M","M_SumAut"
"Prionace glauca",11.457,39.813,"SumAut","M","M_SumAut"
"Prionace glauca",11.538,39.7209,"SumAut","M","M_SumAut"
"Prionace glauca",11.52,39.7451,"SumAut","M","M_SumAut"
"Prionace glauca",11.625,40.1094,"SumAut","M","M_SumAut"
"Prionace glauca",11.617,40.3885,"SumAut","M","M_SumAut"
"Prionace glauca",11.767,40.3677,"SumAut","M","M_SumAut"
"Prionace glauca",11.952,40.0598,"SumAut","M","M_SumAut"
"Prionace glauca",11.832,39.8505,"SumAut","M","M_SumAut"
"Prionace glauca",12.098,39.7379,"SumAut","M","M_SumAut"
"Prionace glauca",12.204,39.7081,"SumAut","M","M_SumAut"
"Prionace glauca",11.952,39.5378,"SumAut","M","M_SumAut"
"Prionace glauca",11.866,39.623,"SumAut","M","M_SumAut"
"Prionace glauca",11.514,39.374,"SumAut","M","M_SumAut"
"Prionace glauca",12.168,40.0466,"SumAut","M","M_SumAut"
"Prionace glauca",12.49,39.7876,"SumAut","M","M_SumAut"
"Prionace glauca",12.476,39.738,"SumAut","M","M_SumAut"
"Prionace glauca",12.818,39.8319,"SumAut","M","M_SumAut"
"Prionace glauca",12.905,39.6696,"SumAut","M","M_SumAut"
"Prionace glauca",12.582,39.3988,"SumAut","M","M_SumAut"
"Prionace glauca",12.897,39.10279,"SumAut","M","M_SumAut"
"Prionace glauca",12.814,39.24207,"SumAut","M","M_SumAut"
"Prionace glauca",12.992,39.26237,"SumAut","M","M_SumAut"
"Prionace glauca",13.174,39.48181,"SumAut","M","M_SumAut"
"Prionace glauca",13.274,39.86229,"SumAut","M","M_SumAut"
"Prionace glauca",13.664,39.46991,"SumAut","M","M_SumAut"
"Prionace glauca",14.059,39.54644,"SumAut","M","M_SumAut"
"Prionace glauca",14.056,39.57404,"SumAut","M","M_SumAut"
"Prionace glauca",14.03,39.59858,"SumAut","M","M_SumAut"
"Prionace glauca",14.001,39.60815,"SumAut","M","M_SumAut"
"Prionace glauca",14.155,39.58322,"SumAut","M","M_SumAut"
"Prionace glauca",14.234,39.50058,"SumAut","M","M_SumAut"
"Prionace glauca",14.291,39.51597,"SumAut","M","M_SumAut"
"Prionace glauca",14.298,39.55965,"SumAut","M","M_SumAut"
"Prionace glauca",14.262,39.6599,"SumAut","M","M_SumAut"
"Prionace glauca",14.357,39.70117,"SumAut","M","M_SumAut"
"Prionace glauca",14.256,39.72643,"SumAut","M","M_SumAut"
