"species","dd long","dd lat","season","sex","group"
"Prionace glauca",9.5,44.03,"SprSum","M","M_SprSum"
"Prionace glauca",21.107,37.5461,"SprSum","M","M_SprSum"
"Prionace glauca",21.107,37.546,"SprSum","M","M_SprSum"
"Prionace glauca",21.107,37.54615,"SprSum","M","M_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","M","M_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","M","M_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","M","M_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","M","M_SprSum"
"Prionace glauca",14.697559,42.788201,"SprSum","M","M_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","M","M_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","M","M_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","M","M_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","M","M_SprSum"
"Prionace glauca",14.764936,43.237997,"SprSum","M","M_SprSum"
"Prionace glauca",16.18,38.14,"SprSum","M","M_SprSum"
"Prionace glauca",14.51157,38.66836,"SprSum","M","M_SprSum"
"Prionace glauca",14.79172,38.66621,"SprSum","M","M_SprSum"
"Prionace glauca",14.67224,38.51271,"SprSum","M","M_SprSum"
"Prionace glauca",8.15138888,43.5975,"SprSum","M","M_SprSum"
"Prionace glauca",7.63111111,43.4475,"SprSum","M","M_SprSum"
"Prionace glauca",8.42833333,43.68861111,"SprSum","M","M_SprSum"
"Prionace glauca",33.705967,34.6749,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",8.217383,43.528036,"SprSum","M","M_SprSum"
"Prionace glauca",24.956879,37.39179,"SprSum","M","M_SprSum"
"Prionace glauca",22.971583,37.977885,"SprSum","M","M_SprSum"
"Prionace glauca",23.280492008598,37.8889684516026,"SprSum","M","M_SprSum"
"Prionace glauca",16.215036,38.176481,"SprSum","M","M_SprSum"
"Prionace glauca",8.244,40.951,"SprSum","M","M_SprSum"
"Prionace glauca",10.380896,43.424359,"SprSum","M","M_SprSum"
"Prionace glauca",10.270942,43.645852,"SprSum","M","M_SprSum"
"Prionace glauca",8.61416666666667,41.1602777777778,"SprSum","M","M_SprSum"
"Prionace glauca",18.6333333333333,41.1666666666667,"SprSum","M","M_SprSum"
"Prionace glauca",16.9166666666667,42,"SprSum","M","M_SprSum"
"Prionace glauca",13.04765,44.1371,"SprSum","M","M_SprSum"
"Prionace glauca",12.43893333,44.77245,"SprSum","M","M_SprSum"
"Prionace glauca",12.44403333,44.77715,"SprSum","M","M_SprSum"
"Prionace glauca",12.95,45.15833333,"SprSum","M","M_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","M","M_SprSum"
"Prionace glauca",12.67638889,44.26638889,"SprSum","M","M_SprSum"
"Prionace glauca",12.59051667,45.03513333,"SprSum","M","M_SprSum"
"Prionace glauca",12.79416667,45.00083333,"SprSum","M","M_SprSum"
"Prionace glauca",12.8303,44.85995,"SprSum","M","M_SprSum"
"Prionace glauca",13.01368333,45.328,"SprSum","M","M_SprSum"
"Prionace glauca",12.81944444,45.01583333,"SprSum","M","M_SprSum"
"Prionace glauca",12.6819,45.22303333,"SprSum","M","M_SprSum"
"Prionace glauca",12.6819,45.22303333,"SprSum","M","M_SprSum"
"Prionace glauca",12.94768333,45.16585,"SprSum","M","M_SprSum"
"Prionace glauca",12.51696667,44.82645,"SprSum","M","M_SprSum"
"Prionace glauca",12.47753333,44.795,"SprSum","M","M_SprSum"
"Prionace glauca",13.60421667,43.95806667,"SprSum","M","M_SprSum"
"Prionace glauca",13.64678333,43.74581167,"SprSum","M","M_SprSum"
"Prionace glauca",13.69865,43.90791667,"SprSum","M","M_SprSum"
"Prionace glauca",12.70096667,45.0012,"SprSum","M","M_SprSum"
"Prionace glauca",13.211,45.43606667,"SprSum","M","M_SprSum"
"Prionace glauca",12.61666667,45.25,"SprSum","M","M_SprSum"
"Prionace glauca",12.4599,44.72958333,"SprSum","M","M_SprSum"
"Prionace glauca",12.86666667,45.2501667,"SprSum","M","M_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","M","M_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","M","M_SprSum"
"Prionace glauca",12.88033333,45.2505,"SprSum","M","M_SprSum"
"Prionace glauca",12.54678333,44.73055,"SprSum","M","M_SprSum"
"Prionace glauca",13.1224567,45.44922222,"SprSum","M","M_SprSum"
"Prionace glauca",13.21138333,45.4351,"SprSum","M","M_SprSum"
"Prionace glauca",12.94235,44.1478,"SprSum","M","M_SprSum"
"Prionace glauca",13.0132166666667,45.3276,"SprSum","M","M_SprSum"
"Prionace glauca",13.0710666666667,45.44175,"SprSum","M","M_SprSum"
"Prionace glauca",12.6369,45.1422333333333,"SprSum","M","M_SprSum"
"Prionace glauca",12.689,45.0746,"SprSum","M","M_SprSum"
"Prionace glauca",13.5632,45.6072,"SprSum","M","M_SprSum"
"Prionace glauca",12.5876666666667,45.1358833333333,"SprSum","M","M_SprSum"
"Prionace glauca",12.5876666666667,45.1358833333333,"SprSum","M","M_SprSum"
"Prionace glauca",3.175,42.625,"SprSum","M","M_SprSum"
"Prionace glauca",3.175,42.625,"SprSum","M","M_SprSum"
"Prionace glauca",3.2,42.625,"SprSum","M","M_SprSum"
"Prionace glauca",3.2,42.625,"SprSum","M","M_SprSum"
"Prionace glauca",3.175,42.6,"SprSum","M","M_SprSum"
"Prionace glauca",10.207,42.36667,"SprSum","M","M_SprSum"
"Prionace glauca",6.035,42.369,"SprSum","M","M_SprSum"
"Prionace glauca",6.067,42.83333,"SprSum","M","M_SprSum"
"Prionace glauca",10.109,41.4219,"SprSum","M","M_SprSum"
"Prionace glauca",10.158,41.0551,"SprSum","M","M_SprSum"
"Prionace glauca",10.586,40.5306,"SprSum","M","M_SprSum"
"Prionace glauca",10.588,40.3605,"SprSum","M","M_SprSum"
"Prionace glauca",11.034,39.9081,"SprSum","M","M_SprSum"
"Prionace glauca",11.221,39.332,"SprSum","M","M_SprSum"
"Prionace glauca",11.124,39.3054,"SprSum","M","M_SprSum"
"Prionace glauca",10.623,39.5529,"SprSum","M","M_SprSum"
"Prionace glauca",10.025,39.7926,"SprSum","M","M_SprSum"
"Prionace glauca",11.219,39.6835,"SprSum","M","M_SprSum"
"Prionace glauca",11.457,39.813,"SprSum","M","M_SprSum"
"Prionace glauca",11.538,39.7209,"SprSum","M","M_SprSum"
"Prionace glauca",11.52,39.7451,"SprSum","M","M_SprSum"
"Prionace glauca",11.625,40.1094,"SprSum","M","M_SprSum"
"Prionace glauca",11.617,40.3885,"SprSum","M","M_SprSum"
"Prionace glauca",11.767,40.3677,"SprSum","M","M_SprSum"
"Prionace glauca",11.952,40.0598,"SprSum","M","M_SprSum"
"Prionace glauca",11.832,39.8505,"SprSum","M","M_SprSum"
"Prionace glauca",12.098,39.7379,"SprSum","M","M_SprSum"
"Prionace glauca",12.204,39.7081,"SprSum","M","M_SprSum"
"Prionace glauca",11.952,39.5378,"SprSum","M","M_SprSum"
"Prionace glauca",11.866,39.623,"SprSum","M","M_SprSum"
"Prionace glauca",11.514,39.374,"SprSum","M","M_SprSum"
"Prionace glauca",12.168,40.0466,"SprSum","M","M_SprSum"
"Prionace glauca",12.49,39.7876,"SprSum","M","M_SprSum"
