"species","dd long","dd lat","season","sex","group"
"Prionace glauca",12.886,33.5313,"AutWin","M","M_AutWin"
"Prionace glauca",15.22355,34.94029,"AutWin","M","M_AutWin"
"Prionace glauca",15.26733,35.05055,"AutWin","M","M_AutWin"
"Prionace glauca",14.98467,34.672,"AutWin","M","M_AutWin"
"Prionace glauca",15.8415,35.3636,"AutWin","M","M_AutWin"
"Prionace glauca",15.12928,34.71592,"AutWin","M","M_AutWin"
"Prionace glauca",15.22355,34.94029,"AutWin","M","M_AutWin"
"Prionace glauca",14.94765,34.75576,"AutWin","M","M_AutWin"
"Prionace glauca",21.023,37.4551,"AutWin","M","M_AutWin"
"Prionace glauca",21.023,37.45515,"AutWin","M","M_AutWin"
"Prionace glauca",15.46875,37.85317,"AutWin","M","M_AutWin"
"Prionace glauca",15.46875,37.85317,"AutWin","M","M_AutWin"
"Prionace glauca",9.36083333,43.37527777,"AutWin","M","M_AutWin"
"Prionace glauca",9.28999999,43.19638888,"AutWin","M","M_AutWin"
"Prionace glauca",9.63888888,43.33861111,"AutWin","M","M_AutWin"
"Prionace glauca",9.43444444,43.31083333,"AutWin","M","M_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","M","M_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","M","M_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","M","M_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","M","M_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","M","M_AutWin"
"Prionace glauca",8.217383,43.528036,"AutWin","M","M_AutWin"
"Prionace glauca",10.165841,43.526103,"AutWin","M","M_AutWin"
"Prionace glauca",8.58972222222222,41.3002777777778,"AutWin","M","M_AutWin"
"Prionace glauca",13.565,45.61833333,"AutWin","M","M_AutWin"
"Prionace glauca",3.175,42.625,"AutWin","M","M_AutWin"
"Prionace glauca",12.897,39.10279,"AutWin","M","M_AutWin"
"Prionace glauca",12.814,39.24207,"AutWin","M","M_AutWin"
"Prionace glauca",12.992,39.26237,"AutWin","M","M_AutWin"
"Prionace glauca",13.174,39.48181,"AutWin","M","M_AutWin"
"Prionace glauca",13.274,39.86229,"AutWin","M","M_AutWin"
"Prionace glauca",13.233,39.84973,"AutWin","M","M_AutWin"
"Prionace glauca",13.54,39.70385,"AutWin","M","M_AutWin"
"Prionace glauca",13.664,39.46991,"AutWin","M","M_AutWin"
"Prionace glauca",14.059,39.54644,"AutWin","M","M_AutWin"
"Prionace glauca",14.056,39.57404,"AutWin","M","M_AutWin"
"Prionace glauca",14.03,39.59858,"AutWin","M","M_AutWin"
"Prionace glauca",14.001,39.60815,"AutWin","M","M_AutWin"
"Prionace glauca",14.155,39.58322,"AutWin","M","M_AutWin"
"Prionace glauca",14.234,39.50058,"AutWin","M","M_AutWin"
"Prionace glauca",14.291,39.51597,"AutWin","M","M_AutWin"
"Prionace glauca",14.298,39.55965,"AutWin","M","M_AutWin"
"Prionace glauca",14.262,39.6599,"AutWin","M","M_AutWin"
"Prionace glauca",14.357,39.70117,"AutWin","M","M_AutWin"
"Prionace glauca",14.256,39.72643,"AutWin","M","M_AutWin"
"Prionace glauca",14.319,39.75317,"AutWin","M","M_AutWin"
"Prionace glauca",14.411,39.74076,"AutWin","M","M_AutWin"
"Prionace glauca",14.485,39.66809,"AutWin","M","M_AutWin"
"Prionace glauca",14.149,39.80859,"AutWin","M","M_AutWin"
"Prionace glauca",14.07,39.79262,"AutWin","M","M_AutWin"
"Prionace glauca",14.017,39.81924,"AutWin","M","M_AutWin"
"Prionace glauca",14.002,39.76964,"AutWin","M","M_AutWin"
"Prionace glauca",14.619,39.73243,"AutWin","M","M_AutWin"
"Prionace glauca",14.71,39.71222,"AutWin","M","M_AutWin"
"Prionace glauca",14.663,39.68646,"AutWin","M","M_AutWin"
"Prionace glauca",14.68,39.66385,"AutWin","M","M_AutWin"
"Prionace glauca",14.595,39.63537,"AutWin","M","M_AutWin"
"Prionace glauca",14.666,39.69059,"AutWin","M","M_AutWin"
"Prionace glauca",14.723,39.6152,"AutWin","M","M_AutWin"
"Prionace glauca",14.801,39.6714,"AutWin","M","M_AutWin"
"Prionace glauca",14.815,39.58692,"AutWin","M","M_AutWin"
"Prionace glauca",14.833,39.639,"AutWin","M","M_AutWin"
"Prionace glauca",14.85,39.5173,"AutWin","M","M_AutWin"
"Prionace glauca",14.886,39.46347,"AutWin","M","M_AutWin"
"Prionace glauca",14.946,39.52373,"AutWin","M","M_AutWin"
"Prionace glauca",14.996,39.57403,"AutWin","M","M_AutWin"
"Prionace glauca",15.014,39.57129,"AutWin","M","M_AutWin"
"Prionace glauca",15.02,39.52347,"AutWin","M","M_AutWin"
"Prionace glauca",15.014,39.44113,"AutWin","M","M_AutWin"
"Prionace glauca",15.124,39.46998,"AutWin","M","M_AutWin"
"Prionace glauca",15.28,39.49356,"AutWin","M","M_AutWin"
"Prionace glauca",15.202,39.41673,"AutWin","M","M_AutWin"
"Prionace glauca",15.253,39.37357,"AutWin","M","M_AutWin"
"Prionace glauca",15.355,39.33254,"AutWin","M","M_AutWin"
"Prionace glauca",15.139,39.38115,"AutWin","M","M_AutWin"
"Prionace glauca",15.122,39.30545,"AutWin","M","M_AutWin"
"Prionace glauca",15.058,39.1995,"AutWin","M","M_AutWin"
"Prionace glauca",15.122,39.68775,"AutWin","M","M_AutWin"
"Prionace glauca",15.074,39.8543,"AutWin","M","M_AutWin"
"Prionace glauca",15.267,39.86586,"AutWin","M","M_AutWin"
"Prionace glauca",15.346,39.81731,"AutWin","M","M_AutWin"
"Prionace glauca",15.203,39.80064,"AutWin","M","M_AutWin"
"Prionace glauca",15.122,39.68775,"AutWin","M","M_AutWin"
"Prionace glauca",15.32,39.69351,"AutWin","M","M_AutWin"
"Prionace glauca",15.333,39.65548,"AutWin","M","M_AutWin"
"Prionace glauca",15.428,39.58875,"AutWin","M","M_AutWin"
"Prionace glauca",14.398,39.27792,"AutWin","M","M_AutWin"
"Prionace glauca",14.638,39.19689,"AutWin","M","M_AutWin"
"Prionace glauca",14.649,38.9729,"AutWin","M","M_AutWin"
"Prionace glauca",15.058,39.1995,"AutWin","M","M_AutWin"
"Prionace glauca",15.524,38.90508,"AutWin","M","M_AutWin"
"Prionace glauca",15.845,39.09225,"AutWin","M","M_AutWin"
"Prionace glauca",14.674,38.68964,"AutWin","M","M_AutWin"
"Prionace glauca",14.382,38.59883,"AutWin","M","M_AutWin"
"Prionace glauca",14.888,40.02787,"AutWin","M","M_AutWin"
"Prionace glauca",14.266,40.10487,"AutWin","M","M_AutWin"
"Prionace glauca",14.251,40.06276,"AutWin","M","M_AutWin"
"Prionace glauca",13.818,40.38275,"AutWin","M","M_AutWin"
"Prionace glauca",13.628,40.41721,"AutWin","M","M_AutWin"
"Prionace glauca",13.583,40.38052,"AutWin","M","M_AutWin"
"Prionace glauca",13.555,40.43962,"AutWin","M","M_AutWin"
"Prionace glauca",13.501,40.43041,"AutWin","M","M_AutWin"
"Prionace glauca",13.379,40.41879,"AutWin","M","M_AutWin"
"Prionace glauca",13.28,40.40874,"AutWin","M","M_AutWin"
"Prionace glauca",12.949,40.5483,"AutWin","M","M_AutWin"
"Prionace glauca",12.678,40.55987,"AutWin","M","M_AutWin"
"Prionace glauca",12.75,40.68863,"AutWin","M","M_AutWin"
"Prionace glauca",12.548,41.02814,"AutWin","M","M_AutWin"
"Prionace glauca",12.541,40.9779,"AutWin","M","M_AutWin"
"Prionace glauca",12.447,41.27235,"AutWin","M","M_AutWin"
"Prionace glauca",11.916,41.21236,"AutWin","M","M_AutWin"
"Prionace glauca",11.676,41.1759,"AutWin","M","M_AutWin"
"Prionace glauca",13.487,40.79133,"AutWin","M","M_AutWin"
"Prionace glauca",3.913783,43.143225,"AutWin","M","M_AutWin"
"Prionace glauca",6.152617,42.87177,"AutWin","M","M_AutWin"
"Prionace glauca",17.104,41.8541666666667,"AutWin","M","M_AutWin"
"Prionace glauca",17.279,41.6236666666667,"AutWin","M","M_AutWin"
"Prionace glauca",17.4347166666667,41.4297333333333,"AutWin","M","M_AutWin"
"Prionace glauca",17.4817333333333,41.3585666666667,"AutWin","M","M_AutWin"
"Prionace glauca",17.2547,41.8826666666667,"AutWin","M","M_AutWin"
"Prionace glauca",17.28625,41.8428833333333,"AutWin","M","M_AutWin"
"Prionace glauca",17.4439666666667,41.56655,"AutWin","M","M_AutWin"
"Prionace glauca",17.5637333333333,41.2966833333333,"AutWin","M","M_AutWin"
"Prionace glauca",17.5791333333333,41.2732833333333,"AutWin","M","M_AutWin"
"Prionace glauca",17.3993833333333,41.4129,"AutWin","M","M_AutWin"
"Prionace glauca",17.4574666666667,41.4925166666667,"AutWin","M","M_AutWin"
"Prionace glauca",17.4782166666667,41.4184166666667,"AutWin","M","M_AutWin"
"Prionace glauca",18.0693333333333,41.1133666666667,"AutWin","M","M_AutWin"
"Prionace glauca",17.4604,41.3739833333333,"AutWin","M","M_AutWin"
"Prionace glauca",17.8841166666667,41.0734,"AutWin","M","M_AutWin"
"Prionace glauca",17.98385,40.8858833333333,"AutWin","M","M_AutWin"
"Prionace glauca",18.042,41.1415333333333,"AutWin","M","M_AutWin"
"Prionace glauca",17.5,41.55,"AutWin","M","M_AutWin"
"Prionace glauca",17.5,41.55,"AutWin","M","M_AutWin"
"Prionace glauca",17.6,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.625,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.625,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.65,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.65,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.7,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.725,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.725,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.725,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.775,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.775,41.6,"AutWin","M","M_AutWin"
"Prionace glauca",17.85,41.625,"AutWin","M","M_AutWin"
"Prionace glauca",17.9,41.65,"AutWin","M","M_AutWin"
"Prionace glauca",17.9,41.65,"AutWin","M","M_AutWin"
"Prionace glauca",17.9,41.65,"AutWin","M","M_AutWin"
