"bandwidth";"score";"partition"
10000;0.3042287667543;"block"
110000;0.212085059354677;"block"
120000;0.207271169241042;"block"
130000;0.285719131376756;"block"
140000;0.212583848876037;"block"
150000;0.231009335268583;"block"
160000;0.227093183436484;"block"
170000;0.204962590637602;"block"
180000;0.247289204800612;"block"
190000;0.264276338187238;"block"
100000;0.208086168143985;"block"
20000;0.299884225846771;"block"
200000;0.280758047639507;"block"
30000;0.243782582075321;"block"
40000;0.243492427946552;"block"
50000;0.241091759271886;"block"
60000;0.24054886330554;"block"
70000;0.226015773866239;"block"
80000;0.235342928964826;"block"
90000;0.222021722839521;"block"
