"bandwidth";"score";"partition"
10000;0.00387921499590653;"checkerboard"
110000;0.00187697728196159;"checkerboard"
120000;0.00668082157115937;"checkerboard"
130000;0.00114071862258557;"checkerboard"
140000;0.00690982904899307;"checkerboard"
150000;0.00187561779556151;"checkerboard"
160000;0.000761022429738295;"checkerboard"
170000;0.00109673602280191;"checkerboard"
180000;0.000761022429738295;"checkerboard"
190000;0.000949484290926707;"checkerboard"
100000;0.00279826989800517;"checkerboard"
20000;0.00279826989800517;"checkerboard"
200000;0.00109673602280191;"checkerboard"
30000;0.00202422901383678;"checkerboard"
40000;0.00356940759963192;"checkerboard"
50000;0.00464415232254199;"checkerboard"
60000;0.0112991589241856;"checkerboard"
70000;0.00483551736627205;"checkerboard"
80000;0.00239082040435182;"checkerboard"
90000;0.00206756105894108;"checkerboard"
