"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.571345244495601;0.864;0.00443275746476746;0.00152157268189;0.564019106908755;0.00424890240687838;0.8065;0.0304055915910215;0.103604702209648;0.00234541052244696;0.00138846457639636;0.000657755737332263;50027.9659016573;47.9244061872014;3.92049217193205e-11;5
"Q";1;"fc.Q_rm.1";0.573682864329351;0.933;0.00458624243034622;0.000911186376598127;0.566055634805342;0.00332292575333802;0.821;0.00848528137423858;0.0998992774849665;0.00627984272496249;0.000925072546739269;2.42044429561094e-06;49980.0414954701;0;0.999984270775314;5
"P";1;"fc.P_rm.1";0.581222421029041;0.967;0.00461117480765572;0.0024336694202894;0.573571573669192;0.00518935490422994;0.82;0.0791959594928933;0.0999027005101163;0.0036633424414071;0.000461680517082179;0.000652914848741041;50087.9506454976;107.909150027517;3.69674051222441e-24;8
"H";1;"fc.H_rm.1";0.59552093335199;0.984;0.0228092902058915;0.000812803074845214;0.575630766868382;0.0042421477842292;0.8075;0.147785317267988;0.110068229448799;0.0114862184048215;0.00462365122112143;0.00129614792029964;50160.2409899851;180.199494515095;7.41600670853594e-40;88
"LQ";1;"fc.LQ_rm.1";0.572170784992872;0.882;0.00450346368079424;0.0012748400911001;0.564953453159049;0.00512859469864606;0.794;0.0127279220613579;0.10175113409102;0.00496675169459357;0.000925072546739269;2.42044429561094e-06;50020.7283085792;40.6868131091469;1.46205583732725e-09;6
"LP";1;"fc.LP_rm.1";0.581226347774552;0.963;0.00506141543642313;0.00262789721944296;0.573120918854445;0.00574067049442109;0.833;0.05939696961967;0.100357534976899;0.00954925785725892;0.000461680517082179;0.000652914848741041;50093.1194940716;113.077998601533;2.78880250699997e-25;9
"QP";1;"fc.QP_rm.1";0.581483870418014;0.971;0.00490940738730777;0.00212780080536498;0.574220641418647;0.0047010541980433;0.85;0.0367695526217005;0.103599567671924;0.00627016094778004;0.000461680517082179;0.000652914848741041;50058.65929315;78.6177976799736;8.47920846925581e-18;9
"QH";1;"fc.QH_rm.1";0.59595551885346;0.985;0.0197120668516135;0.00128875219668314;0.578031044840391;0.00201885154207413;0.8095;0.178898015640197;0.110995013508113;0.0101755478187482;0.00416197070403925;0.000643233071558598;50148.8456358203;168.804140350221;2.21126010505719e-37;90
"LQP";1;"fc.LQP_rm.1";0.581880035409492;0.969;0.00540824462291223;0.00159640204116115;0.574320169619598;0.00466886166186222;0.864;0.0169705627484772;0.102664226049735;0.0141220822427418;0.000461680517082179;0.000652914848741041;50075.6834024352;95.6419069651165;1.70457828670869e-21;11
"LQH";1;"fc.LQH_rm.1";0.595943918271953;0.978;0.0203528809582185;0.000294685963959324;0.577724729675858;0.00293941711316289;0.7855;0.210010714012405;0.113306839118674;0.010823621778898;0.00416197070403925;0.000643233071558598;50115.8834133635;135.841917893464;3.17903634193957e-30;75
"L";1.5;"fc.L_rm.1.5";0.571097294898382;0.849;0.00418472695357858;0.00203112146726757;0.563810331141016;0.00435793230952998;0.7665;0.00919238815542513;0.103604702209648;0.00234541052244696;0.00138846457639636;0.000657755737332263;50040.4377123701;60.3962169000515;7.67575855058915e-14;4
"Q";1.5;"fc.Q_rm.1.5";0.57273349019099;0.908;0.00449132790774798;0.00155739890275225;0.565662014611493;0.00319484105070419;0.8025;0.00494974746830584;0.101287742061363;0.00562208698763022;0.000925072546739269;2.42044429561094e-06;50002.1616605797;22.1201651096417;1.57275236122324e-05;4
"P";1.5;"fc.P_rm.1.5";0.579146661224317;0.982;0.00456425308768504;0.00340654565259177;0.572585994155735;0.00545170522262237;0.8765;0.0120208152801713;0.101752845603595;0.00365850155281588;0.000461680517082179;0.000652914848741041;50042.0625050219;62.0210095518196;3.40645035207842e-14;7
"H";1.5;"fc.H_rm.1.5";0.591634738547018;0.962;0.0182827310184082;0.00328154983391202;0.573921538094517;0.00245437678628392;0.7795;0.146371103705615;0.106378208337291;0.00364639933133783;0.00231524863571054;0.00196842632340557;50265.4453230324;285.403827562339;1.06008199097922e-62;78
"LQ";1.5;"fc.LQ_rm.1.5";0.571242481822248;0.861;0.00425112344774725;0.00166883428323826;0.564567779488579;0.00493548683220222;0.7775;0.0106066017177982;0.103602990697073;0.00365366066422466;0.000925072546739269;2.42044429561094e-06;50040.6318830436;60.5903875735239;6.96558632844935e-14;5
"LP";1.5;"fc.LP_rm.1.5";0.579466010860813;0.975;0.00494067534715292;0.00263001836140186;0.572649174972443;0.00523041123289335;0.8845;0.00353553390593274;0.102681341175484;0.00103958082496488;0.000461680517082179;0.000652914848741041;50053.3929730153;73.3514775452568;1.18010921104496e-16;9
"QP";1.5;"fc.QP_rm.1.5";0.579438189997198;0.976;0.00498795910130861;0.00290418324014322;0.57246825547115;0.00562779669143287;0.856;0.0424264068711929;0.103146444717716;0.000924004609849454;0.000461680517082179;0.000652914848741041;50055.0798732715;75.0383778014148;5.0771087244985e-17;9
"QH";1.5;"fc.QH_rm.1.5";0.593050676781005;0.959;0.0160706614083146;0.000901800243232248;0.576152623711166;0.000192671621851257;0.8375;0.113844191771034;0.109156849002659;0.00102263771489561;0.00416197070403925;0.000643233071558598;50217.9534526847;237.91195721463;2.17805112809632e-52;69
"LQP";1.5;"fc.LQP_rm.1.5";0.579449636588686;0.975;0.00481849910884002;0.00259610477928558;0.572677020675245;0.00514806949153769;0.8705;0.021920310216783;0.103608125234798;0.000271089761108419;0.000461680517082179;0.000652914848741041;50055.4518229674;75.4103274973022;4.21549533984611e-17;10
"LQH";1.5;"fc.LQH_rm.1.5";0.592860909746347;0.958;0.0160213273271393;0.00158603512980859;0.576203435542884;0.000123043558020816;0.8425;0.106773123959169;0.110073363986524;0.00756146797948846;0.00416197070403925;0.000643233071558598;50220.6554490205;240.613953550419;5.64075219275211e-53;69
"L";2;"fc.L_rm.2";0.571142593629269;0.845;0.00412394438280173;0.00244487489263512;0.563434690968916;0.00437238479827631;0.7445;0.0247487373415292;0.103141310179991;0.00300074581548361;0.000461680517082179;0.000652914848741041;50060.1504156949;80.1089202247967;4.02311240088491e-18;4
"Q";2;"fc.Q_rm.2";0.572621539446443;0.896;0.00446469331095539;0.0019917639233432;0.565138996583959;0.00280964017624252;0.7975;0.00212132034355964;0.100826061544281;0.00496917213888918;0.000461680517082179;0.000652914848741041;50024.7146885974;44.6731931273898;1.99219816950418e-10;4
"P";2;"fc.P_rm.2";0.577375031709112;0.976;0.00457250962028399;0.0041396109039568;0.57157292679032;0.00570013558147453;0.9;0.0494974746830584;0.104524640218663;0.00626774050348443;0.000461680517082179;0.000652914848741041;50037.3542756484;57.3127801783485;3.58658462021795e-13;6
"H";2;"fc.H_rm.2";0.587801131333879;0.935;0.0158016740600245;0.00377964361677615;0.572375278819633;0.000362960544239665;0.73;0.199404112294606;0.111013840146437;0.00421520374080639;0.00277864066536763;0.00262376161644222;50355.4141330206;375.372637550594;3.08219843777884e-82;60
"LQ";2;"fc.LQ_rm.2";0.571210811208133;0.844;0.0041324163842083;0.00207886209754234;0.564056964052444;0.00471594774008194;0.747;0.0339411254969543;0.104068094239305;0.00169007522941031;0.000461680517082179;0.000652914848741041;50057.6269859581;77.5854904880325;1.42075100353153e-17;4
"LP";2;"fc.LP_rm.2";0.578081024620848;0.964;0.00534505962742271;0.00289334787320246;0.571440110870929;0.00525708563862598;0.879;0.0197989898732233;0.109158560515234;0.000285612426882087;0.000461680517082179;0.000652914848741041;50063.3928821267;83.3513866565991;7.95187467655048e-19;8
"QP";2;"fc.QP_rm.2";0.578105303714003;0.964;0.00552193780129528;0.00304681604219493;0.571260937651177;0.00552228937798387;0.875;0.0183847763108503;0.11054702509163;0.000943368164214344;0.000461680517082179;0.000652914848741041;50063.1840849101;83.1425894400963;8.82692154113733e-19;8
"QH";2;"fc.QH_rm.2";0.589502798049994;0.93;0.0130543414518774;0.0033668525540118;0.575083031344712;0.00224843694844204;0.807;0.127279220613579;0.106845023392098;0.000374563754745787;0.00231524863571054;0.00196842632340557;50296.8123833976;316.770887927581;1.63707599958901e-69;55
"LQP";2;"fc.LQP_rm.2";0.57811051370968;0.963;0.00522059394776575;0.00270757096880505;0.571531442073767;0.00509404995131317;0.877;0.0212132034355964;0.110083633061973;0.000288032871177693;0.000461680517082179;0.000652914848741041;50062.0852831813;82.0437877112709;1.52901247969095e-18;9
"LQH";2;"fc.LQH_rm.2";0.589366054912225;0.927;0.0130187936698324;0.00342788023079525;0.575712482088412;0.00192766548471394;0.8025;0.123743686707646;0.111466963100645;0.00297896181682312;0.00231524863571054;0.00196842632340557;50298.9467308176;318.905235347513;5.63120305868115e-70;55
