"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.584911634896055;0.937;0.0712582598891577;0.0239739662584071;0.536314181025159;0.0219946175084735;0.3505;0.204353859762912;0.185057471264368;0.00162553283031391;0.0028735632183908;0.00406383207578476;7131.74832325231;210.617085849687;1.84111494666204e-46;6
"Q";1;"fc.Q_rm.1";0.573957720717172;0.894;0.0491529608845052;0.0206199972702749;0.5401183251607;0.0253201021438378;0.5405;0.204353859762912;0.139080459770115;0.0308851237759641;0.0028735632183908;0.00406383207578476;7116.32129807471;195.190060672087;4.12113514975854e-43;6
"P";1;"fc.P_rm.1";0.593239280453655;0.892;0.106275293352139;0.00274537513615101;0.508690038839411;0.0160245903407101;0.396;0.175362481734264;0.211494252873563;0.0227574596243946;0.0218390804597701;0.0016255328303139;7023.64444696332;102.51320956069;5.48958325616264e-23;8
"LQ";1;"fc.LQ_rm.1";0.604037061816455;0.829;0.0790462806540143;0.0247943394204647;0.541683193859093;0.0090989036267384;0.4415;0.229809703885628;0.181609195402299;0.0032510656606278;0.00919540229885057;0.0032510656606278;6921.13123740263;0;0.999999984498058;9
"H";1;"fc.H_rm.1";0.64468824694209;0.922;0.121532559729836;0.0442214343226285;0.546840545595434;0.00124396393555487;0.4975;0.219910208949016;0.229885057471264;0.0650213132125561;0.0396551724137931;0.017068094718296;7047.2209305891;126.089693186471;4.16841553131963e-28;54
"L";1.5;"fc.L_rm.1.5";0.583529707724764;0.927;0.0732911304884887;0.026485187351151;0.531348044298404;0.0243780872745172;0.3555;0.279307178568686;0.181609195402299;0.0032510656606278;0.0028735632183908;0.00406383207578476;7156.36992249241;235.238685089786;8.29026782229295e-52;6
"Q";1.5;"fc.Q_rm.1.5";0.571920912490086;0.895;0.052804617003513;0.0205977009636703;0.535101873775352;0.0281544061268591;0.5275;0.202939646200539;0.138505747126437;0.0398255543426906;0.0028735632183908;0.00406383207578476;7128.84685669263;207.715619289999;7.85464139222167e-46;6
"P";1.5;"fc.P_rm.1.5";0.59076880742855;0.896;0.105248291446137;0.000342130458526388;0.507513195831652;0.0141822519105447;0.382;0.309712770159708;0.205172413793103;0.0219446932092377;0.0218390804597701;0.0016255328303139;7053.65623465924;132.524997256608;1.66940796737555e-29;6
"LQ";1.5;"fc.LQ_rm.1.5";0.60211760611636;0.809;0.0786000683100105;0.0230518772237025;0.537152684156436;0.00863728186205902;0.335;0.166877200360025;0.202298850574713;0.0260085252850224;0.00919540229885057;0.0032510656606278;6957.09583849648;35.9646010938486;1.55019415058067e-08;8
"H";1.5;"fc.H_rm.1.5";0.639845094664372;0.903;0.0943438594293525;0.0335981546250588;0.541867457861149;0.00423607011540882;0.6655;0.0700035713374682;0.20632183908046;0.0398255543426906;0.0425287356321839;0.0211319267940807;7021.66913717793;100.5378997753;1.47391502480196e-22;33
"L";2;"fc.L_rm.2";0.58213058233831;0.855;0.0762764154075734;0.028080150904221;0.525393399366655;0.0252347223080179;0.2895;0.226981276760882;0.188505747126437;0.00650213132125561;0.0028735632183908;0.00406383207578476;7181.13075628162;259.999518878991;3.4819443034782e-57;6
"Q";2;"fc.Q_rm.2";0.567743432305127;0.864;0.0569048043232757;0.0196772028941679;0.528678891981158;0.0303727773479491;0.434;0.311126983722081;0.13448275862069;0.0536425834003588;0.0028735632183908;0.00406383207578476;7142.82490000406;221.693662601429;7.24157149737165e-49;6
"P";2;"fc.P_rm.2";0.589683970993693;0.905;0.104659582820169;0.000880297231900785;0.506924158234802;0.0119613111249297;0.364;0.354967604155647;0.202298850574713;0.0260085252850224;0.0218390804597701;0.0016255328303139;7088.05463316687;166.923395764247;5.66298162938485e-37;6
"LQ";2;"fc.LQ_rm.2";0.601134610092857;0.748;0.0776630587963381;0.0215123816985232;0.534173409003619;0.00605273226494592;0.249;0.329511760032931;0.202873563218391;0.0349489558517489;0.00862068965517241;0.0121914962273543;6995.76082046144;74.6295830588087;6.2286214734304e-17;8
"H";2;"fc.H_rm.2";0.628439980252402;0.933;0.0840159620334603;0.0206934072674351;0.534764327998976;0.0120483356224392;0.5925;0.342946788875476;0.213793103448276;0.0585191818913005;0.017816091954023;0.0154425618879821;7070.64595164281;149.514714240184;3.41422638587652e-33;30
"L";2.5;"fc.L_rm.2.5";0.579293214056405;0.852;0.0795027988410142;0.0286394266100286;0.518003612202977;0.0260663308650417;0.3235;0.222738636073762;0.176436781609195;0.0138170290576682;0.00574712643678161;0.00812766415156951;7205.96396139045;284.832723987823;1.41045698711652e-62;6
"Q";2.5;"fc.Q_rm.2.5";0.55947884686979;0.841;0.0615788289423268;0.019728461294942;0.520981572927133;0.0304857328919163;0.42;0.251730014102411;0.140804597701149;0.0528298169852018;0.0028735632183908;0.00406383207578476;7160.1966727309;239.065435328268;1.22348966410389e-52;5
"P";2.5;"fc.P_rm.2.5";0.587994499268907;0.91;0.103421531231152;0.00408486871362304;0.506599998595113;0.0083001372293127;0.322;0.45679098064651;0.186206896551724;0.0195063939637668;0.0149425287356322;0.0113787298121973;7123.1236872482;201.992449845573;1.373715556005e-44;6
"LQ";2.5;"fc.LQ_rm.2.5";0.597085610691759;0.822;0.0796053500647445;0.0220294478097725;0.529673111562252;0.00334661168178923;0.1615;0.398101117808026;0.199425287356322;0.0300723573608072;0.00862068965517241;0.0121914962273543;7035.8566746592;114.725437256572;1.22373625271513e-25;9
"H";2.5;"fc.H_rm.2.5";0.61875064071782;0.95;0.0797621071431415;0.0146993477142169;0.527078362034742;0.0117298052341454;0.4305;0.447598592491085;0.204022988505747;0.0528298169852018;0.0149425287356322;0.0113787298121973;7125.09939741536;203.968160012732;5.11536708327106e-45;31
"L";3;"fc.L_rm.3";0.577144448820809;0.793;0.082490851343174;0.0274813655568461;0.511394467036346;0.0232996930494147;0.3975;0.0572756492761104;0.164367816091954;0.0211319267940807;0.014367816091954;0.0203191603789238;7221.63891130069;300.507673898066;5.56657059972939e-66;5
"Q";3;"fc.Q_rm.3";0.551948389167957;0.794;0.067252582748623;0.0163394781626154;0.511881366619942;0.0287749853091988;0.4275;0.170412734265958;0.136781609195402;0.06664684604287;0.0028735632183908;0.00406383207578476;7179.04364409255;257.912406689922;9.88627014173344e-57;4
"P";3;"fc.P_rm.3";0.586262875055979;0.929;0.101298420084992;0.00624160439522877;0.506548275027147;0.00560738876596632;0.3575;0.482953931550412;0.179310344827586;0.00975319698188341;0.0114942528735632;0.016255328303139;7154.49625359706;233.365016194429;2.11558555001541e-51;6
"LQ";3;"fc.LQ_rm.3";0.593385633892489;0.81;0.0820422712475101;0.0216746294077939;0.524307128187276;0.000304258902745173;0.2505;0.214253354699524;0.201724137931034;0.017068094718296;0.014367816091954;0.0203191603789238;7069.87479766192;148.743560259295;5.02049193365301e-33;7
"H";3;"fc.H_rm.3";0.610399052546954;0.907;0.081755565150939;0.0133604071782925;0.5210017412641;0.00796571314464127;0.288;0.224859956417322;0.208045977011494;0.06664684604287;0.0149425287356322;0.0113787298121973;7151.75006704858;230.61882964595;8.3513642121555e-51;23
"L";3.5;"fc.L_rm.3.5";0.576460229633267;0.796;0.0851729103474347;0.0270971791297755;0.504461975756873;0.0193935058328956;0.3645;0.0176776695296637;0.167241379310345;0.017068094718296;0.0258620689655172;0.0365744886820628;7234.88345740402;313.752220001397;7.4057846210781e-69;5
"Q";3.5;"fc.Q_rm.3.5";0.542086393041939;0.7;0.072499963605528;0.0110709570572963;0.501747393151379;0.0252026555200525;0.2825;0.0403050865276332;0.133333333333333;0.0715234445338117;0.0028735632183908;0.00406383207578476;7196.92708132227;275.795843919639;1.29328255722817e-60;3
"P";3.5;"fc.P_rm.3.5";0.584467516280977;0.919;0.0978159905869461;0.00891754283224214;0.506638783098163;0.00354088085370322;0.363;0.444063058585152;0.179310344827586;0.00975319698188341;0.0114942528735632;0.016255328303139;7181.55874508759;260.427507684963;2.81115784419806e-57;5
"LQ";3.5;"fc.LQ_rm.3.5";0.591206181645525;0.82;0.0840832899523665;0.022104236729506;0.518861509211806;0.00217494447925135;0.291;0.151320851173921;0.19367816091954;0.0105659633970404;0.0201149425287356;0.0284468245304933;7104.4235298365;183.292292433876;1.57973559377297e-40;6
"H";3.5;"fc.H_rm.3.5";0.598036233604368;0.758;0.0822776198746072;0.00905878928445568;0.518728773312187;0.0110686296917667;0.3885;0.23970919882224;0.190804597701149;0.0422638535881615;0.00919540229885057;0.0032510656606278;7161.14204340719;240.010806004562;7.62633135282606e-53;8
"L";4;"fc.L_rm.4";0.573420866628179;0.81;0.0845490074569095;0.0276114829178087;0.500602327113316;0.0151437290738034;0.2835;0.0162634559672906;0.162068965517241;0.0146297954728251;0.0316091954022989;0.0447021528336323;7249.01308206555;327.881844662919;6.32939306093072e-72;5
"Q";4;"fc.Q_rm.4";0.539103008541106;0.666;0.0730143745486984;0.0107882083986373;0.495382085712292;0.0233255885133765;0.171;0.0820243866176395;0.135632183908046;0.0845277071763229;0.00574712643678161;0.00812766415156951;7212.44071186181;291.309474459181;5.53288127753819e-64;3
"P";4;"fc.P_rm.4";0.583645036932324;0.927;0.0982344916128782;0.00917040693464568;0.504811785026847;0.00207435131100171;0.378;0.387494516090228;0.178735632183908;0.000812766415156946;0.0114942528735632;0.016255328303139;7195.12552996574;273.99429256311;3.18343016149546e-60;5
"LQ";4;"fc.LQ_rm.4";0.589295156443058;0.827;0.0857198171067499;0.0241635788434855;0.5130676124268;0.0040962094844159;0.3685;0.0685893577750951;0.189080459770115;0.033323423021435;0.0344827586206897;0.0487659849094171;7137.38342081124;216.252183408617;1.10010722344122e-47;5
"H";4;"fc.H_rm.4";0.577137704422707;0.397;0.070933909105747;0.0114135261245477;0.514018737720995;0.0172249634797557;0.1855;0.345775216000222;0.110344827586207;0.0390127879275337;0.00919540229885057;0.0032510656606278;7209.70959594612;288.57835854349;2.16773224208744e-63;12
"L";4.5;"fc.L_rm.4.5";0.572081766384841;0.794;0.0830215260481774;0.0287950124853451;0.499554377618431;0.0141642011766394;0.1535;0.195868578388674;0.152873563218391;0.0113787298121973;0.0344827586206897;0.0487659849094171;7256.3324900688;335.201252666177;1.62919404232392e-73;4
"Q";4.5;"fc.Q_rm.4.5";0.534042012204663;0.681;0.071682213667359;0.0125349926180191;0.491535303989411;0.0234193768318579;0.076;0.00989949493661166;0.129885057471264;0.0764000430247534;0.0172413793103448;0.0243829924547085;7228.89734019813;307.766102795499;1.47720208780694e-67;3
"P";4.5;"fc.P_rm.4.5";0.582381473947739;0.917;0.0994694964842318;0.0103825109811355;0.502567230308807;5.36403705080189e-05;0.39;0.37476659402887;0.185632183908046;0.0105659633970404;0.0114942528735632;0.016255328303139;7209.95234693429;288.821109531658;1.91996331155841e-63;5
"LQ";4.5;"fc.LQ_rm.4.5";0.586921128310825;0.844;0.0857182991680071;0.025668883140288;0.508890005980663;0.00454825156979157;0.165;0.271529003975634;0.183908045977011;0.016255328303139;0.0402298850574713;0.0568936490609866;7174.42746138953;253.296223986903;9.94085664667526e-56;5
"H";4.5;"fc.H_rm.4.5";0.576884115054036;0.32;0.0656178066538673;0.00321820683938493;0.513824206258732;0.0169889122882072;0.167;0.349310749906154;0.0672413793103448;0.0219446932092377;0;0;7232.86397897236;311.732741569728;2.03280278535513e-68;8
