"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.561520284334172;0.769;0.0300197026396041;0.00732567798612764;0.533118138229884;0.00673050917828537;0.012;0.272943217538007;0.117679944095038;0.0116615793403232;0.0037037037037037;0.00523782800878924;12722.1711530901;193.56132770894;7.83084693822877e-43;5
"Q";1;"fc.Q_rm.1";0.568800320878689;0.822;0.0378487177941556;0.0016622269676444;0.532807645786142;0.000844600501627071;0.079;0.342239682094289;0.141788958770091;0.040420219916883;0.0112508735150245;0.00543548189591336;12696.808262808;168.198437426772;2.51936088696748e-37;5
"P";1;"fc.P_rm.1";0.563687937371935;0.914;0.0213072330376301;0.00858491975587096;0.539909503673213;0.000781694567935043;0.699;0.138592929112563;0.125157232704403;0.0115627523967612;0.00373864430468204;4.94134717810305e-05;12726.9067630484;198.296937667266;7.33641852216692e-44;8
"H";1;"fc.H_rm.1";0.622973921516395;0.883;0.0712658961111596;0.00609777008663598;0.561153108450292;0.0023618669106174;0.4985;0.103944696834422;0.181376659678546;0.0103274156022354;0.0149545772187282;0.000197653887124122;12578.640268998;50.0304436168535;1.15118257510552e-11;86
"LQ";1;"fc.LQ_rm.1";0.577834251166578;0.855;0.0357005828416996;0.0159452487712853;0.551429174572836;0.00512485038908544;0.324;0.104651803615609;0.130573025856045;0.0405684603322261;0.00377358490566038;0.0053366549523513;12636.3704108044;107.760585423208;3.35122196813781e-24;7
"LP";1;"fc.LP_rm.1";0.563480298068752;0.899;0.032181222464186;0.0185161063575562;0.533905773610911;0.00477621621890577;0.533;0.0664680374315355;0.123235499650594;0.0195183213535071;0.00185185185185185;0.00261891400439462;12711.1611607098;182.551335328581;1.92574244895952e-40;7
"QP";1;"fc.QP_rm.1";0.584440827356529;0.969;0.0355448687808814;0.0111059293332414;0.554039183930769;0.000491399156629599;0.5825;0.187383297014435;0.140006988120196;0.0272268229513479;0.00562543675751223;0.00271774094795668;12620.7374433309;92.1276179497236;8.31493673181513e-21;10
"QH";1;"fc.QH_rm.1";0.621144163461762;0.898;0.071765814247613;0.0136571117144137;0.560171414245146;0.00186598514379386;0.249;0.21496046148071;0.181376659678546;0.0103274156022354;0.0130328441649196;0.0077579150696218;12589.6083738356;60.9985484544377;4.7802488240004e-14;94
"LQP";1;"fc.LQP_rm.1";0.584490356926898;0.969;0.036194418191499;0.0104247739055067;0.553830595340596;0.000984979180097885;0.557;0.230516810666814;0.138120195667365;0.0298951504275235;0.00562543675751223;0.00271774094795668;12621.4736395084;92.8638141271931;5.75434611253105e-21;11
"LQH";1;"fc.LQH_rm.1";0.621919417718621;0.87;0.0702854828681585;0.0117618122544744;0.561738351808893;0.000140689433888303;0.3075;0.156270598642227;0.185045422781272;0.000197653887124124;0.0148846960167715;0.0103768290740164;12570.4018916674;41.7920662862525;7.08084543638341e-10;87
