"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.549197261601842;0.082;0.0735407047220338;0.00273253349671961;0.497020303683127;0.00515935756333696;-0.0965;0.0756604255869606;0.131060341820719;0.0348990615758272;0.0299093128705964;0.027253330771229;4649.50530235084;19.0554218290272;6.85718553626821e-05;6
"Q";1;"fc.Q_rm.1";0.542326022860374;0.499;0.0689085529548252;0.00900938190600679;0.494512050341433;0.0101948374828796;-0.101;0.189504617357995;0.169951168468783;0.0146748704152771;0.0458667596791071;0.00468609307378598;4643.7881774685;13.3382969466857;0.00119564924733269;3
"P";1;"fc.P_rm.1";0.561053556282564;0.919;0.0910515859736465;0.0111249326462187;0.492621470267483;0.00464015826369309;-0.182;0.305470129472589;0.164632019532612;0.0221972829810915;0.0122950819672131;0.0173878716685217;4639.33134931056;8.88146878874977;0.0111017573990263;8
"LQ";1;"fc.LQ_rm.1";0.572136899713236;0.808;0.055840584111532;0.0228759928122532;0.536234802379464;0.0191960269282873;-5e-04;0.289206673505298;0.166637600279037;0.0501905231850235;0.0405476107429369;0.0122085056396003;4636.97567325751;6.52579273570427;0.0360512467320286;8
"H";1;"fc.H_rm.1";0.614037824629428;0.857;0.084270598550709;0.0121861203118269;0.555582023851117;0.00370735075635641;0.264;0.205060966544099;0.181810254621556;0.0136883245050064;0.036013254272759;0.0393385181720455;4684.27796357555;53.8280830537396;1.92911649689015e-12;51
"L";1.5;"fc.L_rm.1.5";0.548143604345894;0.104;0.0749628681487955;0.00430528399477682;0.491729520189911;0.000721642855215452;-0.1615;0.111015764646288;0.129839553540286;0.048217431364482;0.021712591559121;0.0156614163255479;4649.57342125392;19.1235407321128;6.62756611062616e-05;5
"Q";1.5;"fc.Q_rm.1.5";0.542187689325094;0.507;0.0647231561702133;0.0158723014720465;0.493438610609976;0.0098090625846286;-0.0635;0.115258405333407;0.17404952912452;0.0204708276381177;0.0253749564004186;0.0242936930404168;4645.26467678868;14.8147962668681;0.000571460268821486;3
"P";1.5;"fc.P_rm.1.5";0.552153257401349;0.487;0.0893598656532213;0.00786319991156479;0.491948357121168;0.00427783154858444;-0.1755;0.400929544932772;0.191227764213464;0.0154147798479802;0.0122950819672131;0.0173878716685217;4644.80131991819;14.3514393963796;0.000720448111278819;6
"LQ";1.5;"fc.LQ_rm.1.5";0.569908417141242;0.632;0.0615014631822291;0.0159420794117901;0.525547403205851;0.00654735799495859;-0.127;0.265872149726142;0.17893268224625;0.0328026515165018;0.0376700383676317;0.00690582137189513;4641.80129894225;11.3514184204405;0.00322885829005391;7
"H";1.5;"fc.H_rm.1.5";0.600119653459348;0.918;0.0740146561683206;0.00618744376856177;0.549106912490177;0.00637899089935262;0.3525;0.0898025612106915;0.17361353331008;0.0252802389506875;0.0306941053365888;0.0318161056062311;4642.07806467049;11.6281841486843;0.00281157757402568;31
"L";2;"fc.L_rm.2";0.546970798497516;0.25;0.0746970211757003;0.00414956800634158;0.489720272571433;0.00225665024701126;-0.1475;0.119501046020527;0.11632368329264;0.0441479294846153;0.0176142309033833;0.00986545910270733;4651.3076687008;20.8577881789925;2.78462693945519e-05;5
"Q";2;"fc.Q_rm.2";0.542103881416859;0.483;0.0622255553042276;0.0202581418986663;0.493660956014764;0.0113127545058415;-0.039;0.0806101730552664;0.165852807813045;0.00887891319243658;0.0212765957446809;0.0300896502632573;4646.74396322893;16.2940827071243;0.000272748940396847;3
"P";2;"fc.P_rm.2";0.550522032392261;0.494;0.0861617401717608;0.00242762462205757;0.492678352878198;0.000883183766298018;-0.214;0.104651803615609;0.11632368329264;0.0441479294846153;0.0122950819672131;0.0173878716685217;4649.25430942809;18.8044289062818;7.77406774926677e-05;6
"LQ";2;"fc.LQ_rm.2";0.567722848257199;0.333;0.0731163048244584;0.000373674124109545;0.506593238464972;0.0175058583940038;-0.2325;0.173241161390704;0.174834321590513;0.0385986087393424;0.033571677711894;0.0127017785947357;4647.01633109109;16.566450569283;0.000238023119268769;7
"H";2;"fc.H_rm.2";0.593189345288582;0.904;0.075827907673118;0.00491802948382246;0.541823866906315;0.0040505208830791;0.28;0.206475180106472;0.158876874782002;0.0160313710418994;0.0429891873038019;0.0144282339377095;4630.44988052181;0;0.941842265719288;21
"L";2.5;"fc.L_rm.2.5";0.546748657054001;0.304;0.0745943146848373;0.00343449052772189;0.488908081798815;0.00161971440430471;-0.1765;0.143542676580869;0.117544471573073;0.0308295596959604;0.0135158702476456;0.00406950187986677;4651.12695751918;20.67707699737;3.04795081749239e-05;4
"Q";2.5;"fc.Q_rm.2.5";0.542011490771033;0.565;0.0607853990470173;0.0229653510225228;0.494541405162812;0.0136181708794107;-0.0595;0.0502045814642449;0.165852807813045;0.00887891319243658;0.0253749564004186;0.0242936930404168;4648.22607418816;17.7761936663519;0.000129995035362096;3
"P";2.5;"fc.P_rm.2.5";0.548944828143301;0.234;0.0800807503473698;0.00604508994113502;0.492780017921293;0.000264463016277473;-0.1945;0.0247487373415292;0.11632368329264;0.0441479294846153;0.0122950819672131;0.0173878716685217;4649.47338549706;19.0235049752455;6.96749325817503e-05;5
"LQ";2.5;"fc.LQ_rm.2.5";0.566094147582697;0.055;0.0751062190917442;0.001922229001896;0.502308471353681;0.0199239901735341;-0.1775;0.126572113832392;0.170735960934775;0.044394565962183;0.033571677711894;0.0127017785947357;4649.66733912333;19.2174586015199;6.32353697543431e-05;6
"H";2.5;"fc.H_rm.2.5";0.588242659235026;0.85;0.0701409225386852;0.00555635198918333;0.534798937587144;0.0121621190577568;0.3575;0.136471608769004;0.164632019532612;0.0221972829810915;0.0306941053365888;0.0318161056062311;4646.97256503402;16.5226845122052;0.000243289194675754;22
"L";3;"fc.L_rm.3";0.5463821236722;0.288;0.0748216381989913;0.00235367233422604;0.4881666355023;0.000443881489427822;-0.191;0.171119841047145;0.117544471573073;0.0308295596959604;0.00941750959190792;0.00172645534297378;4653.03813961982;22.5882590980082;1.17219545928302e-05;4
"Q";3;"fc.Q_rm.3";0.541934246132719;0.443;0.0602785213035895;0.0250153998209535;0.494765828862448;0.0155552762418305;-0.0885;0.0530330085889911;0.167073596093477;0.0044394565962183;0.0253749564004186;0.0242936930404168;4649.7110293826;19.2611488607927;6.18689638990532e-05;3
"P";3;"fc.P_rm.3";0.548233975524052;0.268;0.074997834701907;0.00372622578108122;0.489878401408223;0.00160757300466792;-0.167;0.15980613254816;0.106906173700732;0.0458743848275891;0.0135158702476456;0.00406950187986677;4649.27308495832;18.823204436515;7.70142812259059e-05;4
"LQ";3;"fc.LQ_rm.3";0.565762954885092;0.114;0.0759710050757592;0.000363156738337899;0.500798134394942;0.0177049363829291;-0.1965;0.0629325035256027;0.170735960934775;0.044394565962183;0.0253749564004186;0.0242936930404168;4651.60091498582;21.1510344640137;2.40485778410032e-05;6
"H";3;"fc.H_rm.3";0.582020679348924;0.795;0.058649451888209;0.00403867333380862;0.534077576666092;0.0147366748863295;0.404;0.0791959594928933;0.148238576909662;0.000986545910270729;0.0253749564004186;0.0242936930404168;4645.14240506863;14.6925245468165;0.000607487026828417;15
"L";3.5;"fc.L_rm.3.5";0.546025687628741;0.334;0.0744793375574423;0.000596560769771589;0.487331439118303;0.000733368558762953;-0.1325;0.0742462120245875;0.113446110917335;0.0250336024731198;0.00941750959190792;0.00172645534297378;4654.93331174468;24.4834312228659;4.54431718466971e-06;4
"Q";3.5;"fc.Q_rm.3.5";0.541895876247021;0.476;0.0598629078123545;0.0272793989419687;0.49486646713212;0.0175635471633745;-0.1115;0.0685893577750951;0.172392745029648;0.0119618691620326;0.0253749564004186;0.0242936930404168;4651.19884140831;20.7489608864962;2.94034686927511e-05;3
"P";3.5;"fc.P_rm.3.5";0.547400945110869;0.403;0.07406927533642;0.00264002038726896;0.488796799191105;0.00221426605475682;-0.091;0.0834386001800126;0.108126961981165;0.0325560150389342;0.0135158702476456;0.00406950187986677;4651.16768556259;20.7178050407801;2.98650999525169e-05;4
"LQ";3.5;"fc.LQ_rm.3.5";0.564845611696757;0.122;0.0770174944988054;0.00321174701571456;0.498705053278717;0.0145864351322167;-0.2135;0.0728319984622144;0.166637600279037;0.0501905231850235;0.0253749564004186;0.0242936930404168;4653.61299823161;23.1631177097988;8.79368841406676e-06;6
"H";3.5;"fc.H_rm.3.5";0.572634698493477;0.616;0.0609353686044886;0.00290171657536387;0.528778879665991;0.0115872316390334;0.315;0.10040916292849;0.170735960934775;0.044394565962183;0.0200558074642483;0.0167712804746025;4647.01998269499;16.5701021731757;0.000237588932684309;9
"L";4;"fc.L_rm.4";0.5458944222303;0.327;0.074622008288177;0.00096223173283184;0.486251243800172;0.00222073670620856;-0.0665;0.0487903679018718;0.118765259853505;0.0175111899073055;0.00941750959190792;0.00172645534297378;4656.83257431369;26.3826937918839;1.75812200622518e-06;4
"Q";4;"fc.Q_rm.4";0.541922129326709;0.542;0.059717941277571;0.0301633372517768;0.494709573411383;0.020045111466992;-0.11;0.045254833995939;0.172392745029648;0.0119618691620326;0.0253749564004186;0.0242936930404168;4652.68952795008;22.2396474282668;1.39540442862917e-05;3
"P";4;"fc.P_rm.4";0.546795104810372;0.493;0.0737602812698444;0.00170679826362105;0.488387787836752;0.000990398438357186;-0.1435;0.113844191771034;0.117544471573073;0.0308295596959604;0.0135158702476456;0.00406950187986677;4653.08283517583;22.6329546540164;1.14629003782381e-05;4
"LQ";4;"fc.LQ_rm.4";0.563194192010986;0.037;0.0782941735426016;0.00673902949710714;0.495834759824289;0.0106207313282524;-0.146;0;0.166637600279037;0.0501905231850235;0.0253749564004186;0.0242936930404168;4655.71388398779;25.264003465978;3.07588098800984e-06;6
