"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.59179546709095;0.95;0.0603606799367553;0.02522292408531;0.571833516933574;0.0273344862058999;0.505;0.547300648638388;0.13756553453385;0.0565749897872072;0.0134108350429299;0.00746811356165414;5078.45597952192;19.2765173320777;5.39301885842547e-05;7
"Q";1;"fc.Q_rm.1";0.593870344514076;0.918;0.0533141961433526;0.0459143766902516;0.562967634959972;0.0219984705277206;0.54;0.45254833995939;0.124762556036775;0.0614641864354844;0.0134108350429299;0.00746811356165414;5189.4538743458;130.274412155962;4.25544837753674e-29;6
"P";1;"fc.P_rm.1";0.603468682014482;0.92;0.0444984143516857;0.0513717968799602;0.564088133572763;0.0126332303134817;0.2785;0.393858477120907;0.170085859737102;0.0105843048319846;0.0128029784970747;0.00488919664827717;5073.84255684626;14.6630946564192;0.00054153177483377;9
"LQ";1;"fc.LQ_rm.1";0.591577913433127;0.918;0.0572059520454926;0.029469473311949;0.572128661637982;0.0316691593363029;0.342;0.490732106143464;0.150368513030925;0.0516857931389301;0.0134108350429299;0.00746811356165414;5129.16320744529;69.983745255443;5.25892889789388e-16;10
"H";1;"fc.H_rm.1";0.64757362730136;0.982;0.0582956230358523;0.0710895276224299;0.601612758267446;0.0280294168056906;0.6345;0.0586898628384835;0.172935187295798;0.0198791512072808;0.0337360382949624;0.02127606453536;5129.41007546216;70.2306132723152;4.64826190567392e-16;46
"L";1.5;"fc.L_rm.1.5";0.589170211384226;0.923;0.0683525408933388;0.0184451987625318;0.573816929852037;0.0354241790148075;0.4265;0.540936687607709;0.124762556036775;0.0614641864354844;0.0134108350429299;0.00746811356165414;5079.94574658929;20.7662843994458;2.56054923268779e-05;7
"Q";1.5;"fc.Q_rm.1.5";0.590371627106536;0.924;0.0633312244748374;0.0342511766145605;0.568338801597749;0.0350848018515985;0.5775;0.393858477120907;0.129435453233037;0.0680726610260129;0.00934579439252336;0.013216949181057;5117.51148839234;58.3320262024954;1.78252628960921e-13;6
"P";1.5;"fc.P_rm.1.5";0.595601032568107;0.918;0.0449404728566699;0.0544898729726347;0.561676470392487;0.0144148128292798;0.3205;0.463154941677189;0.161347921890434;0.00972466586085897;0.0249981004482942;0.0221357035064856;5062.5888256009;3.40936341105498;0.150432140332731;8
"LQ";1.5;"fc.LQ_rm.1.5";0.588244796571095;0.925;0.0621295171085048;0.0262667943987149;0.571980990006813;0.0365085675245494;0.407;0.632153462380773;0.150368513030925;0.0516857931389301;0.0134108350429299;0.00746811356165414;5102.88819731686;43.7087351270211;2.66958193281276e-10;9
"H";1.5;"fc.H_rm.1.5";0.636116342500893;0.976;0.058593490552346;0.058761623409673;0.601625737690881;0.0335843941346187;0.457;0.111722871427475;0.13634982144214;0.0318603693673446;0.0296709976445559;0.0155272289159572;5100.67641370583;41.4969515159864;8.06725831144336e-10;30
"L";2;"fc.L_rm.2";0.586702438549209;0.963;0.071872680571063;0.0172988578489064;0.571869628130372;0.0387158375286357;0.4105;0.566392531730425;0.124762556036775;0.0614641864354844;0.00934579439252336;0.013216949181057;5085.96162382023;26.7821616303891;1.26474213686042e-06;7
"Q";2;"fc.Q_rm.2";0.58655956749034;0.941;0.0740068531528315;0.0210342896679334;0.573940518630542;0.0490421035076344;0.5355;0.4362848839921;0.12537041258263;0.0738214966454157;0.00934579439252336;0.013216949181057;5103.87194141505;44.6924792252112;1.63239756288883e-10;6
"P";2;"fc.P_rm.2";0.594066792220021;0.911;0.0439637779079158;0.054023456121166;0.560857292478976;0.0161043132530489;0.365;0.670337228564847;0.161955778436289;0.0220819760707903;0.0174758756933364;0.00171927794225131;5059.17946218984;0;0.827321846830602;7
"LQ";2;"fc.LQ_rm.2";0.583887229275579;0.904;0.0665916153748812;0.0255158762204064;0.570773950620916;0.0430576511090626;0.4555;0.676701189595526;0.146303472380518;0.0574346287583329;0.00934579439252336;0.013216949181057;5098.60929908805;39.4298368982063;2.26774490115552e-09;9
"H";2;"fc.H_rm.2";0.63292853199987;0.953;0.068584185060205;0.0372902534513577;0.603593900001736;0.0422694131048249;0.4825;0.0318198051533946;0.128827596687182;0.0557153508160816;0.0296709976445559;0.0155272289159572;5124.40872687571;65.2292646858687;5.66656189572732e-15;22
"L";2.5;"fc.L_rm.2.5";0.584438419326558;0.938;0.0742942001150793;0.0191714903295067;0.570552069351208;0.0439519472556371;0.434;0.57558491988585;0.133500493883444;0.0623238254066101;0.0134108350429299;0.00746811356165414;5089.80514256185;30.6256803720053;1.85094066828588e-07;5
"Q";2.5;"fc.Q_rm.2.5";0.58359824008832;0.923;0.0801036370215595;0.0132130940652438;0.576639687934031;0.0583290968368238;0.511;0.386080302527855;0.111351720993845;0.0539960728738303;0.00934579439252336;0.013216949181057;5106.35787324611;47.178411056263;4.70991098667449e-11;6
