"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.55443639336978;0.925;0.0111996536915507;0.0132876327936375;0.546830412114;0.00757321040869186;0.577;0.0933380951166243;0.110615182617328;0.0193213732261836;0.00969529085872576;0.0137112118235619;16557.1211862738;46.1685369660263;6.22448375314137e-11;5
"Q";1;"fc.Q_rm.1";0.554662736355218;0.96;0.00965485495673907;0.00483557268255227;0.550504920385239;0.00689573227469961;0.671;0.089095454429505;0.119345748002498;0.0355857462935218;0.00277008310249307;0.00391748909244625;16513.9658989523;3.01324964453306;0.146269882338232;6
"P";1;"fc.P_rm.1";0.557838938582874;0.91;0.0168606581088458;0.0223466965750355;0.544743424187874;0.00576296767520588;0.8285;0.0502045814642448;0.130786351336205;0.0439302245048885;0.00421516980769539;0.00187382787514409;16565.4113635737;54.458714265973;9.86084676474226e-13;7
"H";1;"fc.H_rm.1";0.605670053177611;0.996;0.0433305284447247;0.0258201827323292;0.570766982308728;0.0122305878478437;0.694;0.113137084989848;0.117420300065649;0.0015228389680174;0.00138504155124654;0.00195874454622312;16590.3154076271;79.3627583193447;3.85540277206163e-18;82
"LQ";1;"fc.LQ_rm.1";0.557200769455931;0.957;0.0111529010545369;0.0133915114131453;0.547282194685176;0.00824762000136245;0.6355;0.00494974746830584;0.114770307271068;0.0134451395875142;0.00415512465373961;0.00587623363866937;16532.8457080874;21.8930587796676;1.16266995181615e-05;9
"LP";1;"fc.LP_rm.1";0.557924043545399;0.919;0.0202063470635689;0.0272595271034662;0.543220186347059;0.00762772417730866;0.7915;0.0615182899632296;0.133676524746609;0.0480175469394929;0.00421516980769539;0.00187382787514409;16568.8632744356;57.9106251278499;1.75525933067152e-13;10
"QP";1;"fc.QP_rm.1";0.559010489875501;0.884;0.0254950189482762;0.0198887965922264;0.540413493915518;0.00365727859010367;0.706;0.0523259018078045;0.130906441644116;0.0519350360319391;0.00698525291018846;0.00579131696759033;16573.5211827136;62.568533405858;1.70957972722691e-14;11
"QH";1;"fc.QH_rm.1";0.605406629306559;0.996;0.0463016887251322;0.0232767133505153;0.567873487940123;0.010892554385863;0.781;0.0113137084989848;0.123020511424591;0.00230973345334982;0.00138504155124654;0.00195874454622312;16558.8074412662;47.8547919584053;2.67878413738886e-11;79
"LQP";1;"fc.LQP_rm.1";0.559186446944181;0.889;0.0253861579262596;0.0201287802600385;0.540631342386538;0.0040436830865789;0.6875;0.0869741340859453;0.130906441644116;0.0519350360319391;0.00698525291018846;0.00579131696759033;16574.1960973547;63.2434480469965;1.21992605491952e-14;11
"LQH";1;"fc.LQH_rm.1";0.605278775042785;0.995;0.045906201712579;0.0236478384038502;0.567457772531033;0.0120688605307947;0.777;0.0155563491861041;0.127235681232287;0.00418356132849391;0.00138504155124654;0.00195874454622312;16564.8664656707;53.9138163630014;1.29490314674466e-12;79
"L";1.5;"fc.L_rm.1.5";0.553055346882631;0.93;0.0121265653368599;0.0119348238733494;0.547057271074681;0.00807954517272489;0.578;0.089095454429505;0.109230141066082;0.0212801177724067;0.00692520775623269;0.00979372273111562;16545.9074352022;34.9547858944716;1.69487800448115e-08;5
"Q";1.5;"fc.Q_rm.1.5";0.55280900698648;0.957;0.0106463556577947;0.00366087867281794;0.550028165785379;0.00667533090147071;0.6635;0.127986327394765;0.120730789553744;0.0336270017472987;0.00138504155124654;0.00195874454622312;16515.702608158;4.74995885026146;0.0613809067383266;6
"P";1.5;"fc.P_rm.1.5";0.557614327613325;0.885;0.0173492708453968;0.0205523479881462;0.546206659520797;0.00788056480041674;0.839;0.0551543289325507;0.125246185131219;0.051765202689781;0.00421516980769539;0.00187382787514409;16547.5522519699;36.5996026621578;7.44682281494538e-09;6
"H";1.5;"fc.H_rm.1.5";0.600749789678162;0.984;0.0340592979656176;0.0319909535665329;0.569271118123139;0.0140838937357971;0.66;0.0127279220613579;0.114650216963156;0.00544032806046365;0.00138504155124654;0.00195874454622312;16606.6442424761;95.6915931683943;1.09725689827855e-21;58
"LQ";1.5;"fc.LQ_rm.1.5";0.555513156156506;0.967;0.0115240883818213;0.0127868549541822;0.548292997371708;0.0098271260613611;0.644;0.00424264068711929;0.107845099514835;0.0232388623186298;0.00415512465373961;0.00587623363866937;16531.4149447401;20.462295432324;2.37762173382433e-05;8
"LP";1.5;"fc.LP_rm.1.5";0.55757771909568;0.889;0.0195187335309753;0.0251099637128064;0.544671516488918;0.00837408898706084;0.8035;0.0643467170879758;0.128076313387668;0.0518501193608601;0.00421516980769539;0.00187382787514409;16547.9959177847;37.0432684770021;5.96527147728606e-09;5
"QP";1.5;"fc.QP_rm.1.5";0.557351139926257;0.916;0.0236023300868285;0.0189785172492679;0.5407861502489;0.00263705552531565;0.7865;0.036062445840514;0.126571181528509;0.0458040523800326;0.00560021135894192;0.00383257242136721;16559.1246908632;48.1720415554773;2.28585060927547e-11;8
"QH";1.5;"fc.QH_rm.1.5";0.599260807109957;0.974;0.0365800020724235;0.0286938708089539;0.565707508391686;0.0102206483549691;0.7925;0.0431335136523794;0.121695515027301;0.00365141685639859;0.00138504155124654;0.00195874454622312;16538.1052089027;27.1525595949606;8.38243815320369e-07;45
"LQP";1.5;"fc.LQP_rm.1.5";0.557393495587532;0.921;0.0235807168183658;0.0191848540796181;0.540771745708788;0.00284076074897558;0.783;0.0212132034355964;0.128016268233712;0.0478477135973348;0.00560021135894192;0.00383257242136721;16561.3358170554;50.3831677476737;7.56672397712426e-12;9
"LQH";1.5;"fc.LQH_rm.1.5";0.598489194031599;0.975;0.0355328187251911;0.0283717762303464;0.564983852453829;0.0132393728966008;0.7575;0.0855599205235723;0.120250428322098;0.00160775563909643;0.00138504155124654;0.00195874454622312;16549.1512787419;38.198629434195;3.34770182362469e-09;49
