"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.556637806637807;0.891;0.00953033872506409;0.00761737051918905;0.549896610396747;0.00368890583628868;0.573;0.200818325856979;0.0903767014878126;0.0172355878921697;0;0;10202.8833696316;9.15234909931132;0.00682425625002762;6
"Q";1;"fc.Q_rm.1";0.559586231123277;0.859;0.0130961599706437;0.00574362106403133;0.554059250378981;0.0126189209991743;0.557;0.0381837661840735;0.0965495409939854;0.00850587454418765;0;0;10203.552929781;9.82190924871247;0.00488272412316602;6
"P";1;"fc.P_rm.1";0.555682722962981;0.841;0.0124581957169532;0.00753365402926425;0.546778995587403;0.0011109053469648;0.733;0.140007142674936;0.100743906299462;0.00861779394608486;0;0;10202.9708858203;9.23986528798741;0.00653207898105613;5
"LQ";1;"fc.LQ_rm.1";0.562335437738107;0.875;0.0150494023712075;0.0211500542024404;0.552364109910969;0.0024706725515631;0.5665;0.316076731190387;0.0985280151946819;0.000335758205691616;0.00205761316872428;0.00290990444932736;10197.7549065895;4.02388605718443;0.0886516710080722;9
"H";1;"fc.H_rm.1";0.605531350584273;0.946;0.0735021477227298;0.00984153841012598;0.54932209811561;0.000643166808588162;0.5005;0.0275771644662754;0.222143083254194;0.00593172830055191;0.0170148781259892;0.0182428625092446;10263.1374018478;69.4063813154844;5.6241704497451e-16;70
"L";1.5;"fc.L_rm.1.5";0.554776447666462;0.888;0.00826168682179568;0.0069724797420919;0.549798894984699;0.00329380402877868;0.5775;0.11667261889578;0.0822253877809433;0.0348069339900311;0;0;10204.7924808635;11.0614603311769;0.00262722391963305;5
"Q";1.5;"fc.Q_rm.1.5";0.556292329647139;0.822;0.012276945346923;0.00648673085171619;0.553104123130981;0.0119880940362271;0.5675;0.0940452018978108;0.0986071541627097;0.0055959700948603;0.00205761316872428;0.00290990444932736;10204.2996787114;10.5686581791106;0.00336130341834187;4
"P";1.5;"fc.P_rm.1.5";0.555853552287054;0.801;0.00812929383350802;0.0106207514564247;0.548617853236333;0.00255006927957912;0.6495;0.184554869889689;0.109132636910415;0.00884163274987928;0;0;10206.5662261674;12.8352056351232;0.00108226394545693;5
"LQ";1.5;"fc.LQ_rm.1.5";0.56039090530577;0.86;0.0132749750886069;0.0145638604130579;0.552662878802778;0.00400040678400375;0.673;0.0678822509939085;0.10264324153213;0.00615556710434633;0.00205761316872428;0.00290990444932736;10193.7310205323;0;0.662922380668179;5
"H";1.5;"fc.H_rm.1.5";0.596451498085184;0.908;0.055810098879396;0.00234522264312373;0.553628282764309;0.00507947760121797;0.48;0.190918830920368;0.18906299461855;0.0287632862875819;0.0189933523266857;0.0094012297593653;10244.9412223073;51.2102017749767;5.02699736173689e-12;47
"L";2;"fc.L_rm.2";0.554750051298602;0.881;0.00735670546625594;0.00635232303371374;0.549494897242336;0.0029309900085148;0.6365;0.18031222920257;0.0883982272871162;0.026077220642049;0;0;10206.6905534232;12.9595328909545;0.001017034932404;4
"Q";2;"fc.Q_rm.2";0.553967125066987;0.842;0.0103779391756584;0.00464036041334534;0.552878588290628;0.0108145259291982;0.672;0.195161471607487;0.100664767331434;0.00268606564553295;0.00205761316872428;0.00290990444932736;10210.2928846439;16.5618641115871;0.0001679189014894;4
"P";2;"fc.P_rm.2";0.556091451627577;0.787;0.00820224521991075;0.00998602537139498;0.54941654906195;0.00255273273398634;0.674;0.169705627484771;0.10485913263691;0.00279798504743014;0;0;10214.2799313713;20.5489108390684;2.28730135919716e-05;7
"LQ";2;"fc.LQ_rm.2";0.559873602901675;0.815;0.0115491095675228;0.00940991924893415;0.55305542200353;0.00428521461380247;0.6655;0.0869741340859453;0.100585628363406;0.00324566265501898;0.00205761316872428;0.00290990444932736;10196.2065172406;2.47549670832086;0.192271715457694;4
