"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.565483056695716;0.748;0.027672921044031;0.00477699894202756;0.54104776851801;0.0131421466118906;0.1175;0.0417193000900063;0.102807772370629;0.0253527985345748;0.0132069035137186;0.00382999558444644;16969.3618994854;88.5896835310086;4.37367312114453e-20;5
"Q";1;"fc.Q_rm.1";0.557425429699067;0.749;0.0162310230844221;0.0032159092210109;0.54479173528233;0.00317856727737046;0.183;0.21496046148071;0.122576355674374;0.0308024195011329;0.0079018637259202;0.00367246363238695;17000.1164154284;119.344199473999;9.17461899526383e-27;4
"P";1;"fc.P_rm.1";0.568833298291937;0.831;0.0271196172339419;0.0105091061796303;0.544439757215907;0.0163725052929292;0.2195;0.147785317267988;0.13694243126771;0.0698752664853893;0.00924204766181416;0.00193468928623066;16880.7722159544;0;0.754834388206666;8
"LQ";1;"fc.LQ_rm.1";0.577748808118997;0.616;0.0346626518760335;0.00262908733612873;0.544725167306397;0.0110080163787169;-0.094;0.142835569799683;0.121222247749535;0.0401411105341598;0.00791578771486455;5.90744820223103e-05;16883.0213513285;2.2491353741425;0.245164811589277;9
"H";1;"fc.H_rm.1";0.608928547751952;0.953;0.0619836606686135;0.0393332357863191;0.556064212601743;0.0155632255092141;0.587;0.131521861300698;0.158454994186735;0.0384968707845388;0.00788793973697585;0.00740400174679621;16916.5824697032;35.810253748823;1.26401980280446e-08;75
"L";1.5;"fc.L_rm.1.5";0.564496530901776;0.558;0.0284683167080107;0.00384701177449559;0.539240136917284;0.0130710843772814;0.0705;0.0855599205235723;0.104134032317578;0.0234771837303664;0.0105543836198194;7.87659760297467e-05;16978.1575586535;97.3853426991263;5.38137430803466e-22;5
"Q";1.5;"fc.Q_rm.1.5";0.55722275783996;0.875;0.0173487045059761;0.0028235272637043;0.543694288725649;0.00255059586355621;0.1085;0.126572113832392;0.117313087853408;0.0271102643747385;0.0079018637259202;0.00367246363238695;17009.1042612758;128.332045321396;1.02542077030707e-28;4
"P";1.5;"fc.P_rm.1.5";0.566916123525026;0.724;0.0293108485175153;0.00874265087131677;0.541200611371464;0.0166298647568966;0.24;0.106066017177982;0.133019347382638;0.0605759584403773;0.0105543836198194;7.87659760297467e-05;16941.3221651438;60.5499491894188;5.36534028034334e-14;7
"LQ";1.5;"fc.LQ_rm.1.5";0.575844260882248;0.478;0.0338252573121018;0.00197657680694764;0.54428044365953;0.012973856462062;-0.031;0.182433549546129;0.121194399771647;0.0476041867629783;0.0092281236728698;0.0017968488281786;16908.3183554009;27.546139446531;7.87559722971122e-07;8
"H";1.5;"fc.H_rm.1.5";0.600296999509421;0.954;0.063092441751266;0.0322046402489819;0.545589591287392;0.00636685193437342;0.594;0.0155563491861041;0.171606201744676;0.0274007139113482;0.0183866274010178;0.0222513882284035;16968.3999769166;87.6277609622412;7.07497897361092e-20;52
"L";2;"fc.L_rm.2";0.562861739278122;0.544;0.0293356159455475;0.00352968439149243;0.537223629789938;0.0117967008654185;0.1155;0.0714177848998413;0.102807772370629;0.0253527985345748;0.0105543836198194;7.87659760297467e-05;16991.3562434786;110.584027524194;7.32546515730847e-25;5
"Q";2;"fc.Q_rm.2";0.557387862796834;0.751;0.0184004632146386;0.00255188023547202;0.542301237003268;0.00156516921468746;0.172;0.135764501987817;0.114660567959509;0.0308614939831552;0.0079018637259202;0.00367246363238695;17020.1013667315;139.329150777157;4.19672973332679e-31;4
