"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.61317003744981;0.631;0.00990115474462056;0.00279690816554895;0.602855151077706;0.00627893819686885;0.5655;0.347189429562595;0.10018122688116;0.00188182634351674;0.00215982721382289;0.00305445693817083;18682.264902875;14.8475179348388;0.000484845399948866;4
"Q";1;"fc.Q_rm.1";0.615358813316189;0.664;0.0136087459262983;0.00612441280991172;0.603617893729404;0.00200813843065029;0.645;0.197989898732233;0.106660708522629;0.0110451971580292;0.00215982721382289;0.00305445693817083;18667.4173849402;0;0.812270786570183;6
"P";1;"fc.P_rm.1";0.620030919175519;0.939;0.0197782345960513;0.0227404235409764;0.606931320659631;0.00701955432606621;0.6335;0.0304055915910216;0.119550160125121;0.0325247000864535;0.00107991360691145;0.00152722846908542;18801.4532609375;134.035875997371;6.37059758585786e-30;7
"LQ";1;"fc.LQ_rm.1";0.613414711041951;0.625;0.014310909469729;0.005052815574332;0.601640764368283;0.00201691037015056;0.5925;0.0700035713374682;0.104500881308806;0.0079907402198584;0.00323974082073434;0.00458168540725625;18670.3522448633;2.9348599231671;0.187242356907994;9
"H";1;"fc.H_rm.1";0.627665005483481;0.985;0.0427423540624166;0.0273391924057181;0.600802062741997;0.00722657342582853;0.774;0.17819090885901;0.155984210918299;0.00372854398659476;0.0091258906184057;0.0098515013431119;18832.5711434423;165.15375850218;1.11434031410842e-36;77
"L";1.5;"fc.L_rm.1.5";0.613338144984585;0.585;0.0095138245335446;0.00757497371915635;0.602464599047844;0.0083714390329166;0.5065;0.277892965006313;0.0981604230282267;0.00747815319345272;0.00107991360691145;0.00152722846908542;18711.0519671304;43.634582190276;2.72001751979249e-10;6
"Q";1.5;"fc.Q_rm.1.5";0.614859444986162;0.611;0.0117860135004519;0.00112093181302269;0.604228033824353;0.00374108138494225;0.53;0.248901586977665;0.113348725205432;0.0107502840743438;0.00215982721382289;0.00305445693817083;18697.2935424951;29.8761575549834;2.64347769783133e-07;5
"P";1.5;"fc.P_rm.1.5";0.619197024733088;0.933;0.0185431384754229;0.0224498310084973;0.604474263212876;0.00301114041430552;0.552;0.0692964645562816;0.126446711849259;0.0227715031045701;0.00222933889426777;9.83043612284864e-05;18810.7862761501;143.368891209961;5.99158423673004e-32;9
"LQ";1.5;"fc.LQ_rm.1.5";0.613105969675337;0.575;0.0129244492385255;0.00105792536052976;0.6020773092709;0.00573180118374951;0.443;0.188090403795622;0.102480077455872;0.00136923931711106;0.00215982721382289;0.00305445693817083;18693.517419934;26.1000349938222;1.74642623354285e-06;8
"H";1.5;"fc.H_rm.1.5";0.620414650239494;0.869;0.0292180182949311;0.0172496649844513;0.60048096292888;0.00677996615128031;0.7205;0.205768073325285;0.147275390382562;0.0127936104398787;0.00452818946898041;0.00334937002185629;18858.4476817509;191.030296810786;2.6791618067861e-42;66
"L";2;"fc.L_rm.2";0.612332202107368;0.613;0.00925137222051303;0.0125819757766305;0.601580785183833;0.0110855308429662;0.474;0.226274169979695;0.104778928030585;0.00462030497773887;0;0;18734.5363741536;67.1189892134316;2.16270612841542e-15;6
"Q";2;"fc.Q_rm.2";0.614942541677833;0.631;0.00974946195879095;0.00325451403562099;0.604675413290864;0.00597407432473936;0.547;0.246073159852919;0.108018668851319;3.86195704826207e-05;0.00107991360691145;0.00152722846908542;18718.5319510492;51.1145661090741;6.46120962021008e-12;5
"P";2;"fc.P_rm.2";0.618578866417001;0.934;0.0193480595936258;0.0182504089316006;0.603158692822866;0.000802399397847454;0.512;0.115965512114594;0.126446711849259;0.0227715031045701;0.00222933889426777;9.83043612284864e-05;18820.0684743816;152.651089441479;5.78013435742341e-34;8
"LQ";2;"fc.LQ_rm.2";0.613061606400922;0.56;0.0122823099047468;0.00527335482294057;0.601755626616547;0.008086053450533;0.439;0.190918830920368;0.0991708249546933;0.00279816342496799;0.00215982721382289;0.00305445693817083;18713.7836663784;46.3662814382114;6.94049980830775e-11;7
