"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.608681660085901;0.868;0.107982499656353;0.0116681805275542;0.594669899016305;0.0861580510439667;0.546;0.241830519165799;0.113493150684932;0.0332243323215049;0.0118493150684932;0.00261532645096394;3849.95784844086;7.45746683724474;0.0211198532226647;5
"Q";1;"fc.Q_rm.1";0.583532819249669;0.711;0.103263635753604;0.0291270656342805;0.598474694329415;0.0900914519316496;0.484;0.388908729652601;0.115342465753425;0.0499817943961998;0.0168493150684932;0.00445574136090153;3859.780659893;17.2802782893827;0.000155487145412175;5
"P";1;"fc.P_rm.1";0.621744996348603;0.927;0.0901572949946622;0.0374024270799306;0.593053196960759;0.0620837253177009;0.577;0.0424264068711928;0.0879452054794521;0.0112362173448821;0.0168493150684932;0.00445574136090153;3856.23131190107;13.7309302974513;0.00091711883783413;8
"LQ";1;"fc.LQ_rm.1";0.610483841021896;0.818;0.108700505276142;0.0170368804264498;0.595725682490824;0.0824439680468135;0.4295;0.318905158315133;0.105342465753425;0.0641239300199307;0.01;0.014142135623731;3842.50038160362;0;0.879142435967744;9
"H";1;"fc.H_rm.1";0.662036612989071;0.896;0.0937284583251333;0.126101048383396;0.587249431896099;0.0832820051109304;0.369;0.319612265096319;0.243835616438356;0.0619929232821083;0.0168493150684932;0.00445574136090153;3867.53805524046;25.0376736368371;3.21512227078711e-06;41
"L";1.5;"fc.L_rm.1.5";0.60765926897798;0.819;0.111446289154664;0.00590206353925242;0.597489638947261;0.0899659120223125;0.562;0.223445742854949;0.113493150684932;0.0332243323215049;0.0168493150684932;0.00445574136090153;3850.48459501236;7.98421340873711;0.0162296566069685;4
"Q";1.5;"fc.Q_rm.1.5";0.585951405478333;0.735;0.105578734486018;0.0313964995387349;0.598810952336012;0.0921342871274561;0.5015;0.415071680556503;0.118493150684932;0.0261532645096394;0.0168493150684932;0.00445574136090153;3868.45815085056;25.9577692469429;2.02955708245015e-06;5
"P";1.5;"fc.P_rm.1.5";0.621735094255548;0.909;0.0893823542884112;0.0347392498332611;0.589455670581269;0.055762773753681;0.7375;0.194454364826301;0.0879452054794521;0.0112362173448821;0.0168493150684932;0.00445574136090153;3854.66223029969;12.1618486960651;0.00200977460651138;7
"LQ";1.5;"fc.LQ_rm.1.5";0.609493631716404;0.807;0.116170975497499;0.0091920241662508;0.598519258224368;0.0904713594892337;0.4985;0.310419876940894;0.110342465753425;0.0570528622080653;0.0168493150684932;0.00445574136090153;3847.82163384511;5.32125224149377;0.0614559591564428;7
"H";1.5;"fc.H_rm.1.5";0.649042591377752;0.818;0.0840582700849065;0.085941304902926;0.591876134937673;0.0732143982750863;0.3755;0.277892965006313;0.142945205479452;0.0665455285856381;0.0168493150684932;0.00445574136090153;3865.0888876236;22.5885060199848;1.09402559962353e-05;25
"L";2;"fc.L_rm.2";0.606651731009642;0.805;0.115147499790073;0.000436692369139865;0.599482542962718;0.0927157883001937;0.5555;0.275064537881567;0.103493150684932;0.0473664679452358;0.0168493150684932;0.00445574136090153;3852.83602309636;10.3356414927375;0.00500844847438671;4
"Q";2;"fc.Q_rm.2";0.585835055884938;0.726;0.104448887658454;0.0303580847816111;0.596211424068519;0.0887363436585207;0.5425;0.372645273685311;0.118493150684932;0.0261532645096394;0.0118493150684932;0.00261532645096394;3872.48239632877;29.9820147251489;2.71361023175152e-07;4
"P";2;"fc.P_rm.2";0.621485066405912;0.898;0.0924991284060729;0.0278348424473347;0.586327008328072;0.0506358921679414;0.748;0.189504617357995;0.0660958904109589;0.0227630265176491;0.0118493150684932;0.00261532645096394;3856.46012560743;13.9597440038137;0.000817973716629799;6
"LQ";2;"fc.LQ_rm.2";0.60874107264423;0.812;0.121873756379814;0.00380021059553801;0.599625811714902;0.0931838988985806;0.5555;0.277892965006313;0.122191780821918;0.0596681886590292;0.00684931506849315;0.00968639426282942;3851.63355113356;9.13316952993819;0.00913727465107521;6
"H";2;"fc.H_rm.2";0.639468505155277;0.759;0.0832435779567801;0.0793243829782127;0.588456142703961;0.0723688331158787;0.2445;0.00919238815542513;0.121095890410959;0.0550187194128711;0.0236986301369863;0.00523065290192788;3891.26490566272;48.7645240590959;2.26452640001668e-11;22
"L";2.5;"fc.L_rm.2.5";0.60584718594893;0.816;0.117758845187734;0.00339128345856706;0.599315819434856;0.0924200544677991;0.552;0.272943217538007;0.113493150684932;0.0332243323215049;0.00684931506849315;0.00968639426282942;3855.29836111735;12.7979795137348;0.00146222196241968;4
"Q";2.5;"fc.Q_rm.2.5";0.583716007971185;0.689;0.104088331875427;0.0306281464704729;0.595406382207868;0.0893749661567693;0.572;0.312541197284454;0.113493150684932;0.0332243323215049;0.0186986301369863;0.0123017207137934;3873.15672282409;30.6563412204655;1.93695410346517e-07;3
"P";2.5;"fc.P_rm.2.5";0.620967682043792;0.888;0.0959379233242835;0.0204329774227067;0.587407396361225;0.0518383424329427;0.686;0.111722871427475;0.107945205479452;0.0170480539025798;0.0118493150684932;0.00261532645096394;3858.76875804764;16.2683764440203;0.000257885060759347;5
"LQ";2.5;"fc.LQ_rm.2.5";0.607099800720377;0.839;0.121731800556289;0.0033707084855043;0.597079479026266;0.0900967077456444;0.5205;0.338704148188356;0.127191780821918;0.0525971208471637;0.00684931506849315;0.00968639426282942;3856.25985698429;13.7594753806666;0.000904122189288824;6
"H";2.5;"fc.H_rm.2.5";0.633040809001003;0.832;0.0731691561627903;0.0931014928991025;0.57968146236427;0.0602207769344025;-0.0295;0.492853426487024;0.149246575342466;0.114202588358759;0.0236986301369863;0.00523065290192788;3899.71227520617;57.2118936025468;3.31630448626635e-13;16
"L";3;"fc.L_rm.3";0.604963424143778;0.788;0.117156463130412;0.00293883258551067;0.597347003918992;0.0896614222169366;0.533;0.329511760032931;0.113493150684932;0.0332243323215049;0.00684931506849315;0.00968639426282942;3857.80179494385;15.3014133402326;0.00041821495075965;4
"Q";3;"fc.Q_rm.3";0.58062655493805;0.659;0.102564186352061;0.0327677514574245;0.595331971591025;0.0896636984066411;0.6135;0.255265548008344;0.120342465753425;0.0429107265843343;0.0186986301369863;0.0123017207137934;3874.70178465623;32.201403052607;8.94568118283627e-08;3
"P";3;"fc.P_rm.3";0.620366129890706;0.884;0.0961303169383689;0.0169105969043297;0.589514995951434;0.0533629816601379;0.6705;0.0997020561473032;0.128493150684932;0.0120111288859085;0.0118493150684932;0.00261532645096394;3863.26831103935;20.7679294357299;2.71869611496371e-05;5
"LQ";3;"fc.LQ_rm.3";0.605733311878798;0.784;0.120811546208317;0.0027622720563864;0.597058033942272;0.0900321220123708;0.521;0.31961226509632;0.132191780821918;0.0455260530352983;0.00684931506849315;0.00968639426282942;3861.02521186643;18.5248302628124;8.34532900994586e-05;6
"H";3;"fc.H_rm.3";0.628972286517062;0.926;0.102128695337553;0.0550938900605454;0.518623485608346;0.0229808060833035;-0.1305;0.540936687607709;0.144246575342466;0.107131520546893;0.0236986301369863;0.00523065290192788;3920.28714642399;77.7867648203664;1.12947827151978e-17;16
"L";3.5;"fc.L_rm.3.5";0.604124221757374;0.77;0.116739927358299;0.00292392285319187;0.597408105439434;0.0894737703786821;0.5475;0.279307178568686;0.118493150684932;0.0261532645096394;0.00684931506849315;0.00968639426282942;3860.3526769839;17.8522953802822;0.000116810681404397;4
"Q";3.5;"fc.Q_rm.3.5";0.577044472775433;0.673;0.0987566803166051;0.0377387452597967;0.596602508867136;0.0880946801478352;0.5875;0.265165042944955;0.120342465753425;0.0429107265843343;0.0186986301369863;0.0123017207137934;3876.41503331098;33.9146517073632;3.79827318724276e-08;3
"P";3.5;"fc.P_rm.3.5";0.619932913319553;0.878;0.0968003694677085;0.0124867744481909;0.59223103154825;0.0561848663489108;0.648;0.111722871427475;0.118493150684932;0.0261532645096394;0.0118493150684932;0.00261532645096394;3867.78654534202;25.286163738404;2.83947829834283e-06;5
"LQ";3.5;"fc.LQ_rm.3.5";0.604196011932022;0.774;0.119961274985699;0.00260290377203474;0.596662174510301;0.0895921945511339;0.5295;0.333047293938864;0.132191780821918;0.0455260530352983;0.00684931506849315;0.00968639426282942;3860.29063135394;17.7902497503164;0.000120491273542724;4
"H";3.5;"fc.H_rm.3.5";0.625525120372319;0.91;0.0982961304838843;0.0508951773343626;0.5189330026361;0.0278573248501259;-0.1765;0.556493036793813;0.144246575342466;0.107131520546893;0.0168493150684932;0.00445574136090153;3933.03593881544;90.5355572118242;1.92536373423262e-20;16
"L";4;"fc.L_rm.4";0.604007872163979;0.784;0.116170843647808;0.00290284987741198;0.597188638621051;0.0889235927951321;0.557;0.284256926036992;0.118493150684932;0.0261532645096394;0.00684931506849315;0.00968639426282942;3859.61268048544;17.1122988818179;0.000169110570757943;3
"Q";4;"fc.Q_rm.4";0.572900446831949;0.632;0.0963233586237624;0.0412880706911162;0.597722302033826;0.0867578289853996;0.5755;0.265165042944955;0.120342465753425;0.0429107265843343;0.0186986301369863;0.0123017207137934;3878.33953688341;35.8391552797934;1.45106062248408e-08;3
