"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.613559690502697;0.829;0.0169311825259742;0.012327212723987;0.607305576172503;0.0115885213901001;0.7955;0.037476659402887;0.138027280030165;0.0272133575230818;0.00286489499483581;0.000144906057098412;15820.7392324913;63.8159770869843;1.38843051858209e-14;6
"Q";1;"fc.Q_rm.1";0.612738083597758;0.839;0.017677708365806;0.0106719999799715;0.607795353976726;0.0124143804348934;0.7365;0.0431335136523794;0.121350230339197;0.0466017879628493;0.00148367952522255;0.00209823970678501;15756.9232554043;0;0.999971227869793;5
"P";1;"fc.P_rm.1";0.620196408059027;0.959;0.022826646434615;0.0185249089870062;0.611817478413425;0.0172568253783434;0.8605;0.0898025612106915;0.126719346853124;0.0239384806326577;0.00148367952522255;0.00209823970678501;15985.3916942201;228.468438815769;2.44735162199806e-50;8
"LQ";1;"fc.LQ_rm.1";0.614095075106883;0.834;0.0158236194118675;0.0139086941858605;0.606638973254633;0.0119368652748902;0.751;0.0579827560572969;0.142375854550224;0.0294565032869652;0.00286489499483581;0.000144906057098412;15830.0121540139;73.0888986096015;1.34565840074231e-16;10
"H";1;"fc.H_rm.1";0.638496932540713;0.914;0.0453188279224817;0.00731489120391141;0.606292527031479;0.00170537306875784;0.8735;0.0332340187157678;0.157417577913668;0.0585420470677585;0;0;15955.7644441583;198.841188754021;6.64005961880417e-44;87
"L";1.5;"fc.L_rm.1.5";0.61244714607413;0.831;0.0162727277740984;0.012592521219056;0.606673884501954;0.0111502057169156;0.7955;0.0318198051533946;0.143859534075446;0.0315547429937502;0.00286489499483581;0.000144906057098412;15838.5390387952;81.6157833909219;1.89384888589724e-18;6
"Q";1.5;"fc.Q_rm.1.5";0.612137513105424;0.845;0.0178178596456206;0.00936456467097224;0.607607091256718;0.0121271534364122;0.7305;0.0374766594028871;0.114444152991131;0.0563684562112823;0.00148367952522255;0.00209823970678501;15777.8354132496;20.9121578453523;2.87720049124989e-05;4
"P";1.5;"fc.P_rm.1.5";0.620420257060715;0.969;0.0210551193379675;0.0168854285726741;0.612463655285774;0.0154461283673947;0.8855;0.0431335136523794;0.127998098267128;0.0299433876388159;0;0;15972.5464892046;215.623233800336;1.50659735079503e-47;7
"LQ";1.5;"fc.LQ_rm.1.5";0.612690600476188;0.829;0.0155119248022882;0.0141193276942063;0.606443453091633;0.0108233834212846;0.7585;0.0841457069611991;0.142375854550224;0.0294565032869652;0.00286489499483581;0.000144906057098412;15841.5575987709;84.6343433665897;4.18671455686375e-19;7
"H";1.5;"fc.H_rm.1.5";0.631670613390935;0.911;0.0303910203331096;0.00591440323456915;0.606654283690015;0.00655826315552545;0.8405;0.00919238815542513;0.14703182123711;0.0438543691202635;0.00424611046444907;0.00180842759258818;15923.4061751457;166.4829197414;7.05798639418246e-37;53
"L";2;"fc.L_rm.2";0.611637616757604;0.836;0.0159308924120899;0.0128088745306983;0.605869754965277;0.0107113381238476;0.808;0.0466690475583121;0.140892175025001;0.0273582635801802;0.00286489499483581;0.000144906057098412;15855.1519781882;98.2287227839333;4.67618160883805e-22;5
"Q";2;"fc.Q_rm.2";0.611615860553819;0.85;0.0179245488406258;0.00777280259608243;0.607541405981187;0.0118819546307541;0.7245;0.021920310216783;0.114444152991131;0.0563684562112823;0.00148367952522255;0.00209823970678501;15802.5241283235;45.6008729191835;1.25280582747559e-10;4
"P";2;"fc.P_rm.2";0.619951381916012;0.968;0.0191273546842277;0.0151738711250873;0.612869487687159;0.0136609725545376;0.903;0.0183847763108503;0.122268308277456;0.0302331997530127;0;0;15969.944618319;213.0213629147;5.53332632886569e-47;9
"LQ";2;"fc.LQ_rm.2";0.611832016297134;0.834;0.0153013910829491;0.0142180956653345;0.605698188927684;0.0106933935240393;0.784;0.0947523086789974;0.142375854550224;0.0294565032869652;0.00286489499483581;0.000144906057098412;15857.6297119113;100.706456507;1.35474740479058e-22;6
"H";2;"fc.H_rm.2";0.625869400238541;0.918;0.0176981919024063;0.0148120118540448;0.609966238001412;0.00890443920325291;0.827;0.0834386001800126;0.134957456924111;0.0189653047530402;0.00424611046444907;0.00180842759258818;15978.7913622572;221.8681068529;6.63651753119928e-49;47
"L";2.5;"fc.L_rm.2.5";0.610980546313994;0.85;0.0155026581563562;0.0119423815054482;0.605746274970172;0.0102761879642998;0.8155;0.0487903679018717;0.136646064560552;0.0291666911727684;0.00286489499483581;0.000144906057098412;15873.5376646367;116.614409232439;4.75872144933119e-26;5
"Q";2.5;"fc.Q_rm.2.5";0.611085935681382;0.855;0.0175278502177337;0.00670348138268951;0.60754060286281;0.0115000543544712;0.743;0.0282842712474619;0.112960473465908;0.0542702165044973;0.00148367952522255;0.00209823970678501;15827.6471731974;70.7239177931424;4.39019576193784e-16;4
"P";2.5;"fc.P_rm.2.5";0.619235495271293;0.957;0.0172090805062911;0.0133838916507242;0.612960501322214;0.0122043846728623;0.9115;0.00212132034355964;0.120887092807843;0.0282798661033261;0;0;15966.6751117399;209.751856335579;2.83759634777072e-46;8
"LQ";2.5;"fc.LQ_rm.2.5";0.611220112725262;0.846;0.0149379045429499;0.0136516768245606;0.605478704395305;0.0102917535032196;0.787;0.0707106781186547;0.138027280030165;0.0272133575230818;0.00286489499483581;0.000144906057098412;15876.2266948736;119.303439469286;1.24043721555255e-26;6
"H";2.5;"fc.H_rm.2.5";0.62249743682139;0.939;0.0143161398492915;0.0165580647883306;0.609103451442664;0.00853539538717481;0.814;0.130107647738325;0.136338672393724;0.0170119711033536;0.00148367952522255;0.00209823970678501;16025.8416700682;268.918414663951;4.02805803291287e-59;42
"L";3;"fc.L_rm.3";0.609989191385602;0.879;0.0149552924035793;0.0111317291652728;0.605589138282763;0.00969017389367471;0.8205;0.0459619407771256;0.132297490040494;0.026923545408885;0.00286489499483581;0.000144906057098412;15892.6117100846;135.688454680281;3.43252683702599e-30;5
"Q";3;"fc.Q_rm.3";0.610904606408766;0.828;0.0169097683770592;0.00580586537832723;0.607414142321528;0.0106749734534376;0.729;0.0014142135623731;0.111476793940686;0.0521719767977123;0.00148367952522255;0.00209823970678501;15853.2680404082;96.3447850038883;1.19945307058738e-21;4
"P";3;"fc.P_rm.3";0.61828972083068;0.943;0.0154468488898156;0.0120240732727506;0.612743635531746;0.0108966213707712;0.9025;0.0190918830920368;0.112599799990163;0.0165598642052065;0;0;15962.8648930714;205.941637667107;1.90690513295453e-45;7
"LQ";3;"fc.LQ_rm.3";0.610216680208456;0.882;0.0143892333950968;0.0127922155619247;0.605411699032919;0.0096966949984732;0.793;0.0678822509939085;0.139715887666607;0.03741474394281;0.00286489499483581;0.000144906057098412;15885.8334572216;128.910201817287;1.01740261394719e-28;7
"H";3;"fc.H_rm.3";0.620950926442027;0.923;0.0156910045396381;0.0184346136001621;0.606904030597289;0.010262421945808;0.7685;0.143542676580869;0.130506418348443;0.0126705856326852;0.00148367952522255;0.00209823970678501;16057.9840663942;301.060810989929;4.22146350516673e-66;49
"L";3.5;"fc.L_rm.3.5";0.609146241892919;0.886;0.0144726596000487;0.0102282146499625;0.605233503304894;0.00913819044692214;0.826;0.0494974746830583;0.133883633621326;0.0330733584721416;0.00148367952522255;0.00209823970678501;15912.9918824053;156.068627000994;1.28859295270988e-34;4
"Q";3.5;"fc.Q_rm.3.5";0.611004370597988;0.827;0.0164994074417941;0.00543245462274808;0.607129032808276;0.00990962884931526;0.7225;0.0134350288425444;0.111476793940686;0.0521719767977123;0.00148367952522255;0.00209823970678501;15879.3547644216;122.431509017253;2.59611015276302e-27;4
"P";3.5;"fc.P_rm.3.5";0.617466707631199;0.934;0.0143866122362561;0.0114467867076341;0.611992575439852;0.0101857555618645;0.8935;0.0275771644662754;0.112804728101382;0.00845671749226334;0;0;15963.6888136204;206.765558216111;1.26303973556978e-45;6
