"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.642852710992882;0.904;0.0346567550528751;0.0285697078733854;0.628140148033758;0.0170461970205461;0.8275;0.037476659402887;0.12682498948864;0.0146500165327821;0;0;10877.639448874;30.9715929013164;1.2150259181237e-07;5
"Q";1;"fc.Q_rm.1";0.6468995624244;0.983;0.0400810907554967;0.0317620745020004;0.630529786866803;0.0219289557143896;0.806;0.147078210486802;0.12362083713917;0.00124048425505012;0.00582111840865266;0.00312684047760569;10865.7428503835;19.0749944107756;4.65477915764233e-05;6
"P";1;"fc.P_rm.1";0.646462528974926;0.948;0.0454116141166731;0.0266633092041596;0.630074034383566;0.0258839949502473;0.8775;0.0261629509039023;0.110782480100909;0.0137170903574964;0.00200803212851406;0.00283978626982549;10848.1157129781;1.44785700539251;0.313028106721179;9
"LQ";1;"fc.LQ_rm.1";0.645875199390864;0.966;0.0383332038888123;0.0318136297644375;0.629530870257949;0.0198868682821768;0.78;0.0975807358037436;0.107375349774549;0.0242150728134578;0.00582111840865266;0.00312684047760569;10875.3461532317;28.6782972589772;3.82444450592806e-07;9
"H";1;"fc.H_rm.1";0.671385483381284;0.926;0.0807798799208564;0.0652042884854552;0.616026780885342;0.0290642520548704;0.6795;0.243951839509359;0.21028518405753;0.0702052576742418;0.0100401606425703;0.0141989313491275;10946.8424355125;100.174579539784;1.14116364613966e-22;80
"L";1.5;"fc.L_rm.1.5";0.641865394902341;0.896;0.0340643753454029;0.0273866557641299;0.627779697791836;0.0168608751300309;0.826;0.0155563491861041;0.128833021617155;0.0118102302629566;0;0;10877.9740864127;31.306230440021;1.02782676778158e-07;5
"Q";1.5;"fc.Q_rm.1.5";0.645136067698921;0.987;0.0398957398126186;0.029712141585351;0.631150328035736;0.0222185802508024;0.837;0.108894444302728;0.12362083713917;0.00124048425505012;0.00582111840865266;0.00312684047760569;10867.8648640746;21.1970081018972;1.61105238715763e-05;5
"P";1.5;"fc.P_rm.1.5";0.646017815061661;0.954;0.0427020978257651;0.0290657878871436;0.628587743539882;0.0224581101101121;0.875;0.014142135623731;0.103562263494411;0.0239280186056776;0;0;10846.6678559727;0;0.645626709076333;7
"LQ";1.5;"fc.LQ_rm.1.5";0.644050562149711;0.956;0.0373591649287257;0.0303384168390375;0.629505658906913;0.0187066087518582;0.804;0.0608111831820431;0.11057950212402;0.00832457202562563;0.00582111840865266;0.00312684047760569;10871.6282698286;24.960413855868;2.45412390999436e-06;6
"H";1.5;"fc.H_rm.1.5";0.664086633222012;0.846;0.0685593864359061;0.0683100340163428;0.613964315597279;0.0250663285639366;0.7125;0.219910208949016;0.189820654458991;0.0583027599873559;0.00602409638554217;0.00851935880947648;10916.5831562477;69.9153002750263;4.2468501137597e-16;59
"L";2;"fc.L_rm.2";0.640909704250941;0.891;0.033511499787919;0.0258851780690065;0.627516845971581;0.0165707831883683;0.837;0.00707106781186548;0.119807750859032;0.00095343004726993;0;0;10878.8798129959;32.2119570231916;6.53497446998943e-08;5
"Q";2;"fc.Q_rm.2";0.644411092155927;0.983;0.0397689835025493;0.0275292507032841;0.631700110036445;0.0225857911358033;0.87;0.0876812408671319;0.119604772882142;0.00443908828460085;0.00582111840865266;0.00312684047760569;10869.8072242901;23.1393683173992;6.10002340049483e-06;5
"P";2;"fc.P_rm.2";0.645596293137099;0.954;0.0395743886611162;0.031091201360077;0.626997147471068;0.0184837228633321;0.882;0.0226274169979695;0.103359285517521;0.0185355002738068;0;0;10852.3727105222;5.70485454954178;0.0372552998391137;8
"LQ";2;"fc.LQ_rm.2";0.642137072484302;0.938;0.0366560818850838;0.0291255041313071;0.62933896782786;0.0181976217745784;0.8335;0.0304055915910215;0.114392588404158;0.00861162623340582;0.00582111840865266;0.00312684047760569;10874.9817003626;28.3138443899134;4.58889688010077e-07;6
"H";2;"fc.H_rm.2";0.662260791202224;0.848;0.0602666355101125;0.0693882781633739;0.615515526568464;0.0275104810026805;0.796;0.0480832611206852;0.188399808620765;0.0960503883104514;0.00200803212851406;0.00283978626982549;10925.9743680542;79.3065120815481;3.87963796453698e-18;55
"L";2.5;"fc.L_rm.2.5";0.639981422313464;0.883;0.0327863478964945;0.0247180132988892;0.627100740719847;0.0161405189778926;0.839;0.0212132034355964;0.10717237179766;0.018822554481587;0;0;10880.1987249944;33.5308690216771;3.3794481981013e-08;5
"Q";2.5;"fc.Q_rm.2.5";0.643766083794764;0.976;0.0398557380202873;0.0253782017369952;0.632131519540899;0.0230351609005536;0.9245;0.0289913780286484;0.117799718730518;0.00188635622255556;0.00401606425702811;0.00567957253965098;10872.2768916882;25.6090357155445;1.77439391493988e-06;5
"P";2.5;"fc.P_rm.2.5";0.645247057930576;0.957;0.0380439630782979;0.0309156640728714;0.626779678162789;0.0167435147528544;0.8685;0.0289913780286485;0.103562263494411;0.0239280186056776;0;0;10856.9910909551;10.3232349824029;0.00370100348793721;8
"LQ";2.5;"fc.LQ_rm.2.5";0.641314811066615;0.936;0.0362723542075959;0.0274921946843147;0.629081662106262;0.0176425459962109;0.8765;0.0205060966544099;0.105570295622925;0.0267678048755031;0.00401606425702811;0.00567957253965098;10874.4830450988;27.8151891260895;5.88829979244868e-07;5
"H";2.5;"fc.H_rm.2.5";0.659437392473507;0.82;0.0505170909741302;0.0665374006014602;0.617902638177596;0.0277401825095801;0.7965;0.0601040764008565;0.179374537862642;0.0832867280002249;0;0;10934.6326574406;87.9648014679187;5.11290294532939e-20;49
"L";3;"fc.L_rm.3";0.639151028639998;0.884;0.032200939859807;0.0234320087434594;0.626672612190428;0.0159132050004216;0.8315;0.00919238815542513;0.10717237179766;0.018822554481587;0;0;10881.9826773441;35.3148213713939;1.38505003634181e-08;5
"Q";3;"fc.Q_rm.3";0.643194265735614;0.97;0.04015327459005;0.0233164882859729;0.632531562695455;0.0238530081521085;0.925;0.0381837661840735;0.114189610427269;0.00321910790153504;0.00401606425702811;0.00567957253965098;10875.1089428427;28.4410868699706;4.30603886219041e-07;5
"P";3;"fc.P_rm.3";0.64477644127668;0.955;0.0374864046155819;0.0292013988893937;0.627469351660646;0.016504462065537;0.8725;0.0162634559672906;0.105570295622925;0.0267678048755031;0;0;10862.2657198538;15.5978638811539;0.000264818537013801;8
"LQ";3;"fc.LQ_rm.3";0.640589082536975;0.926;0.0355844022656542;0.0258036113349887;0.628892197869189;0.0167891878293395;0.879;0.0311126983722081;0.105367317646035;0.0213752865436323;0;0;10876.229504796;29.5616488232718;2.45895742067461e-07;5
"H";3;"fc.H_rm.3";0.656188405692338;0.793;0.0445910808633428;0.0621269850760601;0.619061649541395;0.0265465220379796;0.8625;0.0643467170879759;0.161323996346396;0.0577594073797719;0;0;10919.7133677642;73.0455117915371;8.87871547819307e-17;33
