"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.588883968645807;0.771;0.0242334693843819;0.00285829127707133;0.565324746911455;0.00315586280563759;0.3455;0.0304055915910215;0.133848273398732;0.0105987991975379;0.00176678445229682;0.00249861053422808;12372.0408143034;13.339352941277;0.00126719795649008;6
"Q";1;"fc.Q_rm.1";0.577151192613491;0.688;0.0302992387605414;0.00563780846082187;0.551119017180992;0.00238779678107227;0.2545;0.0841457069611991;0.138765929762345;0.0686080567629559;0.00176678445229682;0.00249861053422808;12428.0135546725;69.3120933104292;8.8821545209206e-16;6
"P";1;"fc.P_rm.1";0.590825772634009;0.876;0.0121226735555246;0.00372871611810312;0.578050626085024;0.000433606621676113;0.624;0.284256926036992;0.140724062711281;0.0458499543158171;0;0;12610.3854229479;251.683961585852;2.22315785612032e-55;7
"LQ";1;"fc.LQ_rm.1";0.600598310464222;0.539;0.0309349870490353;0.0235991108290211;0.572639162468656;0.0154411767961077;0.3705;0.103944696834423;0.126666326491562;0.0157583848494457;0.00530035335689046;0.00749583160268425;12358.7014613621;0;0.998730128085335;7
"H";1;"fc.H_rm.1";0.632149269043344;0.956;0.0475856429526577;0.0298846636672829;0.59407287531005;0.0171894480327958;0.5855;0.345775216000222;0.18746412215688;0.00473563368400629;0.0142490847163577;0.00483485648500452;12685.441604077;326.740142714962;1.11873610029362e-71;85
"L";1.5;"fc.L_rm.1.5";0.585809662734034;0.793;0.0239115549694411;0.000642823185338419;0.564119883338598;0.00051667087446262;0.2655;0.0586898628384834;0.124899542039265;0.0132597743152176;0.00176678445229682;0.00249861053422808;12417.1837890866;58.4823277245614;1.9960528744756e-13;6
"Q";1.5;"fc.Q_rm.1.5";0.574411307386509;0.829;0.0287225017248126;0.004865538556706;0.551081675895047;0.00170270145016022;0.111;0.39739401102684;0.135232360857752;0.0636108356944998;0.00530035335689046;0.00749583160268425;12478.2840668813;119.582605519165;1.07749508271267e-26;5
"P";1.5;"fc.P_rm.1.5";0.589976596563221;0.881;0.0146078743918654;0.0067903331123548;0.573515022887608;0.00468673941760805;0.6705;0.202939646200539;0.13354211580411;0.051009539967725;0.00176678445229682;0.00249861053422808;12600.0780803236;241.376618961551;3.84752378644543e-53;7
"LQ";1.5;"fc.LQ_rm.1.5";0.598561530200051;0.689;0.0280227481422671;0.0216167300293998;0.573682233136088;0.014579953935678;0.357;0.230516810666815;0.12121289433736;0.028467923631855;0.00530035335689046;0.00749583160268425;12384.3628618144;25.6614004523271;2.67390420362228e-06;7
"H";1.5;"fc.H_rm.1.5";0.623488795203898;0.921;0.0419196115456827;0.0239292802958953;0.584656090269843;0.00351964385783954;0.523;0.323854905783439;0.164381115179038;0.0125922754721386;0.00176678445229682;0.00249861053422808;12580.5361081152;221.834646753161;6.74010498520285e-49;66
"L";2;"fc.L_rm.2";0.581936073352142;0.783;0.023596702443836;0.00187009769261906;0.562125861457905;0.00281703491992047;0.229;0.156977705423414;0.114298835325484;0.00173188889015088;0.00530035335689046;0.00749583160268425;12453.1023806195;94.4009192573649;3.1662776192354e-21;4
