"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.552819845108461;0.736;0.0226584907964333;0.0290218579839798;0.540051147840442;0.0143266122771513;0.323;0.261629509039023;0.11200722249616;0.0042717831277406;0.0066070231325626;0.00147242319200454;25147.8057306051;152.237153773636;8.75225122082835e-34;5
"Q";1;"fc.Q_rm.1";0.553801734964038;0.677;0.0189408554323724;0.0249122047010528;0.541822976404223;0.0113152547030095;0.602;0.103237590053236;0.102815922127586;0.0168388021940826;0.00376733345867462;8.02683852540803e-05;25137.7568145736;142.188237742153;1.33111067326435e-31;6
"P";1;"fc.P_rm.1";0.557015453514719;0.575;0.025120122165758;0.0251229990138321;0.540185781699008;0.0130221347944871;0.692;0.0141421356237309;0.11479015385052;0.00820744239222973;0.000927643784786642;0.00131188642149638;25137.1428764502;141.574299618678;1.80937729135076e-31;7
"LQ";1;"fc.LQ_rm.1";0.56367167608689;0.749;0.0267701137288494;0.030393703764804;0.5471690391435;0.0129315850502875;0.3645;0.273650324319194;0.118727762267779;0.00785626820674313;0.00469497724346126;0.0012316180362423;25077.6206982612;82.0521214297078;1.52267039725387e-18;7
"H";1;"fc.H_rm.1";0.598319310218601;0.983;0.0493714206558462;0.0104739820565101;0.561756610748255;0.0058787897441055;0.519;0.268700576850888;0.1292723938176;0.0253924019977205;0.0102892191119451;0.00643902952960077;25019.8546466599;24.2860698284276;5.32530676522704e-06;104
"L";1.5;"fc.L_rm.1.5";0.552269249843399;0.566;0.0226995974758558;0.025931519349711;0.541630928540743;0.0148787724290974;0.475;0.332340187157677;0.0978655324462481;0.0059047430902533;0.00567937934777596;0.00278430961350092;25139.307979025;143.739402193543;6.12890775442204e-32;4
"Q";1.5;"fc.Q_rm.1.5";0.551353352892603;0.823;0.0191819617931428;0.0239977197821178;0.541872191581654;0.0117194155017981;0.634;0.123036579926459;0.111193095350429;0.00769573143623497;0.00376733345867462;8.02683852540803e-05;25132.4959932646;136.927416433133;1.84751085242019e-30;5
"P";1.5;"fc.P_rm.1.5";0.556645319396598;0.575;0.0207226936921939;0.0270289671217516;0.542584352721757;0.013024069226521;0.7085;0.0827314933988261;0.0970797844602816;0.00872667850934206;0.00283968967388798;0.00139215480675046;25140.8143257196;145.245748888134;2.88591846030988e-32;5
"LQ";1.5;"fc.LQ_rm.1.5";0.561759442321194;0.523;0.0259567501724799;0.0300985187728973;0.546172982116038;0.0106970361198147;0.586;0.0353553390593273;0.115045566288396;0.0157677209283484;0.00469497724346126;0.0012316180362423;25078.1021083244;82.5335314928852;1.19693078613857e-18;6
"H";1.5;"fc.H_rm.1.5";0.593053318038685;0.986;0.04443942913903;0.014905323995955;0.560557845911273;0.00827246219014818;0.5075;0.318905158315133;0.122551854045981;0.0132643506632368;0.00281131051412395;0.00127175222886934;24995.5685768315;0;0.999994674693215;56
