"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.539415342509887;0.826;0.00805440825647519;0.00715143243144016;0.532597277768998;0.00619239506356327;0.6335;0.0473761543394987;0.115848612172142;0.00848546143708073;0.00210084033613445;0.0029710368957418;10803.5543958845;13.4797478655419;0.000836615648048129;4
"Q";1;"fc.Q_rm.1";0.542727802288904;0.657;0.00362740657650296;0.00125240239009126;0.54026998181782;0.00258963307436893;0.751;0.168291413922398;0.093980774127833;0.00970088562170238;0;0;10794.7274021758;4.6527541568521;0.0690690230415834;4
"P";1;"fc.P_rm.1";0.539629515428179;0.866;0.0205568209851448;0.0067146374672589;0.524781436732233;0.00400576905486148;0.582;0.014142135623731;0.115434810287751;0.0028134819088464;0;0;10809.2435873467;19.1689393278029;4.86557032530397e-05;8
"LQ";1;"fc.LQ_rm.1";0.549101938173384;0.821;0.0111389452380241;0.0143249247392824;0.541084486894061;0.00351026878390513;0.7055;0.0643467170879758;0.100076394194041;0.0129645246359642;0.00210084033613445;0.0029710368957418;10790.0746480189;0;0.707320167473555;5
"H";1;"fc.H_rm.1";0.592931724195723;0.988;0.060920323676209;0.0136585993355404;0.55009838720055;0.00183951011553213;0.5705;0.11667261889578;0.173255665902725;0.00139548702678782;0.0178730583142348;0.00150802630314167;10823.3189181457;33.2442701267682;4.27281909305548e-08;53
"L";1.5;"fc.L_rm.1.5";0.539229237837297;0.817;0.00612899746822654;0.00826375355534133;0.532647677142635;0.00546875411162133;0.665;0.045254833995939;0.109546091163738;0.000427649250144652;0.00210084033613445;0.0029710368957418;10805.5227893892;15.4481413702124;0.000312676156399263;4
"Q";1.5;"fc.Q_rm.1.5";0.542201827771617;0.592;0.00264454769963396;0.00132654210819779;0.540120477356559;0.00112136669717255;0.688;0.117379725676967;0.093980774127833;0.00970088562170238;0;0;10797.2451316091;7.17048359011824;0.019613961261005;4
"P";1.5;"fc.P_rm.1.5";0.539456021126847;0.836;0.0164744840167206;0.00325104615572904;0.526835971050527;0.00191519732652297;0.64;0.0820243866176395;0.115434810287751;0.0028134819088464;0;0;10813.5172035727;23.4425555537746;5.74288053059807e-06;8
"LQ";1.5;"fc.LQ_rm.1.5";0.546749290361527;0.825;0.0119566443293563;0.0113056718594641;0.541543062492177;0.00335404812678446;0.6845;0.0883883476483184;0.103657372039725;0.00195818340855709;0.00189393939393939;0.00267843477722177;10793.0191532234;2.94450520441387;0.162265002193476;5
"H";1.5;"fc.H_rm.1.5";0.585802999966644;0.971;0.0477471907049952;0.00745565036567724;0.552795070278914;0.000307232021579596;0.8265;0.0827314933988261;0.142984466513878;0.0120642104251334;0.00588871912401324;0.00238583265870175;10824.5561743092;34.4815262902721;2.30169483601617e-08;41
"L";2;"fc.L_rm.2";0.538863333677746;0.81;0.00560747323885941;0.00750015790319406;0.532634169015308;0.00473856185584423;0.6825;0.000707106781186548;0.107859052711994;0.00790025720004068;0.00210084033613445;0.0029710368957418;10807.5503243176;17.4756762986744;0.000113454349231974;4
"Q";2;"fc.Q_rm.2";0.541581885649153;0.632;0.00351236258420445;0.000573073665955366;0.539662773165259;0.000151451742741862;0.7185;0.163341666454092;0.0960816144639674;0.0126719225174442;0.00189393939393939;0.00267843477722177;10799.902065536;9.82741751709182;0.00519540540172847;4
"P";2;"fc.P_rm.2";0.539028285469517;0.795;0.01317669271453;0.00032346652827555;0.528406498771049;0.000137973817967944;0.6605;0.00919238815542513;0.107445250827604;0.00339868614588645;0.00210084033613445;0.0029710368957418;10811.7400389322;21.6653909132947;1.39648469429917e-05;6
"LQ";2;"fc.LQ_rm.2";0.543897922705746;0.823;0.0113630020579115;0.0101706679776691;0.541292426937096;0.00228388207834958;0.6985;0.0954594154601839;0.109546091163738;0.000427649250144652;0.00189393939393939;0.00267843477722177;10798.5220121564;8.44736413741521;0.010358436912238;6
"H";2;"fc.H_rm.2";0.580599594678261;0.972;0.0365655430280437;0.00721183376316345;0.553334758620917;0.00519428259303373;0.8885;0.00636396103067893;0.120257193786606;0.0200770069015279;0.00378787878787879;0.00535686955444354;10814.1341372855;24.0594892665813;4.21856094944081e-06;24
"L";2.5;"fc.L_rm.2.5";0.538545633679291;0.821;0.00525249732164501;0.00642467652668136;0.532723981836453;0.00390242671333782;0.7095;0.00212132034355964;0.104071173924115;0.0132571267544842;0.00210084033613445;0.0029710368957418;10809.6367344834;19.5620864644297;3.99726497392063e-05;4
"Q";2.5;"fc.Q_rm.2.5";0.540911298648575;0.668;0.00335918140642189;0.000435883399122441;0.538116895504001;0.00160459541864255;0.735;0.166877200360025;0.0981824548001019;0.015642959413186;0.00189393939393939;0.00267843477722177;10802.7037157836;12.6290677646175;0.00128011450972137;4
"P";2.5;"fc.P_rm.2.5";0.538862520105406;0.803;0.012522545020627;0.000445284029437669;0.528537888373568;8.09759391047574e-05;0.6525;0.0700035713374682;0.117949452508276;0.0114564983328225;0;0;10813.9045989599;23.8299509409389;4.73159911889074e-06;6
"LQ";2.5;"fc.LQ_rm.2.5";0.542907194989696;0.808;0.010266321977114;0.00744102474935223;0.541552700329652;0.00170153325065634;0.738;0.0636396103067893;0.109546091163738;0.000427649250144652;0.00189393939393939;0.00267843477722177;10798.7188332301;8.64418521120751;0.00938761071931294;5
"H";2.5;"fc.H_rm.2.5";0.576150777734478;0.966;0.0226990257000295;0.00959648244270571;0.551292699542622;0.0107203485620507;0.557;0.110308657865101;0.111233129615483;0.00875555570032999;0.00378787878787879;0.00535686955444354;10835.8855545203;45.8109065013323;7.97818474678418e-11;23
"L";3;"fc.L_rm.3";0.53817464469262;0.81;0.00453817700381509;0.0055112361170637;0.532831768298866;0.00275582181397485;0.7445;0.0318198051533947;0.101970333587981;0.0102860898587424;0.00210084033613445;0.0029710368957418;10811.781747281;21.7070992620229;1.36766372227967e-05;4
