"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.593241098944332;0.914;0.0438737147335792;0.031593973301705;0.555030928769802;0.0254824467674068;0.1815;0.220947203346561;0.106894841269841;0.0561918808955887;0.0109649122807018;0.0219298245614035;6886.22512630158;371.242807371726;2.43023662209069e-81;6
"Q";1;"fc.Q_rm.1";0.601146154350534;0.598;0.0519795196702299;0.0210789189094145;0.594176746964207;0.0538109138292595;0.14425;0.152604881966469;0.119238199665831;0.0719267834259049;0.0109649122807018;0.0219298245614035;6820.4925927523;305.510273822448;4.56338238964838e-67;5
"P";1;"fc.P_rm.1";0.601512359845256;0.921;0.0421794300175309;0.0420549063262858;0.563761230443287;0.0361854126822698;0.1835;0.286578087089714;0.101130430242272;0.0501483606793336;0.0087719298245614;0.0175438596491228;6822.56886898992;307.58655006007;1.61595478781256e-67;7
"LQ";1;"fc.LQ_rm.1";0.615221952658842;0.817;0.0377460879170451;0.0319101111554637;0.580184218538319;0.0203520946939386;0.31725;0.309707792389321;0.146352861319967;0.0766882413874709;0.0187774122807018;0.022285020928402;6514.98231892985;0;0.999999781302862;7
"H";1;"fc.H_rm.1";0.662504753786637;0.929;0.0972103238316548;0.0850790409222842;0.572410346099824;0.0641515913023225;0.38075;0.297805725263971;0.231170591409078;0.128738870645474;0.0143914473684211;0.0167394568429518;6694.75365612009;179.771337190235;9.18649899747054e-40;59
"L";1.5;"fc.L_rm.1.5";0.590251786768081;0.839;0.042624611262121;0.039067751173898;0.553459806389888;0.0321162172256945;0.254;0.205117852302849;0.103658234126984;0.0484727402305031;0.0087719298245614;0.0175438596491228;6901.12531621411;386.142997284259;1.41290652886156e-84;5
"Q";1.5;"fc.Q_rm.1.5";0.600134745262606;0.585;0.0503985023203905;0.01765561178813;0.593513453409363;0.0517841113430375;0.16825;0.112523701207049;0.117045217209691;0.0686305184676477;0.0087719298245614;0.0175438596491228;6819.89722442551;304.914905495652;6.14567304376736e-67;5
"P";1.5;"fc.P_rm.1.5";0.599059405940594;0.942;0.0412601460197423;0.045809639218805;0.559043656795525;0.0355111566412878;0.24125;0.357095108712884;0.101130430242272;0.0501483606793336;0.0087719298245614;0.0175438596491228;6890.48485346208;375.502534532229;2.88842144675315e-82;5
"LQ";1.5;"fc.LQ_rm.1.5";0.613852534260048;0.741;0.0374851524766985;0.0315048302491075;0.578837200487113;0.0187105183653924;0.335;0.326837370364325;0.154835004177109;0.0984104489355455;0.0143914473684211;0.0167394568429518;6545.65347448639;30.671155556538;2.186971377382e-07;8
"H";1.5;"fc.H_rm.1.5";0.650000983542063;0.899;0.0839972702358444;0.0606030968478378;0.575343539284506;0.0532270737079847;0.2895;0.367253318569077;0.191415169869117;0.0974400911338816;0.0187774122807018;0.022285020928402;6592.514180216;77.5318612861429;1.45938588297216e-17;43
"L";2;"fc.L_rm.2";0.58726935938627;0.839;0.0443115401445764;0.041344966960739;0.551577573070889;0.0371556410607579;0.28275;0.276786771119334;0.115711805555556;0.0485890947166728;0.0087719298245614;0.0175438596491228;6908.78492966553;393.80261073568;3.06795866648203e-86;5
"Q";2;"fc.Q_rm.2";0.597915218674185;0.61;0.0492330144566907;0.0156676060762696;0.592363535924447;0.0495352775796114;0.1755;0.17201065858448;0.110945984753551;0.069940533795758;0.0087719298245614;0.0175438596491228;6820.96091045188;305.978591522023;3.61071296795299e-67;5
"P";2;"fc.P_rm.2";0.598122418202085;0.953;0.0446985109031073;0.047041251212428;0.557786927108087;0.0388704026324091;0.272;0.349508225940392;0.0961805555555555;0.0508843475047844;0.0087719298245614;0.0175438596491228;6904.94608584414;389.963766914287;2.09143248067933e-85;5
"LQ";2;"fc.LQ_rm.2";0.611733328962035;0.692;0.0359134331999002;0.0301659523699086;0.578437809104784;0.0173985437817671;0.355;0.37260434780072;0.132775950292398;0.0708858022415468;0.0143914473684211;0.0167394568429518;6594.89913617913;79.9168172492773;4.42877415163159e-18;8
"H";2;"fc.H_rm.2";0.641658579765261;0.912;0.069301721018998;0.0410471466847031;0.575376771164324;0.0367251153176715;0.32875;0.331189145353528;0.125740566694514;0.0679686460231954;0.0231633771929825;0.0294436479712628;6646.36284381608;131.380524886228;2.95856701635036e-29;39
"L";2.5;"fc.L_rm.2.5";0.583912858173235;0.8;0.0476796789705257;0.0409312131314243;0.550067136722046;0.0422914133351097;0.31775;0.316074226514385;0.119618055555556;0.0517826971464932;0.0126781798245614;0.0166567673524088;6918.09126640419;403.108947474338;2.9241803746159e-88;5
"Q";2.5;"fc.Q_rm.2.5";0.595318339780998;0.622;0.0487945199048297;0.0162044293691345;0.590283437211103;0.0478895141697587;0.20425;0.215490719057689;0.110945984753551;0.069940533795758;0.0087719298245614;0.0175438596491228;6823.37893773502;308.396618805164;1.07776732462237e-67;5
"P";2.5;"fc.P_rm.2.5";0.597237230345551;0.957;0.0480851743619222;0.0494865184281135;0.555997248924039;0.0423802313928617;0.24875;0.314315526183483;0.092609126984127;0.0510280468740011;0.0087719298245614;0.0175438596491228;6919.34474382146;404.362424891601;1.56248190065143e-88;5
"LQ";2.5;"fc.LQ_rm.2.5";0.608078158809258;0.721;0.0396091905521052;0.0286301439459068;0.575683315176081;0.0202179644454209;0.329;0.335981150264912;0.113190963519911;0.0794601085827345;0.0165844298245614;0.0192140338913104;6645.95816499477;130.97584606492;3.62206550884118e-29;7
"H";2.5;"fc.H_rm.2.5";0.632530981574979;0.883;0.0654546154485701;0.0369904369487417;0.570922372464535;0.030057019549316;0.30325;0.335368826816089;0.117204687064884;0.0760675405353976;0.0231633771929825;0.0294436479712628;6692.07387506328;177.091556133426;3.50797988815948e-39;31
"L";3;"fc.L_rm.3";0.580657989640024;0.748;0.0503266895261323;0.0398706798156197;0.548877826749482;0.046836433831706;0.23075;0.341687357097098;0.111416997354497;0.0612522978284694;0.0126781798245614;0.0166567673524088;6926.17491433984;411.192595409987;5.13644109546563e-90;4
"Q";3;"fc.Q_rm.3";0.593676808078159;0.565;0.047284933767007;0.0200766038420888;0.587650308145317;0.0467502792297145;0.15025;0.263804694171022;0.107374556182122;0.0671023730025053;0.0087719298245614;0.0175438596491228;6829.15465628107;314.172337351219;6.00265890730273e-69;4
"P";3;"fc.P_rm.3";0.595669464297423;0.959;0.0519638579285499;0.0509457727630093;0.554477777658466;0.0460815480005045;0.26675;0.31365094717961;0.0961805555555555;0.0508843475047844;0.0087719298245614;0.0175438596491228;6930.12530207543;415.14298314558;7.12601142859847e-91;6
"LQ";3;"fc.LQ_rm.3";0.603055537341814;0.725;0.0444178017496363;0.0302452961573946;0.570787083120734;0.0251370654346866;0.28875;0.364345417609901;0.11442451615149;0.0724757297784612;0.0165844298245614;0.0192140338913104;6701.57002108782;186.587702157968;3.04085131813465e-41;7
"H";3;"fc.H_rm.3";0.627626057307717;0.802;0.0619583986328555;0.0376945302203322;0.568736297039317;0.0246663898539154;0.26175;0.293069246652277;0.102904396407686;0.0797669045462066;0.0165844298245614;0.0192140338913104;6727.74943026786;212.767111338006;6.28360262891126e-47;26
"L";3.5;"fc.L_rm.3.5";0.579579043997115;0.773;0.0523121331333162;0.0404922629393451;0.546241023055938;0.0504411352771199;0.26325;0.320746395147319;0.10427414021164;0.0666745909753793;0.0126781798245614;0.0166567673524088;6934.07817539753;419.095856467679;9.87395125295927e-92;4
"Q";3.5;"fc.Q_rm.3.5";0.591603173562389;0.593;0.0445255632683816;0.0268317911315786;0.584120758331913;0.0469017819867164;0.1935;0.297771164934865;0.106316355123921;0.0752412427389411;0.0087719298245614;0.0175438596491228;6840.45357926154;325.471260331685;2.11258268019615e-71;4
"P";3.5;"fc.P_rm.3.5";0.593393547964068;0.963;0.0563514916766832;0.0528682698830696;0.551949818953147;0.0510940793386346;0.2505;0.328272752448326;0.092609126984127;0.0510280468740011;0.0087719298245614;0.0175438596491228;6936.06004935133;421.077730421473;3.66549404113641e-92;6
"LQ";3.5;"fc.LQ_rm.3.5";0.597761786112386;0.874;0.0485049236430789;0.0329749374025159;0.564565520489823;0.0303762902879269;0.21325;0.395861402513557;0.100702711640212;0.0703234729834729;0.0165844298245614;0.0192140338913104;6761.77152690149;246.789207971631;2.57278975297789e-54;6
"H";3.5;"fc.H_rm.3.5";0.62290636679562;0.754;0.0591332516967042;0.0385880416238734;0.565232437262447;0.0210101634990989;0.18575;0.383786724627103;0.0886186821219716;0.082131063411445;0.0187774122807018;0.022285020928402;6770.21661581384;255.234296883988;3.77204217951086e-56;22
"L";4;"fc.L_rm.4";0.578313225362271;0.786;0.0540422871008541;0.0435581974378008;0.544072927477261;0.0536023863016728;0.19975;0.344270605774004;0.092166832010582;0.0724659435719259;0.0126781798245614;0.0166567673524088;6941.94527943532;426.962960505468;1.93272935408183e-93;4
"Q";4;"fc.Q_rm.4";0.589023342731624;0.451;0.041435857226485;0.031055588948475;0.579438831007108;0.0457540211537493;0.188;0.233139443252316;0.0970570958646617;0.0878338236877497;0.0087719298245614;0.0175438596491228;6852.13741383796;337.155094908105;6.13339977525309e-74;4
"P";4;"fc.P_rm.4";0.590997639499049;0.934;0.0604911794603834;0.0548379294978315;0.549215943809682;0.0558837462346692;0.28225;0.314052410700295;0.092609126984127;0.0510280468740011;0.0087719298245614;0.0175438596491228;6944.40260307307;429.420284143215;5.65678919454727e-94;6
"LQ";4;"fc.LQ_rm.4";0.591274998360763;0.874;0.0523905695843793;0.0381414310458557;0.557124394739236;0.0380544038321931;0.1725;0.340777053218083;0.0918320105820106;0.0665295592405097;0.0165844298245614;0.0192140338913104;6829.32990580232;314.347586872462;5.49906326160463e-69;6
"H";4;"fc.H_rm.4";0.614504622647695;0.714;0.0575571545097511;0.041128945616625;0.561838869990405;0.0249711054492541;0.08925;0.395337303240326;0.0864256996658312;0.0777935609604041;0.0209703947368421;0.0257398250500217;6803.92483531247;288.942516382621;1.80688153155562e-63;17
"L";4.5;"fc.L_rm.4.5";0.577062815553078;0.815;0.0555787886756186;0.0463120741954231;0.542078676182143;0.0566376641047437;0.1755;0.369840956808914;0.092166832010582;0.0724659435719259;0.0126781798245614;0.0166567673524088;6949.77531597773;434.792997047875;3.85389795439642e-95;4
"Q";4.5;"fc.Q_rm.4.5";0.587029375122943;0.204;0.0504399573848653;0.0248190565369141;0.569738877731762;0.0511571794463779;0.2025;0.20641947582532;0.0752937030075188;0.0807887212233502;0.0087719298245614;0.0175438596491228;6861.54387556127;346.561556631419;5.56050278505503e-76;3
