"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.580720437088281;0.545;0.0223243660605357;0.0260357895870356;0.563697494106104;0.0171818544219638;0.047;0.632153462380774;0.13984571555424;0.0399624688568318;0.00643776824034335;0.00910437915690834;11102.0762603527;152.062830902059;9.54707606418958e-34;6
"Q";1;"fc.Q_rm.1";0.588662324637641;0.675;0.0299506938512803;0.0210734387573938;0.556244425650273;0.0120276672970238;-0.115;0;0.137570297469291;0.0421600776188442;0.0128940358147107;0.00604342409553398;11058.8696589098;108.856229459137;2.30178458326704e-24;6
"P";1;"fc.P_rm.1";0.582413386293987;0.802;0.0265719255168367;0.0342154238200896;0.565199564718918;0.0179391264656037;0.439;0.0254558441227157;0.113955897587687;0.014860021152655;0.00214592274678112;0.00303479305230278;11097.9640178433;147.950588392701;7.46160917462548e-33;8
"H";1;"fc.H_rm.1";0.644540003211147;0.971;0.0744562319299044;0.0453814854130006;0.584990173799447;0.00197847274703124;0.4545;0.0601040764008566;0.17842607666124;0.0450771416303249;0.0257880716294213;0.012086848191068;10966.7315803245;16.7181508739031;0.000234203956937241;86
"LQ";1;"fc.LQ_rm.1";0.594226567353806;0.872;0.0266808885911228;0.0134073381583263;0.571812274863955;0.0158605374315876;0.354;0.263043722601396;0.163386118099748;0.0359989244824881;0;0;11004.478254501;54.4648250503851;1.48938877294115e-12;8
"LP";1;"fc.LP_rm.1";0.582839444983514;0.773;0.0301714273298193;0.036832179975316;0.564131863112002;0.019880268386727;0.324;0.606697618258058;0.109701050762173;0.015540233388516;0.00643776824034335;0.00910437915690834;11083.0526773094;133.039247858746;1.290591955058e-29;11
"QP";1;"fc.QP_rm.1";0.60177450768232;0.986;0.0293626740003351;0.00789964146510391;0.578750665642567;0.00904287752221812;0.439;0.265872149726142;0.152619505697795;0.0451556276575396;0.00214592274678112;0.00303479305230278;11012.6911124301;62.6776829795126;2.45249785469792e-14;11
"QH";1;"fc.QH_rm.1";0.643788874074178;0.976;0.0728945243374786;0.0469523901084748;0.585213644467087;0.00346274668013698;0.426;0.0763675323681471;0.178416826994228;0.0511598087394662;0.0322535888708007;0.00294322602055226;10950.0134294506;0;0.999757255023085;83
"LQP";1;"fc.LQP_rm.1";0.601919474674988;0.985;0.0294973039462538;0.00820605119766533;0.57850416278115;0.00939788559694635;0.411;0.210717820793591;0.152628755364807;0.0390729605483983;0.00214592274678112;0.00303479305230278;11006.9354984176;56.9220689669764;4.35937610086628e-13;13
"LQH";1;"fc.LQH_rm.1";0.643629014806179;0.97;0.0733100362337439;0.0465640535825867;0.58558904355463;0.00438170660629172;0.421;0.0226274169979695;0.176261654580435;0.0542076827963048;0.0322535888708007;0.00294322602055226;10983.4029103939;33.3894809432459;5.61643711681439e-08;92
