"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.565679787589642;0.443;0.0959512842436795;0.000715658314040834;0.496577467530235;0.0162865053072401;-0.1035;0.126572113832392;0.127087761919223;0.0268412838288243;0.00561797752808989;0.00794502001333199;3604.56547499124;187.686170082053;1.75575295882041e-41;5
"Q";1;"fc.Q_rm.1";0.56022064286538;0.602;0.0746903919301828;0.0177621461108914;0.497964935481531;0.017781204817258;0.0495;0.0572756492761103;0.1226085636198;0.00139574675909886;0;0;3616.10864311407;199.229338204878;5.4688536213185e-44;6
"P";1;"fc.P_rm.1";0.559114947109062;0.824;0.0540627776458784;0.0727922758680644;0.5189224613758;0.0402778774686379;-0.262;0.0410121933088197;0.119268144549043;0.04155030736702;0.0191314910416034;0.0111659740727909;3560.98963715867;144.110332249486;5.09139001450719e-32;8
"LQ";1;"fc.LQ_rm.1";0.590391905285299;0.723;0.0949004459423355;0.00699047674991772;0.516114473206656;0.00168112333586758;0.0135;0.0176776695296637;0.14849681141816;0.0193257243567535;0.00561797752808989;0.00794502001333199;3602.75367734258;185.87437243339;4.3440045306769e-41;11
"H";1;"fc.H_rm.1";0.641716623679551;0.95;0.117547417033765;0.018401808730733;0.548069414606547;0.00506780312504379;0.21;0.250315800540038;0.230564834497419;0.0394030046607141;0.0742484057090799;0.00966286217837675;3416.87930490919;0;0.999994029561497;53
"L";1.5;"fc.L_rm.1.5";0.565652053966711;0.149;0.0926839338165057;0.00637337715176262;0.496753952132001;0.0188642176848452;-0.1615;0.23546655813512;0.121469784391133;0.0188962638154923;0.00561797752808989;0.00794502001333199;3598.4917751849;181.612470275716;3.65890020363759e-40;5
"Q";1.5;"fc.Q_rm.1.5";0.556651763493502;0.572;0.066570754628864;0.0321075801899732;0.501211962009128;0.0261824328430821;-0.085;0.275771644662754;0.11699058609171;0.00654927325423314;0.00675675675675676;0.00955549704306145;3645.7339397034;228.854634794214;2.01764559002374e-50;5
"P";1.5;"fc.P_rm.1.5";0.556968510660659;0.742;0.0676656104443818;0.0559001484671016;0.521634680730792;0.0483809934616943;-0.286;0.015556349186104;0.112511387792287;0.0319948103239586;0.0191314910416034;0.0111659740727909;3548.53675526987;131.657450360686;2.57599674853884e-29;7
"LQ";1.5;"fc.LQ_rm.1.5";0.585817317166091;0.584;0.0934043831111069;0.0144180600095924;0.510820519093994;0.00219235514068315;0.027;0.0268700576850888;0.162010324931673;0.0384367184428764;0.00561797752808989;0.00794502001333199;3608.97023638357;192.090931474378;1.94080376301477e-42;8
"H";1.5;"fc.H_rm.1.5";0.62057922401323;0.874;0.112100901812168;0.00486541198102324;0.534370829400677;0.0191219609921445;0.0545;0.188797510576808;0.231703613726086;0.0219024876043206;0.0596720315821439;0.0684989563311596;3440.93667333275;24.0573684235651;5.97043850257916e-06;32
"L";2;"fc.L_rm.2";0.562758999195725;0.1;0.0868201786416617;0.0152327860325129;0.498131594720651;0.0214697426835302;-0.154;0.151320851173921;0.128226541147889;0.00934076677243085;0;0;3593.05001804076;176.170713131573;5.55921043744675e-39;5
"Q";2;"fc.Q_rm.2";0.554088592868956;0.585;0.060792463877453;0.0449792007837515;0.503873962299668;0.0348393731595314;-0.2285;0.193040151263927;0.10575463103553;0.0224393132808971;0.00675675675675676;0.00955549704306145;3633.70539122773;216.826086318537;8.25678539142038e-48;4
"P";2;"fc.P_rm.2";0.554068157567849;0.523;0.0718455004809957;0.0397734197961498;0.52676955436814;0.0484964282185837;-0.0695;0.270821897194448;0.15191314910416;0.0718272755259338;0.00561797752808989;0.00794502001333199;3543.84918121303;126.969876303838;2.68434964691559e-28;6
"LQ";2;"fc.LQ_rm.2";0.58214334195995;0.279;0.0860917349521449;0.0268144913237541;0.511986499619441;0.00783567888795403;-0.1205;0.0106066017177982;0.14849681141816;0.0193257243567535;0.00675675675675676;0.00955549704306145;3594.87008325633;177.990778347145;2.23764390176988e-39;7
"H";2;"fc.H_rm.2";0.613596189692142;0.768;0.113686475647772;0.00828662461573096;0.522541781028367;0.0292846293878104;-0.1335;0.229809703885628;0.205815365927725;0.042623958720173;0.0461585180686304;0.0493879622450367;3491.81590881365;74.9366039044648;5.342205903464e-17;20
"L";2.5;"fc.L_rm.2.5";0.556291226395403;0.116;0.0801728083665244;0.0246821082620598;0.500551023476411;0.0252477246062194;-0.297;0.131521861300698;0.1226085636198;0.00139574675909886;0;0;3587.57141037247;170.692105463279;8.60354933662709e-38;5
"Q";2.5;"fc.Q_rm.2.5";0.550851787140065;0.293;0.0544887545049814;0.0574662425655322;0.508364939312197;0.0453747197153268;-0.209;0.291327993848858;0.118129365320377;0.0240497903106266;0.00675675675675676;0.00955549704306145;3621.82209329951;204.942788390319;3.14221831148976e-45;4
"P";2.5;"fc.P_rm.2.5";0.551548776874246;0.134;0.0700874473908442;0.0375815371283872;0.526680238904398;0.0483562316383095;-0.19;0.17819090885901;0.118129365320377;0.0240497903106266;0.00561797752808989;0.00794502001333199;3554.41912114144;137.539816232249;1.36020946087805e-30;5
"LQ";2.5;"fc.LQ_rm.2.5";0.57748263364322;-0.08;0.0779012570093438;0.0405991206447272;0.509323669939317;0.0216534647128788;-0.343;0.270114790413261;0.136122077133313;0.0177152473270241;0.00675675675675676;0.00955549704306145;3582.6550691041;165.775764194916;1.00518869476412e-36;8
